,index,index,Dutch,Frequency,GooglePos,GoogleLemma,GoogleEnglish
0,0,1000,eind,14369,noun,eind,end terminal ending
1,1,1001,deden,14346,verb,doen,do make perform
2,2,1002,mijne,14325,No Google Info,No Google Info,No Google Info
3,3,1003,gooi,14311,noun,gooi,throw fling cast
4,4,1004,gast,14307,noun,gast,guest invitee
5,5,1005,zul,14236,No Google Info,No Google Info,No Google Info
6,6,1006,muur,14228,noun,muur,wall chickweed
7,7,1007,dode,14194,adjective,dood,dead lifeless
8,8,1008,gewerkt,14177,adjective,gewerkt,figured
9,9,1009,kende,14171,verb,kennen,know
10,10,1010,ma,14150,noun,ma,mom mommy mam
11,11,1011,brand,14150,noun,brand,fire blaze conflagration
12,12,1012,sluit,14124,verb,sluiten,close conclude shut
13,13,1013,zon,14092,noun,zon,sun daystar
14,14,1014,diep,14037,adjective,diep,deep low profound
15,15,1015,arme,14036,noun,arme,dog-poor lack-all
16,16,1016,bureau,14014,noun,bureau,office bureau writing desk
17,17,1017,partner,14002,noun,partner,partner
18,18,1018,zeiden,14000,No Google Info,No Google Info,No Google Info
19,19,1019,boord,14000,noun,boord,board hem edge
20,20,1020,deal,13992,No Google Info,No Google Info,No Google Info
21,21,1021,leggen,13962,verb,leggen,lay put set
22,22,1022,bom,13954,noun,bom,bomb bombshell egg
23,23,1023,rijk,13929,adjective,rijk,rich wealthy abundant
24,24,1024,meiden,13907,No Google Info,No Google Info,No Google Info
25,25,1025,held,13858,noun,held,hero
26,26,1026,klote,13858,No Google Info,No Google Info,No Google Info
27,27,1027,spreekt,13830,verb,spreken,speak talk see
28,28,1028,vijand,13825,noun,vijand,enemy foe adversary
29,29,1029,schoenen,13808,verb,schoenen,shoe
30,30,1030,gewonnen,13775,adjective,gewonnen,won
31,31,1031,gebied,13755,noun,gebied,area region territory
32,32,1032,operatie,13753,noun,operatie,operation
33,33,1033,volk,13676,noun,volk,people nation folk
34,34,1034,bewegen,13653,verb,bewegen,move induce stir
35,35,1035,keek,13632,verb,kijken,look see glance
36,36,1036,speel,13614,noun,speel,hand-play
37,37,1037,zuster,13609,noun,zuster,sister nurse sibling
38,38,1038,gelezen,13580,verb,lezen,read peruse cull
39,39,1039,achteruit,13573,adverb,achteruit,backwards back in reverse
40,40,1040,trein,13563,noun,trein,train
41,41,1041,extra,13540,adjective,extra,extra additional spare
42,42,1042,lijk,13521,noun,lijk,corpse body funeral
43,43,1043,bereiken,13483,verb,bereiken,reach achieve attain
44,44,1044,zee,13442,noun,zee,sea ocean deep sea
45,45,1045,cool,13412,No Google Info,No Google Info,No Google Info
46,46,1046,broek,13378,noun,broek,pants trousers trouser
47,47,1047,aanval,13370,noun,aanval,attack assault charge
48,48,1048,neus,13359,noun,neus,nose toe nozzle
49,49,1049,oma,13223,noun,oma,grandmother granny grandmamma
50,50,1050,systeem,13197,noun,systeem,system outfit
51,51,1051,kalm,13192,adjective,kalm,calm quiet tranquil
