,index,index,Dutch,Frequency,GooglePos,GoogleLemma,GoogleEnglish
0,0,3000,stabiel,3512,adjective,stabiel,stable stabilized
1,1,3001,afhandelen,3511,verb,afhandelen,settle finish conclude
2,2,3002,Engelse,3507,noun,Engelse,Englishwoman
3,3,3003,schilderij,3506,noun,schilderij,painting picture canvas
4,4,3004,podium,3499,noun,podium,stage podium platform
5,5,3005,loslaten,3499,verb,loslaten,release let go loose
6,6,3006,krankzinnig,3492,adjective,krankzinnig,insane crazy mad
7,7,3007,onderdeel,3491,noun,onderdeel,part section member
8,8,3008,bewaar,3487,verb,bewaren,keep save preserve
9,9,3009,excuseren,3486,verb,excuseren,excuse
10,10,3010,morgenavond,3484,No Google Info,No Google Info,No Google Info
11,11,3011,medicijn,3484,noun,medicijn,drug medicine pharmaceutical
12,12,3012,mamma,3479,noun,mamma,mum mamma momma
13,13,3013,oudere,3478,No Google Info,No Google Info,No Google Info
14,14,3014,moeilijkheden,3475,noun,moeilijkheid,difficulty trouble crux
15,15,3015,praatte,3474,verb,praten,talk speak chat
16,16,3016,ratten,3473,noun,rat,rat
17,17,3017,interview,3472,noun,interview,interview
18,18,3018,boodschappen,3472,noun,boodschappen,grocery
19,19,3019,noodgeval,3472,noun,noodgeval,emergency
20,20,3020,rekeningen,3471,noun,rekening,account bill invoice
21,21,3021,Japan,3468,noun,Japan,Japan Nippon
22,22,3022,telkens,3467,adverb,telkens,again and again at every turn every now and then
23,23,3023,schop,3458,noun,schop,kick shovel spade
24,24,3024,fase,3458,noun,fase,phase
25,25,3025,café,3457,noun,café,cafe pub public house
26,26,3026,gerechtigheid,3455,noun,gerechtigheid,righteousness justice
27,27,3027,onlangs,3452,adverb,onlangs,recently newly lately
28,28,3028,serie,3452,noun,serie,series set sequence
29,29,3029,hufter,3452,No Google Info,No Google Info,No Google Info
30,30,3030,gewonden,3449,verb,wonden,wound hurt
31,31,3031,vermogen,3449,noun,vermogen,power ability capital
32,32,3032,vrachtwagen,3448,noun,vrachtwagen,truck lorry camion
33,33,3033,vocht,3446,noun,vocht,moisture humidity damp
34,34,3034,seksuele,3445,adjective,seksueel,sexual genital generative
35,35,3035,uitdaging,3444,noun,uitdaging,challenge defiance provocation
36,36,3036,joch,3441,No Google Info,No Google Info,No Google Info
37,37,3037,bid,3441,verb,bidden,pray beseech entreat
38,38,3038,zieke,3440,noun,zieke,patient sick person invalid
39,39,3039,Amerikaans,3438,noun,Amerikaans,American
40,40,3040,reageert,3438,verb,reageren,react
41,41,3041,Palmer,3438,No Google Info,No Google Info,No Google Info
42,42,3042,wiet,3437,No Google Info,No Google Info,No Google Info
