,index,index,Dutch,Frequency,GooglePos,GoogleLemma,GoogleEnglish
0,0,1800,sterren,6768,adjective,sterren-,stellar stellate stellated
1,1,1801,papier,6768,noun,papier,paper
2,2,1802,gezelschap,6764,noun,gezelschap,party company society
3,3,1803,jouwe,6763,No Google Info,No Google Info,No Google Info
4,4,1804,koers,6759,noun,koers,rate course price
5,5,1805,doorheen,6753,adverb,doorheen,through
6,6,1806,kilo,6751,noun,kilo,kilo
7,7,1807,stukken,6750,noun,stukken,papers
8,8,1808,volle,6743,adjective,vol,full crowded rich
9,9,1809,storm,6737,noun,storm,storm tempest gale
10,10,1810,harde,6735,adjective,hard,hard loud harsh
11,11,1811,data,6735,noun,datum,date
12,12,1812,black,6731,No Google Info,No Google Info,No Google Info
13,13,1813,beslist,6727,adjective,beslist,decided determined decisive
14,14,1814,vloer,6722,noun,vloer,floor
15,15,1815,geheugen,6721,noun,geheugen,memory recollection remembrance
16,16,1816,reken,6713,adjective,reken-,calculating
17,17,1817,liedje,6708,noun,liedje,tune ditty melody
18,18,1818,blijkt,6700,verb,blijken,prove appear turn out
19,19,1819,contract,6699,noun,contract,contract bond obligation
20,20,1820,eigenaar,6698,noun,eigenaar,owner proprietor master
21,21,1821,verdiend,6698,adjective,verdiend,condign
22,22,1822,ernstig,6691,adjective,ernstig,serious grave earnest
23,23,1823,bende,6685,noun,bende,gang band mob
24,24,1824,pers,6681,noun,pers,press presser impression
25,25,1825,gozer,6665,noun,gozer,geezer
26,26,1826,lid,6664,noun,lid,member section lid
27,27,1827,hiervoor,6662,adverb,hiervoor,theretofore
28,28,1828,uitgenodigd,6657,verb,uitnodigen,invite take out ask
29,29,1829,blauw,6655,adjective,blauw,blue
30,30,1830,taart,6652,noun,taart,cake pie tart
31,31,1831,steun,6649,noun,steun,support aid backing
32,32,1832,moeders,6647,noun,moeder,mother parent mam
33,33,1833,stilte,6639,noun,stilte,silence quiet stillness
34,34,1834,toeval,6638,noun,toeval,chance coincidence accident
35,35,1835,cent,6621,noun,cent,cent penny pence
36,36,1836,gevangene,6620,noun,gevangene,prisoner captive jailbird
37,37,1837,verliest,6608,verb,verliezen,lose forfeit shed
38,38,1838,eenheid,6605,noun,eenheid,unit unity oneness
39,39,1839,roepen,6597,verb,roepen,call cry shout
40,40,1840,wiens,6595,conjunction,wiens,whose
41,41,1841,dader,6594,noun,dader,perpetrator culprit doer
42,42,1842,aannemen,6587,verb,aannemen,adopt take assume
43,43,1843,talent,6583,noun,talent,talent flair genius
44,44,1844,herinnert,6581,verb,herinneren,remember remind recollect
45,45,1845,hemelsnaam,6575,No Google Info,No Google Info,No Google Info
46,46,1846,vandoor,6570,adverb,vandoor,away
47,47,1847,ondertiteling,6567,No Google Info,No Google Info,No Google Info
48,48,1848,borst,6564,noun,borst,chest breast brisket
49,49,1849,you,6554,No Google Info,No Google Info,No Google Info
50,50,1850,koken,6554,verb,koken,cook boil seethe
51,51,1851,westen,6552,adverb,westen,westerly
52,52,1852,lenen,6550,verb,lenen,borrow lend loan
53,53,1853,dans,6545,noun,dans,dance fling
54,54,1854,aandoen,6538,verb,aandoen,put on call turn on
55,55,1855,omgeving,6537,noun,omgeving,environment surroundings setting
56,56,1856,miljoenen,6532,No Google Info,No Google Info,No Google Info
57,57,1857,vergissing,6531,noun,vergissing,mistake error oversight
58,58,1858,schepen,6509,noun,schepen,alderman jurat
59,59,1859,gezond,6508,adjective,gezond,healthy sound wholesome
60,60,1860,ren,6506,noun,ren,gallop scuttle chicken-run
61,61,1861,bijvoorbeeld,6504,adverb,bijvoorbeeld,for instance say
62,62,1862,tegenover,6503,adverb,tegenover,opposite across from in the face
63,63,1863,verstopt,6488,adjective,verstopt,constipated
