,index,index,Dutch,Frequency,GooglePos,GoogleLemma,GoogleEnglish
0,0,2200,dief,5198,noun,dief,thief robber crook
1,1,2201,moordenaars,5185,noun,moordenaar,killer murderer assassin
2,2,2202,hoogheid,5185,noun,hoogheid,highness sublimity
3,3,2203,poging,5181,noun,poging,attempt effort try
4,4,2204,Jesse,5179,No Google Info,No Google Info,No Google Info
5,5,2205,materiaal,5178,noun,materiaal,material data
6,6,2206,toestand,5172,noun,toestand,state condition situation
7,7,2207,amper,5172,adverb,amper,barely hardly scarcely
8,8,2208,voorlopig,5171,adjective,voorlopig,provisional temporary interim
9,9,2209,veilige,5169,adjective,veilig,safe secure sure
10,10,2210,verloofde,5168,noun,verloofde,fiance fiancee bride
11,11,2211,daarin,5166,adverb,daarin,therein there
12,12,2212,slet,5165,noun,slet,slut whore trollop
13,13,2213,Texas,5161,noun,Texas,Texas
14,14,2214,oefenen,5160,verb,oefenen,exercise train school
15,15,2215,Franse,5157,noun,Franse,Frenchwoman
16,16,2216,woonde,5156,verb,wonen,live dwell reside
17,17,2217,prettige,5155,adjective,prettig,pleasant nice enjoyable
18,18,2218,voordeel,5148,noun,voordeel,advantage benefit profit
19,19,2219,eindigt,5147,verb,eindigen,end finish end up
20,20,2220,vliegt,5144,verb,vliegen,fly wing rush
21,21,2221,verdediging,5139,noun,verdediging,defense apology vindication
22,22,2222,vanochtend,5137,No Google Info,No Google Info,No Google Info
23,23,2223,zielig,5136,adjective,zielig,pathetic forlorn piteous
24,24,2224,Wilson,5130,No Google Info,No Google Info,No Google Info
25,25,2225,woestijn,5126,noun,woestijn,desert waste sands
26,26,2226,apparaat,5126,noun,apparaat,device apparatus set
27,27,2227,rat,5125,noun,rat,rat
28,28,2228,kocht,5119,verb,kopen,buy purchase market
29,29,2229,lossen,5114,verb,lossen,unload discharge release
30,30,2230,diner,5111,noun,diner,dinner diner dinner party
31,31,2231,cliënt,5111,noun,cliënt,client customer
32,32,2232,feite,5106,No Google Info,No Google Info,No Google Info
33,33,2233,verkoopt,5104,verb,verkopen,sell market auctioneer
34,34,2234,idioten,5103,No Google Info,No Google Info,No Google Info
35,35,2235,komende,5102,verb,komen,come get come to
36,36,2236,plegen,5099,verb,plegen,commit perpetrate accustom
37,37,2237,kaartje,5096,noun,kaartje,card ticket note
38,38,2238,-ste,5096,No Google Info,No Google Info,No Google Info
