,index,index,Dutch,Frequency,GooglePos,GoogleLemma,GoogleEnglish
0,0,1600,rotzooi,7769,noun,rotzooi,shit shambles disorder
1,1,1601,moed,7765,noun,moed,courage bravery heart
2,2,1602,dichterbij,7762,No Google Info,No Google Info,No Google Info
3,3,1603,blanke,7755,noun,blanke,white paleface
4,4,1604,verbergen,7754,verb,verbergen,hide conceal cover
5,5,1605,gaaf,7749,adjective,gaaf,whole entire in good order
6,6,1606,voorkomen,7742,verb,voorkomen,prevent occur avert
7,7,1607,duivel,7741,noun,duivel,devil demon fiend
8,8,1608,persoonlijke,7730,adjective,persoonlijk,personal private individual
9,9,1609,bepaalde,7729,adjective,bepaald,specific fixed decided
10,10,1610,Rome,7718,noun,Rome,Rome
11,11,1611,rusten,7715,verb,rusten,rest lie sleep
12,12,1612,juffrouw,7711,noun,juffrouw,waitress mademoiselle
13,13,1613,fles,7702,noun,fles,bottle flask jar
14,14,1614,kaarten,7698,noun,kaarten,deck
15,15,1615,dna,7692,No Google Info,No Google Info,No Google Info
16,16,1616,stappen,7684,noun,stappen,steps
17,17,1617,vrije,7679,adjective,vrij,free clear leisure
18,18,1618,schijnt,7676,verb,schijnen,seem shine appear
19,19,1619,favoriete,7667,noun,favoriet,favorite favourite
20,20,1620,spelletje,7667,noun,spelletje,game playgame
21,21,1621,broeder,7656,noun,broeder,brother sibling friar
22,22,1622,coach,7650,noun,coach,coach
23,23,1623,overkomen,7643,verb,overkomen,overcome befall seem
24,24,1624,poort,7630,noun,poort,port gate gateway
25,25,1625,zomer,7628,noun,zomer,summer
26,26,1626,afgesproken,7624,adjective,afgesproken,agreed pre-arranged put-up
27,27,1627,bron,7623,noun,bron,source well spring
28,28,1628,advies,7622,noun,advies,opinion advice recommendation
29,29,1629,Pete,7619,No Google Info,No Google Info,No Google Info
30,30,1630,Jason,7613,No Google Info,No Google Info,No Google Info
31,31,1631,sukkel,7608,noun,sukkel,softy dolt crock
32,32,1632,geslapen,7597,verb,slapen,sleep lie doss
33,33,1633,jaloers,7568,adjective,jaloers,jealous envious yellow
34,34,1634,kogels,7562,noun,kogel,ball bullet shot
35,35,1635,kamp,7561,noun,kamp,camp encampment match
