,index,index,Dutch,Frequency,GooglePos,GoogleLemma,GoogleEnglish
0,0,1400,dikke,9260,adjective,dik,thick fat big
1,1,1401,rol,9253,noun,rol,role part roller
2,2,1402,kerels,9245,noun,kerel,guy fellow chap
3,3,1403,tijden,9242,noun,tijd,time period season
4,4,1404,misdaad,9232,noun,misdaad,crime guilt misdeed
5,5,1405,homo,9231,No Google Info,No Google Info,No Google Info
6,6,1406,leef,9230,verb,leven,live exist
7,7,1407,springen,9228,verb,springen,jump skip leap
8,8,1408,directeur,9223,noun,directeur,director manager managing director
9,9,1409,erachter,9221,No Google Info,No Google Info,No Google Info
10,10,1410,start,9220,noun,start,take-off
11,11,1411,wezen,9216,noun,wezen,being essence creature
12,12,1412,rijdt,9213,verb,rijden,ride drive away tool
13,13,1413,duizend,9204,,duizend,thousand
14,14,1414,wow,9182,No Google Info,No Google Info,No Google Info
15,15,1415,prins,9166,noun,prins,prince
16,16,1416,antwoorden,9164,verb,antwoorden,answer reply return
17,17,1417,raakte,9155,verb,raken,hit affect catch
18,18,1418,tekenen,9146,verb,tekenen,draw sign design
19,19,1419,vieren,9139,verb,vieren,celebrate observe commemorate
20,20,1420,perfecte,9133,adjective,perfect,perfect
21,21,1421,zorgt,9123,verb,zorgen,care worry look
22,22,1422,behoorlijk,9105,adverb,behoorlijk,properly duly fairly
23,23,1423,majesteit,9105,noun,majesteit,majesty
24,24,1424,luistert,9102,verb,luisteren,listen hear hearken
25,25,1425,waarover,9091,No Google Info,No Google Info,No Google Info
26,26,1426,nadenken,9091,verb,nadenken,reflect meditate pause
27,27,1427,volgt,9065,verb,volgen,follow track attend
28,28,1428,neef,9061,noun,neef,cousin nephew first cousin
29,29,1429,gestoord,9050,adjective,gestoord,troubled
30,30,1430,vertaald,9048,verb,vertalen,translate construe
31,31,1431,mijnheer,9044,noun,mijnheer,sir mister
32,32,1432,gewone,9031,adjective,gewoon,ordinary plain common
33,33,1433,taak,9030,noun,taak,task job assignment
34,34,1434,Londen,9029,noun,Londen,London
35,35,1435,aanvallen,9027,noun,aanvallen,attacks
36,36,1436,opa,9021,noun,opa,grandpa grandfather granddad
37,37,1437,rook,9016,noun,rook,smoke fog incense burner
38,38,1438,geweten,9014,noun,geweten,conscience
39,39,1439,trouw,8996,noun,trouw,faith loyalty faithfulness
40,40,1440,signaal,8995,noun,signaal,signal beep bleep
41,41,1441,kussen,8983,noun,kussen,pillow cushion hassock
42,42,1442,ouder,8982,adjective,ouder,older elder senior
43,43,1443,dankzij,8981,preposition,dankzij,due to with the help of
44,44,1444,lach,8979,noun,lach,laugh
45,45,1445,sporen,8953,verb,sporen,rail prod travel by rail
46,46,1446,jas,8918,noun,jas,coat jacket overcoat
47,47,1447,godverdomme,8917,noun,godverdomme,damn
48,48,1448,ster,8916,noun,ster,star pip nova
49,49,1449,sloeg,8903,verb,slaan,beat hit strike
50,50,1450,verschrikkelijk,8900,adjective,verschrikkelijk,terrible horrible terrific
51,51,1451,vlug,8879,adverb,vlug,quickly soon rapidly
52,52,1452,tegenhouden,8861,noun,tegenhouden,arrest
53,53,1453,wonder,8858,noun,wonder,wonder miracle marvel
54,54,1454,toegang,8849,noun,toegang,access entry entrance
55,55,1455,afdeling,8841,noun,afdeling,department section division
56,56,1456,pad,8838,noun,pad,path way toad
57,57,1457,besloten,8836,adjective,besloten,private close
58,58,1458,vorm,8833,noun,vorm,form shape mold
59,59,1459,uren,8829,noun,uur,hour
60,60,1460,stopt,8826,verb,stoppen,stop cease stop off
61,61,1461,medicijnen,8824,noun,medicijn,drug medicine pharmaceutical
62,62,1462,bek,8820,noun,bek,beak mouth jaw
63,63,1463,majoor,8815,noun,majoor,major
64,64,1464,gekozen,8787,adjective,gekozen,selected elected elect
65,65,1465,beveiliging,8786,noun,beveiliging,safeguard
66,66,1466,ah,8779,interjection,Ah!,Ah! Oh! Aha!
67,67,1467,fijne,8772,adjective,fijn,fine nice delicate
68,68,1468,controleren,8771,verb,controleren,check control verify
69,69,1469,onschuldig,8758,adjective,onschuldig,innocent guiltless inoffensive
70,70,1470,dossier,8758,noun,dossier,dossier
71,71,1471,boel,8737,noun,boel,lot quantity mass
72,72,1472,durf,8737,noun,durf,dare daring courage
73,73,1473,maan,8726,noun,maan,moon
74,74,1474,post,8721,noun,post,post mail item
75,75,1475,auto's,8720,noun,auto,car automobile motor
76,76,1476,betreft,8718,verb,betreffen,concern affect regard
77,77,1477,leeftijd,8713,noun,leeftijd,age time
78,78,1478,toevallig,8712,adjective,toevallig,casual chance accidental
79,79,1479,bos,8709,noun,bos,forest bunch woods
80,80,1480,waarin,8706,adverb,waarin,where wherein
81,81,1481,ineens,8693,adverb,ineens,suddenly at once overnight
82,82,1482,overleden,8693,adjective,overleden,late departed defunct
83,83,1483,Clark,8657,No Google Info,No Google Info,No Google Info
84,84,1484,kosten,8655,noun,kosten,cost charge expense
85,85,1485,gemeen,8653,adjective,gemeen,common mean nasty
86,86,1486,landen,8645,noun,landen,nations
87,87,1487,enorm,8643,adjective,enorm,enormous immense gigantic
88,88,1488,sommigen,8641,No Google Info,No Google Info,No Google Info
89,89,1489,opeens,8637,adverb,opeens,suddenly short holus-bolus
90,90,1490,senator,8617,noun,senator,senator
91,91,1491,gedoe,8611,noun,gedoe,activity action
92,92,1492,enorme,8597,adjective,enorm,enormous immense gigantic
93,93,1493,bloemen,8585,adjective,bloemen,floral
94,94,1494,steen,8582,noun,steen,stone rock brick
95,95,1495,opzij,8577,noun,opzij,end view
96,96,1496,openen,8576,verb,openen,open unlock lead off
97,97,1497,tanden,8572,verb,tanden,tooth indent
98,98,1498,hersenen,8571,noun,hersenen,brain
99,99,1499,getuigen,8567,verb,getuigen,witness testify attest
100,100,1500,halve,8556,adjective,halve-,half
101,101,1501,verdwijnen,8543,verb,verdwijnen,disappear vanish go
102,102,1502,gelogen,8536,verb,liegen,lie tell lies fib
103,103,1503,past,8532,verb,passen,suit conform fit with
104,104,1504,bespreken,8513,verb,bespreken,discuss review talk about
105,105,1505,motor,8513,adjective,motor,engine
106,106,1506,ontsnapt,8505,verb,ontsnappen,escape evade elude
107,107,1507,momentje,8496,No Google Info,No Google Info,No Google Info
108,108,1508,ontbijt,8480,noun,ontbijt,breakfast brekker
109,109,1509,toilet,8477,noun,toilet,toilet bathroom lavatory
110,110,1510,uitzoeken,8469,verb,uitzoeken,sort assort handpick
111,111,1511,volwassen,8435,adjective,volwassen,adult mature fledged
112,112,1512,eeuwig,8408,adjective,eeuwig,eternal everlasting perpetual
113,113,1513,afmaken,8391,verb,afmaken,finish complete slaughter
114,114,1514,dol,8391,adjective,dol,mad crazy rabid
115,115,1515,terecht,8387,adverb,terecht,justly deservedly properly
116,116,1516,oren,8357,noun,oor,ear listener
117,117,1517,machine,8354,noun,machine,machine engine
118,118,1518,verpest,8345,adjective,verpest,screwed up
119,119,1519,verlaat,8343,verb,verlaten,leave abandon quit
120,120,1520,klootzakken,8316,No Google Info,No Google Info,No Google Info
121,121,1521,top,8306,noun,top,top summit peak
122,122,1522,gemakkelijk,8286,adjective,gemakkelijk,easy convenient comfortable
123,123,1523,gearresteerd,8285,verb,arresteren,arrest lag nick
124,124,1524,doos,8276,noun,doos,box case container
125,125,1525,geschoten,8274,verb,schieten,shoot fire gun
126,126,1526,gegeten,8273,No Google Info,No Google Info,No Google Info
127,127,1527,betaalt,8272,verb,betalen,pay pay off pay up
128,128,1528,rare,8272,adjective,raar,strange funny queer
129,129,1529,big,8267,noun,big,piglet pigling porkling
130,130,1530,ochtend,8262,noun,ochtend,morning
131,131,1531,ruikt,8261,verb,ruiken,smell scent nose
132,132,1532,huid,8251,noun,huid,skin hide leather
133,133,1533,trut,8241,No Google Info,No Google Info,No Google Info
134,134,1534,verhalen,8226,verb,verhalen,tell shift recount
135,135,1535,verraden,8217,verb,verraden,betray give away sell
136,136,1536,tonen,8211,verb,tonen,show display demonstrate
137,137,1537,hopen,8208,verb,hopen,hope trust
138,138,1538,virus,8208,noun,virus,virus
139,139,1539,bedoeling,8206,noun,bedoeling,intention aim purpose
140,140,1540,officier,8204,noun,officier,officer subaltern
141,141,1541,schreef,8194,noun,schreef,streak
142,142,1542,krachten,8191,noun,kracht,force power strength
143,143,1543,papieren,8190,adjective,papieren,paper
144,144,1544,bijzonder,8189,adjective,bijzonder,particular special very
145,145,1545,betekenen,8186,verb,betekenen,mean signify serve
146,146,1546,opnemen,8186,verb,opnemen,record take receive
147,147,1547,strand,8185,noun,strand,beach shore strand
148,148,1548,rapport,8183,noun,rapport,report write-up
149,149,1549,binnenkort,8163,adverb,binnenkort,shortly erelong near upon
150,150,1550,twijfel,8158,noun,twijfel,doubt dubiety
151,151,1551,inspecteur,8157,noun,inspecteur,inspector supervisor examiner
152,152,1552,gekke,8146,adjective,gek,crazy mad fool
153,153,1553,veld,8121,noun,veld,field veld land
154,154,1554,rechercheur,8111,noun,rechercheur,detective plainclothesman
155,155,1555,lunch,8107,noun,lunch,lunch luncheon snack
156,156,1556,ondertitel,8106,No Google Info,No Google Info,No Google Info
157,157,1557,opstaan,8104,verb,opstaan,up rise stand up
158,158,1558,lui,8083,adjective,lui,lazy idle slothful
159,159,1559,gezocht,8074,adjective,gezocht,wanted sought-after
160,160,1560,ophalen,8071,verb,ophalen,collect raise shrug
161,161,1561,verslaan,8070,verb,verslaan,defeat down smite
162,162,1562,ergste,8069,adjective,ergst,worst extreme
163,163,1563,drankje,8062,noun,drankje,drink beverage potion
164,164,1564,publiek,8062,adjective,publiek,public overt extracurricular
165,165,1565,nerveus,8061,adjective,nerveus,nervous high-strung
166,166,1566,gedrag,8056,noun,gedrag,behavior conduct actions
167,167,1567,troep,8052,noun,troep,flock gang troop
168,168,1568,lab,8046,No Google Info,No Google Info,No Google Info
169,169,1569,roken,8042,noun,roken,smoking
170,170,1570,keren,8030,verb,keren,repel
171,171,1571,zocht,8019,verb,zoeken,search seek quest
172,172,1572,bad,8019,noun,bad,bath bathtub dip
173,173,1573,dik,8006,adjective,dik,thick fat big
174,174,1574,vaders,7987,noun,vader,father parent old man
175,175,1575,alarm,7956,noun,alarm,alarm alert alarum
176,176,1576,akkoord,7948,noun,akkoord,agreement chord accord
177,177,1577,doelwit,7948,noun,doelwit,target goal purpose
178,178,1578,vaker,7936,No Google Info,No Google Info,No Google Info
179,179,1579,schade,7926,noun,schade,damage injury loss
180,180,1580,bruiloft,7901,noun,bruiloft,wedding wedding party nuptials
181,181,1581,gegevens,7900,noun,gegevens,data
182,182,1582,genoemd,7896,verb,noemen,call mention name
183,183,1583,terugkomen,7894,verb,terugkomen,return come back get back
184,184,1584,vernietigd,7889,adjective,vernietigd,destroyed annulled off the map
185,185,1585,steken,7882,verb,steken,put stick insert
186,186,1586,geweld,7880,noun,geweld,violence force main
187,187,1587,vergeven,7880,verb,vergeven,forgive pardon condone
188,188,1588,Amerikanen,7865,No Google Info,No Google Info,No Google Info
189,189,1589,mening,7861,noun,mening,opinion mind judgment
190,190,1590,kies,7856,noun,kies,molar tooth grinder
191,191,1591,type,7841,noun,type,type model variation
192,192,1592,bedacht,7831,verb,bedenken,think imagine devise
193,193,1593,belangrijkste,7807,No Google Info,No Google Info,No Google Info
194,194,1594,las,7801,noun,las,weld joint scarf
195,195,1595,grens,7800,noun,grens,border limit frontier
196,196,1596,paniek,7798,noun,paniek,panic scare terror
197,197,1597,universiteit,7796,noun,universiteit,university college school
198,198,1598,verboden,7794,adjective,verboden,forbidden taboo tabu
199,199,1599,west,7793,noun,west,west
