,French,POS,English
700,parole,noun,"speech, word"
701,triste,adjective,sad
702,honte,noun,shame
703,rouge,adjective,red
704,dégager,verb,to free; to clear; to radiate
705,soirée,noun,"evening, party"
706,dangereux,adjective,dangerous
707,armée,noun,army
708,filer,verb,"to spin; to take off; to go off, to leave"
709,risquer,verb,to risk
710,dos,noun,"back, spine"
711,appel,noun,"call, appeal"
712,visite,noun,visit
713,mener,verb,"to take; to lead, guide, manage"
714,fleur,noun,"flower, blossom"
715,attaquer,verb,to attack
716,coin,noun,"corner, spot"
717,prince,noun,prince
718,pire,adjective,worse
719,bordel,noun,brothel; bloody/gooddamn mess
720,professeur,noun,"teacher, professor"
721,fumer,verb,to smoke
722,répéter,verb,"to repeat; to go over, rehearse"
723,habitude,noun,"habit, practice; french.languagedaily.com"
724,signer,verb,to sign
725,ficher,verb,"to file, put on file"
726,mériter,verb,"to deserve, be worth; french.languagedaily.com"
727,réponse,noun,"response, answer, reply"
728,rejoindre,verb,"to meet up; to join, rejoin; to go back to"
729,discuter,verb,"to question, dispute"
730,village,noun,village
731,pourtant,adverb,yet
732,avancer,verb,"to move forward, advance"
733,connerie,noun,stupidity
734,reposer,verb,"to rest, to have a rest"
735,échapper,verb,"to escape, get away, slip, run away"
736,forme,noun,"form, shape"
737,bruit,noun,"noise, sound; rumour"
738,chacun,indefinite pronoun,"each, everyone"
739,diable,noun,devil
740,exemple,noun,example
741,charger,verb,"to charge, load"
742,chat,noun,cat
743,ennemi,noun,enemy
744,gamin,noun,"kid, child (see #674)"
745,rendez-vous,noun,appointment
746,debout,adverb,"standing, standing up"
747,obliger,verb,to oblige
748,trou,noun,"hole, gap, deficit"
749,accompagner,verb,"to go with, accompany"
750,fenêtre,noun,window; languagedaily dot com
751,oser,verb,to dare
752,impression,noun,impression
753,intérieur,noun,"inside (inner surface), interrior"
754,bouche,noun,mouth
755,ligne,noun,"line, course, service"
756,absolument,adverb,absolutely
757,doux,adjective,"soft, mild, gentle"
758,regretter,verb,
759,mur,noun,
760,enfer,noun,
761,prouver,verb,
762,boîte,noun,
763,santé,noun,
764,t,personal pronoun,
765,couvrir,verb,
766,magnifique,adjective,
767,obtenir,verb,
768,cuisine,noun,
769,vue,noun,
770,terrible,adjective,
771,éviter,verb,
772,peau,noun,
773,salaud,noun,
774,conseil,noun,
775,plaisanter,verb,
776,autour,adverb,
777,vin,noun,
778,exact,adjective,
779,virer,verb,
780,supporter,verb,
781,régler,verb,
782,doigt,noun,
783,étrange,adjective,
784,grâce,preposition,
785,souhaiter,verb,
786,mission,noun,
787,créer,verb,
788,chanson,noun,
789,pote,noun,
790,surveiller,verb,
791,simplement,adverb,
792,recommencer,verb,
793,robe,noun,
794,chaud,adjective,
795,billet,noun,
796,spécial,adjective,
797,moyen,noun,
798,sympa,adjective,
799,vaisseau,noun,
