,word,translation
4000,devolver,"verb: return, restore, repay.  noun: render.  "
4001,solitario,"adjective: solitary, lonely, lone.  noun: solitaire, recluse, patience.  "
4002,misiles,noun: missile.  
4003,desnuda,"adjective: naked, bare, nude.  noun: nude, nudity, undress.  "
4004,vaquero,"noun: cowboy, cowherd, jean.  "
4005,únicos,"adjective: only, unique, single.  "
4006,trasera,"adjective: rear, back, rearward.  "
4007,sano,"adjective: healthy, sound, wholesome.  "
4008,piezas,"noun: piece, part, room.  "
4009,liga,"noun: league, garter, birdlime.  "
4010,gerente,"noun: manager, director, executive.  adjective: managing.  "
4011,caridad,"noun: charity, handout.  "
4012,armados,adjective: armed.  
4013,trajeron,"verb: bring, bring in, get.  "
4014,religión,noun: religion.  
4015,fotografías,"noun: photograph, photography, picture.  "
4016,sentirse,"verb: feel, come over.  "
4017,rezar,verb: pray.  
4018,protege,"verb: protect, safeguard, secure.  "
4019,preparen,"verb: prepare, make, ready.  "
4020,niñera,"noun: nanny, baby-sitter, nurse.  "
4021,naranja,noun: orange.  
4022,matarnos,kill us
4023,jugada,"noun: move, play, gamble.  "
4024,espérame,wait for me
4025,enseñarte,teach you
4026,cohete,"noun: rocket, skyrocket.  "
4027,tanques,"noun: tank, cistern.  "
4028,sombras,noun: shades.  
4029,moverse,"verb: move, travel, stir.  "
4030,llegara,"verb: arrive at, come to, hit.  "
4031,cortó,"adjective: short, brief, narrow.  "
4032,cierren,"verb: close, shut, shut down.  "
4033,volverán,"verb: return, go back, come back.  "
4034,usamos,"verb: use, wear, utilize.  "
4035,sabremos,"verb: know, realize, taste.  "
4036,maletín,"noun: briefcase, attache case.  "
4037,lenguaje,"noun: language, speech, parlance.  "
4038,invitación,"noun: invitation, invite, bid.  "
4039,cambian,"verb: change, switch, shift.  "
4040,rehenes,"noun: hostage, pawn.  "
4041,encontremos,"verb: find, meet, encounter.  "
4042,descubrí,"verb: discover, find out, uncover.  "
4043,audiencia,noun: audience.  
4044,agenda,noun: diary.  
4045,sígueme,follow me
4046,sensible,"adjective: sensitive, tender, noticeable.  "
4047,reverendo,adjective: reverend.  abbreviation: Rev..  
4048,queréis,"verb: want, love, wish.  "
4049,cazar,"verb: hunt, chase, get.  "
4050,bodas,"noun: wedding, marriage.  "
4051,seguiremos,"verb: follow, continue, keep.  "
4052,rosas,"adjective: pink.  noun: pink, rose.  "
4053,retiro,"noun: retirement, retreat, withdrawal.  "
4054,primeras,noun: bottom gear.  
4055,poderosa,"adjective: powerful, mighty, potent.  "
4056,deberia,"auxiliary verb: should, ought.  "
4057,cantando,"verb: chant, jingle, sing.  "
4058,antiguos,noun: aged.  
4059,teme,"verb: fear, dread, apprehend.  "
4060,síganme,follow me
4061,moviendo,"verb: move, shift, shake.  "
4062,juventud,"noun: youth, youthfulness, girlhood.  "
4063,equivocas,"adjective: mistaken, equivocal, ambiguous.  "
4064,trabajadores,noun: workpeople.  
4065,seguí,"verb: follow, continue, keep.  "
4066,salvaste,"verb: save, salvage, rescue.  "
4067,pulmones,noun: lung.  
4068,payaso,"noun: clown, buffoon.  "
4069,oírlo,hear it
4070,fama,"noun: fame, reputation, renown.  "
4071,engaño,"noun: deception, deceit, hoax.  "
4072,distrito,"noun: district, section.  "
4073,disculparme,excuse me
4074,ciudadano,"noun: citizen.  adjective: civic, town.  "
4075,robando,"verb: steal, rob, draw.  "
4076,equipaje,"noun: luggage, baggage, equipment.  "
4077,ciencias,"noun: science, knowledge.  "
4078,ubicación,"noun: location, situation, ubiety.  "
4079,federales,adjective: federal.  
4080,tratamos,"verb: treat, process, try on.  "
4081,ofrece,"verb: offer, give, present.  "
4082,junio,noun: June.  abbreviation: Jun..  
4083,extremadamente,"adverb: extremely, exceedingly, extraordinarily.  "
4084,actuando,"verb: act, perform, play.  "
4085,traducción,"noun: translation, rendering.  "
