,Number,Spanish,lemma forms
5300,5302.0,batallas,batalla batallar
5301,5303.0,uses,usar
5302,5304.0,trates,tratar
5303,5305.0,marzo,marzo
5304,5306.0,hechas,hecho hacer
5305,5307.0,fraude,fraude
5306,5308.0,economía,economía
5307,5309.0,disfrute,disfrutar
5308,5310.0,creerme,creer
5309,5311.0,costo,costo costar
5310,5312.0,consiga,conseguir
5311,5313.0,condena,condena
5312,5314.0,bájate,bajar
5313,5315.0,alivio,alivio aliviar
5314,5316.0,traerá,traer
5315,5317.0,quedaremos,quedar
5316,5318.0,micrófono,micrófono
5317,5319.0,matemáticas,matemática
5318,5320.0,interesan,interesar
5319,5321.0,ida,ido ir
5320,5322.0,hueles,oler
5321,5323.0,giro,giro girar
5322,5324.0,desgraciados,desgraciado desgraciar
5323,5325.0,arroz,arroz
5324,5326.0,andan,andar
5325,5327.0,unido,unido unir
5326,5328.0,traseros,trasero
5327,5329.0,torres,torre
5328,5330.0,seda,seda sedar
5329,5331.0,engañando,engañar
5330,5332.0,encuentres,encontrar
5331,5333.0,controles,controlar control
5332,5334.0,choque,choque chocar
5333,5335.0,celos,celo
5334,5336.0,aclarar,aclarar
5335,5337.0,sentiría,sentir
5336,5338.0,santuario,santuario
5337,5339.0,queden,quedar
5338,5340.0,piratas,pirata
5339,5341.0,impulso,impulso
5340,5342.0,impedir,impedir
5341,5343.0,grita,gritar
5342,5344.0,envíe,enviar
5343,5345.0,entraste,entrar
5344,5346.0,debieron,deber
5345,5347.0,creías,creer
5346,5348.0,cobrar,cobrar
5347,5349.0,audición,audición
5348,5350.0,asesinados,asesinado asesinar
5349,5351.0,afueras,afueras
5350,5352.0,tribu,tribu
5351,5353.0,testamento,testamento
5352,5354.0,postre,postre
5353,5355.0,paró,parar
5354,5356.0,ópera,ópera
5355,5357.0,falló,fallar
5356,5358.0,estatal,estatal
5357,5359.0,esclavo,esclavo
5358,5360.0,déjate,dejar
5359,5361.0,costillas,costilla
5360,5362.0,costará,costar
5361,5363.0,chistes,chiste
5362,5364.0,arreglaré,arreglar
5363,5365.0,alcanza,alcanzar
5364,5366.0,valientes,valiente
5365,5367.0,privilegio,privilegio
5366,5368.0,orina,orina
5367,5369.0,jovencito,jovencito joven
5368,5370.0,invasión,invasión
5369,5371.0,estuvieran,estar
5370,5372.0,estupideces,estupidez
5371,5373.0,encaja,encajar
5372,5374.0,durará,durar
5373,5375.0,descanse,descansar
5374,5376.0,déjanos,dejar
5375,5377.0,camas,cama
5376,5378.0,cables,cable
5377,5379.0,bárbara,bárbaro
5378,5380.0,avanzando,avanzar
5379,5381.0,usualmente,usualmente
5380,5382.0,sagrada,sagrado
5381,5383.0,sable,sable
5382,5384.0,retírense,retirar
5383,5385.0,retirada,retirado retirar
5384,5386.0,psicópata,psicópata
5385,5387.0,preocupo,preocupar
5386,5388.0,plaga,plaga plagar
5387,5389.0,ohh,ohh
5388,5390.0,malvada,malvado
5389,5391.0,existir,existir
5390,5392.0,entendemos,entender
5391,5393.0,bendito,bendito bendecir
5392,5394.0,arregla,arreglar
5393,5395.0,supuestamente,supuestamente
5394,5396.0,residente,residente
5395,5397.0,rescatar,rescatar
5396,5398.0,pesada,pesado pesar
5397,5399.0,oímos,oír
5398,5400.0,locas,loco
5399,5401.0,llegarán,llegar
