,Number,Spanish,lemma forms
5200,5202.0,oyendo,oír
5201,5203.0,mordida,mordida mordido morder
5202,5204.0,mmm,mmm
5203,5205.0,miró,mirar
5204,5206.0,marchar,marchar
5205,5207.0,mantequilla,mantequilla
5206,5208.0,guardián,guardián
5207,5209.0,escándalo,escándalo
5208,5210.0,causó,causar
5209,5211.0,aléjense,alejar
5210,5212.0,acercando,acercar
5211,5213.0,vió,ver
5212,5214.0,tinta,tinta tinto
5213,5215.0,sindicato,sindicato
5214,5216.0,reuniones,reunión
5215,5217.0,pida,pedir
5216,5218.0,personajes,personaje
5217,5219.0,lees,leer
5218,5220.0,dispuesta,dispuesto disponer
5219,5221.0,descripción,descripción
5220,5222.0,calzones,calzón
5221,5223.0,brigada,brigada
5222,5224.0,ayudaría,ayudar
5223,5225.0,repugnante,repugnante
5224,5226.0,odiaba,odiar
5225,5227.0,misa,misa
5226,5228.0,metrópolis,metrópolis metrópoli
5227,5229.0,meterme,meter
5228,5230.0,mamita,mamita
5229,5231.0,jamón,jamón
5230,5232.0,ésos,ese esos
5231,5233.0,cazadores,cazador
5232,5234.0,usarla,usar
5233,5235.0,retraso,retraso retrasar
5234,5236.0,responsabilidades,responsabilidad
5235,5237.0,preocupas,preocupar
5236,5238.0,pagando,pagar
5237,5239.0,linterna,linterna
5238,5240.0,inevitable,inevitable
5239,5241.0,encender,encender
5240,5242.0,distinta,distinto
5241,5243.0,compro,comprar
5242,5244.0,cacería,cacería
5243,5245.0,atacan,atacar
5244,5246.0,usaba,usar
5245,5247.0,parientes,pariente
5246,5248.0,menores,menor
5247,5249.0,jungla,jungla
5248,5250.0,dedicado,dedicado dedicar
5249,5251.0,contentos,contento
5250,5252.0,compraré,comprar
5251,5253.0,astuto,astuto
5252,5254.0,antídoto,antídoto
5253,5255.0,vivas,vivir
5254,5256.0,vano,vano
5255,5257.0,sajones,sajón
5256,5258.0,raros,raro
5257,5259.0,quemado,quemado quemar
5258,5260.0,promesas,promesa
5259,5261.0,parejas,pareja parejo
5260,5262.0,olvidarlo,olvidar
5261,5263.0,locales,local
5262,5264.0,fuga,fuga
5263,5265.0,estaciones,estación
5264,5266.0,dispares,disparar
5265,5267.0,despidieron,despedir
5266,5268.0,asesinada,asesinado asesinar
5267,5269.0,artillería,artillería
5268,5270.0,apariencia,apariencia
5269,5271.0,advertí,advertir
5270,5272.0,sacarme,sacar
5271,5273.0,pueblos,pueblo
5272,5274.0,mágico,mágico
5273,5275.0,garantizo,garantizar
5274,5276.0,excusas,excusa excusar
5275,5277.0,contratar,contratar
5276,5278.0,candidato,candidato
5277,5279.0,anteriormente,anteriormente
5278,5280.0,adicto,adicto
5279,5281.0,sello,sello
5280,5282.0,salvarlo,salvar
5281,5283.0,retrasado,retrasado retrasar
5282,5284.0,placas,placa
5283,5285.0,hermosos,hermoso
5284,5286.0,galleta,galleta
5285,5287.0,escucharon,escuchar
5286,5288.0,chistoso,chistoso
5287,5289.0,anillos,anillo
5288,5290.0,subió,subir
5289,5291.0,solar,solar
5290,5292.0,píldoras,píldora
5291,5293.0,pásame,pasar
5292,5294.0,juegues,jugar
5293,5295.0,grito,grito gritar
5294,5296.0,enseñado,enseñado enseñar
5295,5297.0,encontrarte,encontrar
5296,5298.0,descubrimiento,descubrimiento
5297,5299.0,consigues,conseguir
5298,5300.0,clérigo,clérigo
5299,5301.0,clásico,clásico
