,Spanish,show,lemma
1750,comenzar,comenzar,comenzar
1751,ángeles,*ángeles* (ángel),ángel
1752,robots,*robots* (robot),robot
1753,lleve,*lleve* (llevar),llevar
1754,ruido,ruido,ruido
1755,preocupe,*preocupe* (preocupar),preocupar
1756,belleza,belleza,belleza
1757,salgan,*salgan* (salir),salir
1758,come,*come* (comer),comer
1759,verá,*verá* (ver),ver
1760,deberían,*deberían* (deber),deber
1761,líder,líder,líder
1762,preguntar,preguntar,preguntar
1763,inocente,inocente,inocente
1764,lástima,lástima,lástima
1765,red,red,red
1766,enfermedad,enfermedad,enfermedad
1767,desgraciado,desgraciado,desgraciado
1768,desgraciado,*desgraciado* (desgraciar),desgraciar
1769,harán,*harán* (hacer),hacer
1770,dientes,*dientes* (diente),diente
1771,maté,*maté* (matar),matar
1772,central,central,central
1773,ponte,*ponte* (poner),poner
1774,felices,*felices* (feliz),feliz
1775,supe,*supe* (saber),saber
1776,haberte,*haberte* (haber),haber
1777,marcha,marcha,marcha
1778,marcha,*marcha* (marchar),marchar
1779,poderes,*poderes* (poder),poder
1780,hubieras,*hubieras* (haber),haber
1781,justicia,justicia,justicia
1782,bella,*bella* (bello),bello
1783,dé,*dé* (dar),dar
1784,proteger,proteger,proteger
1785,cabello,cabello,cabello
1786,pedido,*pedido* (pedir),pedir
1787,pedido,pedido,pedido
1788,oscuro,oscuro,oscuro
1789,embarazada,*embarazada* (embarazado),embarazado
1790,embarazada,*embarazada* (embarazar),embarazar
1791,costa,costa,costa
1792,dama,dama,dama
1793,alguno,alguno,alguno
1794,orgulloso,orgulloso,orgulloso
1795,vos,vos,vos
1796,tomado,*tomado* (tomar),tomar
1797,digamos,*digamos* (decir),decir
1798,debió,*debió* (deber),deber
1799,gana,gana,gana
1800,gana,*gana* (ganar),ganar
1801,cura,cura,cura
1802,cura,*cura* (curar),curar
1803,lengua,lengua,lengua
1804,araña,araña,araña
1805,araña,*araña* (arañar),arañar
1806,podré,*podré* (poder),poder
1807,voluntad,voluntad,voluntad
1808,total,total,total
1809,dedo,dedo,dedo
1810,pago,pago,pago
1811,pago,*pago* (pagar),pagar
1812,agradezco,*agradezco* (agradecer),agradecer
1813,partir,partir,partir
1814,lucha,lucha,lucha
1815,lucha,*lucha* (luchar),luchar
1816,leche,leche,leche
1817,diste,*diste* (dar),dar
1818,copa,copa,copa
1819,quedarte,*quedarte* (quedar),quedar
1820,seguros,*seguros* (seguro),seguro
1821,destruir,destruir,destruir
1822,bienvenidos,*bienvenidos* (bienvenido),bienvenido
1823,llevan,*llevan* (llevar),llevar
1824,ponga,*ponga* (poner),poner
1825,lados,*lados* (lado),lado
1826,acceso,acceso,acceso
1827,intentar,intentar,intentar
1828,trajo,*trajo* (traer),traer
1829,desastre,desastre,desastre
1830,deber,deber,deber
1831,herida,herida,herida
1832,herida,*herida* (herido),herido
1833,herida,*herida* (herir),herir
1834,débil,débil,débil
1835,naturaleza,naturaleza,naturaleza
1836,luchar,luchar,luchar
1837,extraña,*extraña* (extraño),extraño
1838,extraña,*extraña* (extrañar),extrañar
1839,encontraste,*encontraste* (encontrar),encontrar
1840,vieron,*vieron* (ver),ver
1841,llámame,*llámame* (llamar),llamar
1842,imagen,imagen,imagen
1843,pan,pan,pan
1844,refieres,*refieres* (referir),referir
1845,clientes,*clientes* (cliente),cliente
1846,varios,varios,varios
1847,show,show,show
1848,auxilio,auxilio,auxilio
1849,oyes,*oyes* (oír),oír
1850,siguen,*siguen* (seguir),seguir
1851,sentado,*sentado* (sentar),sentar
1852,sentado,sentado,sentado
1853,saliendo,*saliendo* (salir),salir
1854,responsable,responsable,responsable
1855,olvidado,olvidado,olvidado
1856,olvidado,*olvidado* (olvidar),olvidar
1857,quedó,*quedó* (quedar),quedar
1858,permite,*permite* (permitir),permitir
1859,aquella,aquella,aquella
1860,puse,*puse* (poner),poner
1861,sonido,sonido,sonido
1862,quiso,*quiso* (querer),querer
1863,escrito,*escrito* (escribir),escribir
1864,carro,carro,carro
1865,preciosa,*preciosa* (precioso),precioso
1866,muestra,muestra,muestra
1867,muestra,*muestra* (mostrar),mostrar
1868,bastardo,bastardo,bastardo
1869,restaurante,restaurante,restaurante
1870,huevos,*huevos* (huevo),huevo
1871,fantasma,fantasma,fantasma
1872,mismos,*mismos* (mismo),mismo
1873,profesional,profesional,profesional
1874,amas,*amas* (ama),ama
1875,amas,*amas* (amar),amar
1876,entero,entero,entero
1877,películas,*películas* (película),película
1878,cerrado,cerrado,cerrado
1879,cerrado,*cerrado* (cerrar),cerrar
1880,dedos,*dedos* (dedo),dedo
1881,sigan,*sigan* (seguir),seguir
1882,dueño,dueño,dueño
1883,cuchillo,cuchillo,cuchillo
1884,turno,turno,turno
1885,tormenta,tormenta,tormenta
1886,caray,caray,caray
1887,abierto,abierto,abierto
1888,abierto,*abierto* (abrir),abrir
1889,quede,*quede* (quedar),quedar
1890,verdadera,*verdadera* (verdadero),verdadero
1891,mato,*mato* (matar),matar
1892,doc,*doc* (doctor),doctor
1893,playa,playa,playa
1894,km,km,km
1895,victoria,victoria,victoria
1896,primo,primo,primo
1897,oíste,*oíste* (oír),oír
1898,lisa,*lisa* (liso),liso
1899,lisa,*lisa* (Lisa),Lisa
1900,interior,interior,interior
1901,hechos,*hechos* (hecho),hecho
1902,hechos,*hechos* (hacer),hacer
1903,piedra,piedra,piedra
1904,jodido,jodido,jodido
1905,jodido,*jodido* (joder),joder
1906,militar,militar,militar
1907,computadora,computadora,computadora
1908,encantaría,*encantaría* (encantar),encantar
1909,siga,*siga* (seguir),seguir
1910,silla,silla,silla
1911,movimiento,movimiento,movimiento
1912,momentos,*momentos* (momento),momento
1913,familiar,familiar,familiar
1914,apartamento,apartamento,apartamento
1915,disparar,disparar,disparar
1916,tesoro,tesoro,tesoro
1917,perfecta,*perfecta* (perfecto),perfecto
1918,refiero,*refiero* (referir),referir
1919,motivo,motivo,motivo
1920,dará,*dará* (dar),dar
1921,nuevas,*nuevas* (nuevo),nuevo
1922,mr,*mr* (mister),mister
1923,querer,querer,querer
1924,matarlo,*matarlo* (matar),matar
1925,valiente,valiente,valiente
1926,víctima,víctima,víctima
1927,tendrán,*tendrán* (tener),tener
1928,estúpida,*estúpida* (estúpido),estúpido
1929,envió,*envió* (enviar),enviar
1930,encantado,encantado,encantado
1931,encantado,*encantado* (encantar),encantar
1932,diario,diario,diario
1933,abran,*abran* (abrir),abrir
1934,sentí,*sentí* (sentir),sentir
1935,autobús,autobús,autobús
1936,traído,*traído* (traer),traer
1937,casas,*casas* (casa),casa
1938,casas,*casas* (casar),casar
1939,apúrate,*apúrate* (apurar),apurar
1940,encuentras,*encuentras* (encontrar),encontrar
1941,descanso,descanso,descanso
1942,descanso,*descanso* (descansar),descansar
1943,sheriff,sheriff,sheriff
1944,mueve,*mueve* (mover),mover
1945,inglaterra,*inglaterra* (Inglaterra),Inglaterra
1946,quieto,quieto,quieto
1947,matarte,*matarte* (matar),matar
1948,calles,*calles* (calle),calle
1949,calles,*calles* (callar),callar
1950,tamaño,tamaño,tamaño
1951,colegio,colegio,colegio
1952,usando,*usando* (usar),usar
1953,cabo,cabo,cabo
1954,video,video,video
1955,toques,*toques* (toque),toque
1956,toques,*toques* (tocar),tocar
1957,pelota,pelota,pelota
1958,yendo,*yendo* (ir),ir
1959,directo,directo,directo
1960,termine,*termine* (terminar),terminar
1961,vivos,*vivos* (vivo),vivo
1962,sombrero,sombrero,sombrero
1963,tomé,*tomé* (tomar),tomar
1964,estudio,estudio,estudio
1965,estudio,*estudio* (estudiar),estudiar
1966,grave,grave,grave
1967,protección,protección,protección
1968,secretos,*secretos* (secreto),secreto
1969,perdiendo,*perdiendo* (perder),perder
1970,pecho,pecho,pecho
1971,sepas,*sepas* (saber),saber
1972,enferma,*enferma* (enfermo),enfermo
1973,cuesta,cuesta,cuesta
1974,cuesta,*cuesta* (costar),costar
1975,negros,*negros* (negro),negro
1976,estrellas,*estrellas* (estrella),estrella
1977,estrellas,*estrellas* (estrellar),estrellar
1978,lago,lago,lago
1979,clases,*clases* (clase),clase
1980,obviamente,obviamente,obviamente
1981,inmediato,inmediato,inmediato
1982,modos,*modos* (modo),modo
1983,irás,*irás* (ir),ir
1984,robo,robo,robo
1985,robo,*robo* (robar),robar
1986,mataré,*mataré* (matar),matar
1987,seria,*seria* (ser),ser
1988,apoyo,apoyo,apoyo
1989,apoyo,*apoyo* (apoyar),apoyar
1990,cerrar,cerrar,cerrar
1991,imagino,*imagino* (imaginar),imaginar
1992,amenaza,amenaza,amenaza
1993,amenaza,*amenaza* (amenazar),amenazar
1994,toque,toque,toque
1995,toque,*toque* (tocar),tocar
1996,saca,*saca* (sacar),sacar
1997,viernes,viernes,viernes
1998,hayan,*hayan* (haber),haber
1999,roto,roto,roto
