,Number,Spanish,lemma forms
1800,1802.0,llegué,llegar
1801,1803.0,negra,negro
1802,1804.0,decidido,decidido decidir
1803,1805.0,comienza,comenzar
1804,1806.0,distancia,distancia
1805,1807.0,éramos,ser
1806,1808.0,murieron,morir
1807,1809.0,averiguar,averiguar
1808,1810.0,actuar,actuar
1809,1811.0,quedo,quedar
1810,1812.0,pulso,pulso pulsar
1811,1813.0,aguanta,aguantar
1812,1814.0,oficiales,oficial
1813,1815.0,llamaba,llamar
1814,1816.0,enemigos,enemigo
1815,1817.0,saldrá,salir
1816,1818.0,preocupado,preocupado preocupar
1817,1819.0,elección,elección
1818,1820.0,sobrevivir,sobrevivir
1819,1821.0,bordo,bordo
1820,1822.0,sujeto,sujeto
1821,1823.0,pacientes,paciente
1822,1824.0,disculpen,disculpar
1823,1825.0,época,época
1824,1826.0,entró,entrar
1825,1827.0,pesar,pesar
1826,1828.0,habló,hablar
1827,1829.0,vender,vender
1828,1830.0,piensan,pensar
1829,1831.0,ex,ex
1830,1832.0,gratis,gratis
1831,1833.0,desapareció,desaparecer
1832,1834.0,empleo,empleo emplear
1833,1835.0,llamé,llamar
1834,1836.0,conocen,conocer
1835,1837.0,cerdo,cerdo
1836,1838.0,puedan,poder
1837,1839.0,comprendo,comprender
1838,1840.0,tomo,tomar
1839,1841.0,termina,terminar
1840,1842.0,aléjate,alejar
1841,1843.0,busco,buscar
1842,1844.0,contento,contento
1843,1845.0,date,dar
1844,1846.0,tumba,tumba tumbar
1845,1847.0,huellas,huella
1846,1848.0,cuerpos,cuerpo
1847,1849.0,absoluto,absoluto
1848,1850.0,pide,pedir
1849,1851.0,dura,duro durar
1850,1852.0,descansar,descansar
1851,1853.0,respuestas,respuesta
1852,1854.0,propiedad,propiedad
1853,1855.0,llamando,llamar
1854,1856.0,dormido,dormir
1855,1857.0,castillo,castillo
1856,1858.0,china,chino China
1857,1859.0,datos,dato
1858,1860.0,torre,torre
1859,1861.0,robar,robar
1860,1862.0,americanos,americano
1861,1863.0,malos,malo
1862,1864.0,botella,botella
1863,1865.0,aquellos,aquellos
1864,1866.0,últimamente,últimamente
1865,1867.0,testigo,testigo
1866,1868.0,presento,presentar
1867,1869.0,periódico,periódico
1868,1870.0,juez,juez
1869,1871.0,historias,historia
1870,1872.0,gustaba,gustar
1871,1873.0,créeme,creer
1872,1874.0,necesitar,necesitar
1873,1875.0,esquina,esquina
1874,1876.0,millas,milla
1875,1877.0,llamadas,llamada llamar
1876,1878.0,fuente,fuente
1877,1879.0,conocemos,conocer
1878,1880.0,techo,techo techar
1879,1881.0,genio,genio
1880,1882.0,alerta,alerta
1881,1883.0,ideas,idea
1882,1884.0,tomas,toma tomar
1883,1885.0,olvidar,olvidar
1884,1886.0,menor,menor
1885,1887.0,droga,droga
1886,1888.0,explicar,explicar
1887,1889.0,abierta,abierto abrir
1888,1890.0,privado,privado privar
1889,1891.0,miembros,miembro
1890,1892.0,nacional,nacional
1891,1893.0,gustó,gustar
1892,1894.0,discutir,discutir
1893,1895.0,evidencia,evidencia
1894,1896.0,detalles,detalle
1895,1897.0,tardes,tarde tardar
1896,1898.0,tomaré,tomar
1897,1899.0,presente,presente presentar
1898,1900.0,criminal,criminal
1899,1901.0,premio,premio
