,Number,Spanish,lemma forms
5500,5502.0,mande,mandar
5501,5503.0,ligera,ligero
5502,5504.0,iris,iris
5503,5505.0,horno,horno
5504,5506.0,grosero,grosero
5505,5507.0,elementos,elemento
5506,5508.0,debías,deber
5507,5509.0,culpo,culpar
5508,5510.0,comencemos,comenzar
5509,5511.0,bebo,beber
5510,5512.0,veloz,veloz
5511,5513.0,telefónica,telefónico
5512,5514.0,tatuaje,tatuaje
5513,5515.0,sácalo,sacar
5514,5516.0,resuelto,resuelto resolver
5515,5517.0,quedaría,quedar
5516,5518.0,pais,país
5517,5519.0,nocturno,nocturno
5518,5520.0,líquido,líquido
5519,5521.0,filas,fila
5520,5522.0,estes,estar
5521,5523.0,espías,espía
5522,5524.0,especialidad,especialidad
5523,5525.0,aves,ave
5524,5526.0,amables,amable
5525,5527.0,uniformes,uniforme
5526,5528.0,sentirlo,sentir
5527,5529.0,retrocede,retroceder
5528,5530.0,reconocer,reconocer
5529,5531.0,rebelde,rebelde
5530,5532.0,plena,pleno
5531,5533.0,pervertido,pervertido pervertir
5532,5534.0,obedecer,obedecer
5533,5535.0,mentido,mentido mentir
5534,5536.0,matara,matar
5535,5537.0,llamarla,llamar
5536,5538.0,jade,jade
5537,5539.0,entienda,entender
5538,5540.0,ego,ego
5539,5541.0,echó,echar
5540,5542.0,considero,considerar
5541,5543.0,cobardes,cobarde
5542,5544.0,césped,césped
5543,5545.0,capullo,capullo
5544,5546.0,baños,baño
5545,5547.0,supervivencia,supervivencia
5546,5548.0,soñado,soñado soñar
5547,5549.0,separados,separado separar
5548,5550.0,respirando,respirar
5549,5551.0,negras,negro
5550,5552.0,infantería,infantería
5551,5553.0,identificado,identificado identificar
5552,5554.0,honesta,honesto
5553,5555.0,hambriento,hambriento
5554,5556.0,escribo,escribir
5555,5557.0,despedirme,despedir
5556,5558.0,demos,dar
5557,5559.0,cortesía,cortesía
5558,5560.0,colonia,colonia
5559,5561.0,ayudes,ayudar
5560,5562.0,amiguito,amiguito amigo
5561,5563.0,alfa,alfa
5562,5564.0,temen,temer
5563,5565.0,suéltenme,soltar
5564,5566.0,sensacional,sensacional
5565,5567.0,sacarle,sacar
5566,5568.0,prostitutas,prostituta
5567,5569.0,pondrás,poner
5568,5570.0,literalmente,literalmente
5569,5571.0,licor,licor
5570,5572.0,juzgar,juzgar
5571,5573.0,equilibrio,equilibrio
5572,5574.0,envíen,enviar
5573,5575.0,entregado,entregado entregar
5574,5576.0,corazon,corazón
5575,5577.0,consulta,consulta consultar
5576,5578.0,boxeador,boxeador
5577,5579.0,bahía,bahía
5578,5580.0,usen,usar
5579,5581.0,taller,taller
5580,5582.0,rompiste,romper
5581,5583.0,quitaron,quitar
5582,5584.0,patatas,patata
5583,5585.0,operar,operar
5584,5586.0,mochila,mochila
5585,5587.0,interesada,interesado interesar
5586,5588.0,inspiración,inspiración
5587,5589.0,explicaré,explicar
5588,5590.0,estuviese,estar
5589,5591.0,enero,enero
5590,5592.0,cumple,cumplir
5591,5593.0,claudia,claudia Claudia
5592,5594.0,lógico,lógico
5593,5595.0,islas,isla
5594,5596.0,insignificante,insignificante
5595,5597.0,hermandad,hermandad
5596,5598.0,goma,goma
5597,5599.0,franco,franco Franco
5598,5600.0,duermes,dormir
5599,5601.0,chimenea,chimenea
