,Spanish,show,lemma
1500,vacaciones,*vacaciones* (vacación),vacación
1501,perdió,*perdió* (perder),perder
1502,fondo,fondo,fondo
1503,verde,verde,verde
1504,parecen,*parecen* (parecer),parecer
1505,mama,mama,mama
1506,bienvenida,bienvenida,bienvenida
1507,opción,opción,opción
1508,operación,operación,operación
1509,hablado,*hablado* (hablar),hablar
1510,traer,traer,traer
1511,principal,principal,principal
1512,demonio,demonio,demonio
1513,zapatos,*zapatos* (zapato),zapato
1514,leo,*leo* (leer),leer
1515,respecto,respecto,respecto
1516,nuevos,*nuevos* (nuevo),nuevo
1517,especie,especie,especie
1518,pidió,*pidió* (pedir),pedir
1519,éxito,éxito,éxito
1520,cabrón,cabrón,cabrón
1521,mírame,*mírame* (mirar),mirar
1522,piernas,*piernas* (pierna),pierna
1523,unidad,unidad,unidad
1524,hielo,hielo,hielo
1525,llegamos,*llegamos* (llegar),llegar
1526,déjeme,*déjeme* (dejar),dejar
1527,debí,*debí* (deber),deber
1528,vendrá,*vendrá* (venir),venir
1529,matrimonio,matrimonio,matrimonio
1530,habías,*habías* (haber),haber
1531,podrá,*podrá* (poder),poder
1532,piel,piel,piel
1533,preocupa,*preocupa* (preocupar),preocupar
1534,quedarme,*quedarme* (quedar),quedar
1535,mio,*mio* (mío),mío
1536,mio,mio,mio
1537,tuviera,*tuviera* (tener),tener
1538,tiempos,*tiempos* (tiempo),tiempo
1539,quienes,*quienes* (quien),quien
1540,oiga,*oiga* (oír),oír
1541,últimos,*últimos* (último),último
1542,oigan,*oigan* (oír),oír
1543,fuimos,*fuimos* (ir),ir
1544,fuimos,*fuimos* (ser),ser
1545,arte,arte,arte
1546,necesitaba,*necesitaba* (necesitar),necesitar
1547,quiénes,*quiénes* (quién),quién
1548,común,común,común
1549,intentando,*intentando* (intentar),intentar
1550,llevaré,*llevaré* (llevar),llevar
1551,levántate,*levántate* (levantar),levantar
1552,correr,correr,correr
1553,brillante,brillante,brillante
1554,calor,calor,calor
1555,planes,*planes* (plan),plan
1556,dra,*dra* (doctora),doctora
1557,visita,visita,visita
1558,presión,presión,presión
1559,pared,pared,pared
1560,esperanza,esperanza,esperanza
1561,completo,completo,completo
1562,completo,*completo* (completar),completar
1563,subir,subir,subir
1564,cansado,*cansado* (cansar),cansar
1565,cansado,cansado,cansado
1566,llame,*llame* (llamar),llamar
1567,recordar,recordar,recordar
1568,trampa,trampa,trampa
1569,monstruo,monstruo,monstruo
1570,bajar,bajar,bajar
1571,pierna,pierna,pierna
1572,señores,*señores* (señor),señor
1573,tomó,*tomó* (tomar),tomar
1574,pasará,*pasará* (pasar),pasar
1575,mataste,*mataste* (matar),matar
1576,grandioso,grandioso,grandioso
1577,socio,socio,socio
1578,herido,*herido* (herir),herir
1579,herido,herido,herido
1580,cayó,*cayó* (caer),caer
1581,fuerzas,*fuerzas* (fuerza),fuerza
1582,fuerzas,*fuerzas* (forzar),forzar
1583,cine,cine,cine
1584,escena,escena,escena
1585,tía,tía,tía
1586,dando,*dando* (dar),dar
1587,puntos,*puntos* (punto),punto
1588,teníamos,*teníamos* (tener),tener
1589,dejaste,*dejaste* (dejar),dejar
1590,muévete,*muévete* (mover),mover
1591,larga,*larga* (largo),largo
1592,larga,*larga* (largar),largar
1593,solía,*solía* (soler),soler
1594,tema,tema,tema
1595,tema,*tema* (temer),temer
1596,preparado,preparado,preparado
1597,preparado,*preparado* (preparar),preparar
1598,depende,*depende* (depender),depender
1599,policías,*policías* (policía),policía
1600,solos,*solos* (solo),solo
1601,matarme,*matarme* (matar),matar
1602,pon,*pon* (poner),poner
1603,hubiese,*hubiese* (haber),haber
1604,bebe,*bebe* (beber),beber
1605,tanta,*tanta* (tanto),tanto
1606,oeste,oeste,oeste
1607,parís,*parís* (París),París
1608,viento,viento,viento
1609,jóvenes,*jóvenes* (joven),joven
1610,hacerme,*hacerme* (hacer),hacer
1611,asiento,asiento,asiento
1612,estupendo,estupendo,estupendo
1613,caminar,caminar,caminar
1614,juicio,juicio,juicio
1615,creerlo,*creerlo* (creer),creer
1616,carga,carga,carga
1617,carga,*carga* (cargar),cargar
1618,tranquila,*tranquila* (tranquilo),tranquilo
1619,banda,banda,banda
1620,estarán,*estarán* (estar),estar
1621,animal,animal,animal
1622,escuchen,*escuchen* (escuchar),escuchar
1623,encontraron,*encontraron* (encontrar),encontrar
1624,dejas,*dejas* (dejar),dejar
1625,tarjeta,tarjeta,tarjeta
1626,ibas,*ibas* (ir),ir
1627,podrás,*podrás* (poder),poder
1628,nueve,nueve,nueve
1629,seguramente,seguramente,seguramente
1630,volverá,*volverá* (volver),volver
1631,majestad,majestad,majestad
1632,llena,*llena* (lleno),lleno
1633,llena,*llena* (llenar),llenar
1634,caer,caer,caer
1635,aeropuerto,aeropuerto,aeropuerto
1636,vayamos,*vayamos* (ir),ir
1637,acabado,*acabado* (acabar),acabar
1638,sigo,*sigo* (seguir),seguir
1639,enorme,enorme,enorme
1640,área,área,área
1641,muevas,*muevas* (mover),mover
1642,haberlo,*haberlo* (haber),haber
1643,dejen,*dejen* (dejar),dejar
1644,ridículo,ridículo,ridículo
1645,reloj,reloj,reloj
1646,hagamos,*hagamos* (hacer),hacer
1647,flores,*flores* (flor),flor
1648,mapa,mapa,mapa
1649,culpable,culpable,culpable
1650,cuentas,*cuentas* (cuenta),cuenta
1651,cuentas,*cuentas* (contar),contar
1652,pareja,pareja,pareja
1653,tomando,*tomando* (tomar),tomar
1654,laboratorio,laboratorio,laboratorio
1655,beso,beso,beso
1656,beso,*beso* (besar),besar
1657,empezó,*empezó* (empezar),empezar
1658,pedí,*pedí* (pedir),pedir
1659,nariz,nariz,nariz
1660,cuestión,cuestión,cuestión
1661,terminó,*terminó* (terminar),terminar
1662,vengo,*vengo* (venir),venir
1663,perdona,*perdona* (perdonar),perdonar
1664,acuerdas,*acuerdas* (acordar),acordar
1665,verano,verano,verano
1666,prefiero,*prefiero* (preferir),preferir
1667,peso,peso,peso
1668,peso,*peso* (pesar),pesar
1669,oscuridad,oscuridad,oscuridad
1670,diferentes,*diferentes* (diferente),diferente
1671,cliente,cliente,cliente
1672,cuántas,*cuántas* (cuántos),cuántos
1673,televisión,televisión,televisión
1674,suya,*suya* (suyo),suyo
1675,prensa,prensa,prensa
1676,vistazo,vistazo,vistazo
1677,inmediatamente,inmediatamente,inmediatamente
1678,solamente,solamente,solamente
1679,gordo,gordo,gordo
1680,quedarse,*quedarse* (quedar),quedar
1681,posibilidad,posibilidad,posibilidad
1682,medicina,medicina,medicina
1683,malditos,*malditos* (maldito),maldito
1684,pantalones,*pantalones* (pantalón),pantalón
1685,mataron,*mataron* (matar),matar
1686,ayude,*ayude* (ayudar),ayudar
1687,podremos,*podremos* (poder),poder
1688,locos,*locos* (loco),loco
1689,nombres,*nombres* (nombre),nombre
1690,parecer,parecer,parecer
1691,américa,*américa* (América),América
1692,definitivamente,definitivamente,definitivamente
1693,cinta,cinta,cinta
1694,desea,*desea* (desear),desear
1695,brazos,*brazos* (brazo),brazo
