,Number,Spanish,lemma forms
2500,2502.0,asistente,asistente
2501,2503.0,imperio,imperio
2502,2504.0,pidiendo,pedir
2503,2505.0,notas,nota notar
2504,2506.0,curioso,curioso
2505,2507.0,operaciones,operación
2506,2508.0,mantén,mantener
2507,2509.0,tierras,tierra
2508,2510.0,creas,creer
2509,2511.0,pez,pez
2510,2512.0,morirá,morir
2511,2513.0,visión,visión
2512,2514.0,montañas,montaña
2513,2515.0,comido,comido comer
2514,2516.0,construir,construir
2515,2517.0,comunidad,comunidad
2516,2518.0,verán,ver
2517,2519.0,pierde,perder
2518,2520.0,piense,pensar
2519,2521.0,felicidad,felicidad
2520,2522.0,diversión,diversión
2521,2523.0,salvó,salvar
2522,2524.0,quita,quitar
2523,2525.0,museo,museo
2524,2526.0,disparó,disparar
2525,2527.0,desearía,desear
2526,2528.0,misterio,misterio
2527,2529.0,buscamos,buscar
2528,2530.0,aviso,aviso avisar
2529,2531.0,almirante,almirante
2530,2532.0,solución,solución
2531,2533.0,pequeñas,pequeño
2532,2534.0,faltan,faltar
2533,2535.0,existen,existir
2534,2536.0,combustible,combustible
2535,2537.0,leído,leer
2536,2538.0,tirar,tirar
2537,2539.0,responder,responder
2538,2540.0,esfuerzo,esfuerzo esforzar
2539,2541.0,vuelves,volver
2540,2542.0,pájaro,pájaro
2541,2543.0,hermanas,hermana
2542,2544.0,guerrero,guerrero
2543,2545.0,esposas,esposas esposa
2544,2546.0,coma,coma comer
2545,2547.0,abra,abrir abra
2546,2548.0,traes,traer
2547,2549.0,sientas,sentir sentar
2548,2550.0,olvide,olvidar
2549,2551.0,bolsillo,bolsillo
2550,2552.0,heridas,herida herir
2551,2553.0,saco,saco sacar
2552,2554.0,gasolina,gasolina
2553,2555.0,conexión,conexión
2554,2556.0,correcta,correcto
2555,2557.0,pedazos,pedazo
2556,2558.0,líneas,línea
2557,2559.0,estarías,estar
2558,2560.0,convierte,convertir
2559,2561.0,ayudará,ayudar
2560,2562.0,rumbo,rumbo
2561,2563.0,rompió,romper
2562,2564.0,muera,morir
2563,2565.0,mia,mío Mia
2564,2566.0,material,material
2565,2567.0,diamantes,diamante
2566,2568.0,rápidamente,rápidamente
2567,2569.0,mírate,mirar
2568,2570.0,fecha,fecha
2569,2571.0,escritorio,escritorio
2570,2572.0,digan,decir
2571,2573.0,registro,registro registrar
2572,2574.0,maten,matar
2573,2575.0,incendio,incendio
2574,2576.0,deme,dar
2575,2577.0,sois,ser
2576,2578.0,pensamientos,pensamiento
2577,2579.0,dímelo,decir
2578,2580.0,comiendo,comer
2579,2581.0,aparte,aparte
2580,2582.0,asesinatos,asesinato
2581,2583.0,lección,lección
2582,2584.0,algun,algún
2583,2585.0,abrigo,abrigo
2584,2586.0,tratamiento,tratamiento
2585,2587.0,julio,julio
2586,2588.0,pene,pene
2587,2589.0,conejo,conejo
2588,2590.0,suceder,suceder
2589,2591.0,ruta,ruta
2590,2592.0,ciego,ciego
2591,2593.0,asqueroso,asqueroso
2592,2594.0,súper,súper
2593,2595.0,prisionero,prisionero
2594,2596.0,odie,odiar
2595,2597.0,ocupada,ocupado ocupar
2596,2598.0,llevarlo,llevar
2597,2599.0,empezamos,empezar
2598,2600.0,estuvimos,estar
2599,2601.0,decírselo,decir
