,Spanish,show,lemma
4500,misiles,*misiles* (misil),misil
4501,desnuda,*desnuda* (desnudo),desnudo
4502,desnuda,*desnuda* (desnudar),desnudar
4503,vaquero,vaquero,vaquero
4504,únicos,*únicos* (único),único
4505,trasera,*trasera* (trasero),trasero
4506,sano,sano,sano
4507,piezas,*piezas* (pieza),pieza
4508,liga,liga,liga
4509,liga,*liga* (ligar),ligar
4510,gerente,gerente,gerente
4511,caridad,caridad,caridad
4512,armados,*armados* (armado),armado
4513,armados,*armados* (armar),armar
4514,trajeron,*trajeron* (traer),traer
4515,religión,religión,religión
4516,fotografías,*fotografías* (fotografía),fotografía
4517,sentirse,*sentirse* (sentir),sentir
4518,rezar,rezar,rezar
4519,protege,*protege* (proteger),proteger
4520,preparen,*preparen* (preparar),preparar
4521,niñera,niñera,niñera
4522,naranja,naranja,naranja
4523,naranja,*naranja* (naranjo),naranjo
4524,matarnos,*matarnos* (matar),matar
4525,jugada,jugada,jugada
4526,jugada,*jugada* (jugar),jugar
4527,espérame,*espérame* (esperar),esperar
4528,enseñarte,*enseñarte* (enseñar),enseñar
4529,cohete,cohete,cohete
4530,tanques,*tanques* (tanque),tanque
4531,sombras,*sombras* (sombra),sombra
4532,moverse,*moverse* (mover),mover
4533,llegara,*llegara* (llegar),llegar
4534,cortó,*cortó* (cortar),cortar
4535,cierren,*cierren* (cerrar),cerrar
4536,volverán,*volverán* (volver),volver
4537,usamos,*usamos* (usar),usar
4538,sabremos,*sabremos* (saber),saber
4539,maletín,maletín,maletín
4540,lenguaje,lenguaje,lenguaje
4541,invitación,invitación,invitación
4542,cambian,*cambian* (cambiar),cambiar
4543,rehenes,*rehenes* (rehén),rehén
4544,encontremos,*encontremos* (encontrar),encontrar
4545,descubrí,*descubrí* (descubrir),descubrir
4546,audiencia,audiencia,audiencia
4547,agenda,agenda,agenda
4548,sígueme,*sígueme* (seguir),seguir
4549,sensible,sensible,sensible
4550,reverendo,reverendo,reverendo
4551,queréis,*queréis* (querer),querer
4552,cazar,cazar,cazar
4553,bodas,*bodas* (boda),boda
4554,seguiremos,*seguiremos* (seguir),seguir
4555,rosas,*rosas* (rosa),rosa
4556,retiro,retiro,retiro
4557,retiro,*retiro* (retirar),retirar
4558,primeras,*primeras* (primero),primero
4559,poderosa,*poderosa* (poderoso),poderoso
4560,deberia,*deberia* (deber),deber
4561,cantando,*cantando* (cantar),cantar
4562,antiguos,*antiguos* (antiguo),antiguo
4563,teme,*teme* (temer),temer
4564,síganme,*síganme* (seguir),seguir
4565,moviendo,*moviendo* (mover),mover
4566,juventud,juventud,juventud
4567,equivocas,*equivocas* (equivocar),equivocar
4568,trabajadores,*trabajadores* (trabajador),trabajador
4569,seguí,*seguí* (seguir),seguir
4570,salvaste,*salvaste* (salvar),salvar
4571,pulmones,*pulmones* (pulmón),pulmón
4572,payaso,payaso,payaso
4573,oírlo,*oírlo* (oír),oír
4574,fama,fama,fama
4575,engaño,engaño,engaño
4576,engaño,*engaño* (engañar),engañar
4577,distrito,distrito,distrito
4578,disculparme,*disculparme* (disculpar),disculpar
4579,ciudadano,ciudadano,ciudadano
4580,robando,*robando* (robar),robar
4581,equipaje,equipaje,equipaje
