,Number,Spanish,lemma forms
5600,5602.0,trataron,tratar
5601,5603.0,tardará,tardar
5602,5604.0,sábanas,sábana
5603,5605.0,polo,polo
5604,5606.0,podia,poder
5605,5607.0,perspectiva,perspectiva
5606,5608.0,papás,papá
5607,5609.0,ministerio,ministerio
5608,5610.0,gesto,gesto gestar
5609,5611.0,fumando,fumar
5610,5612.0,disfrutando,disfrutar
5611,5613.0,debas,deber
5612,5614.0,culpar,culpar
5613,5615.0,atreve,atrever
5614,5616.0,arriesgar,arriesgar
5615,5617.0,arabia,Arabia arabio
5616,5618.0,vital,vital
5617,5619.0,túneles,túnel
5618,5620.0,transferencia,transferencia
5619,5621.0,suicidó,suicidar
5620,5622.0,sucios,sucio
5621,5623.0,seguida,en seguida seguido seguir
5622,5624.0,regresamos,regresar
5623,5625.0,recibirá,recibir
5624,5626.0,oculto,oculto ocultar
5625,5627.0,honorable,honorable
5626,5628.0,hmm,hmm
5627,5629.0,generaciones,generación
5628,5630.0,escolar,escolar
5629,5631.0,dámela,dar
5630,5632.0,controlado,controlado controlar
5631,5633.0,constantemente,constantemente
5632,5634.0,cheques,cheque
5633,5635.0,bromeo,bromear
5634,5636.0,australia,Australia
5635,5637.0,asegurarnos,asegurar
5636,5638.0,apetito,apetito
5637,5639.0,vivió,vivir
5638,5640.0,vías,vía
5639,5641.0,piden,pedir
5640,5642.0,órbita,órbita
5641,5643.0,manzanas,manzana
5642,5644.0,interesantes,interesante
5643,5645.0,herir,herir
5644,5646.0,exámenes,examen
5645,5647.0,enfadada,enfadado enfadar
5646,5648.0,cuadras,cuadra
5647,5649.0,cometí,cometer
5648,5650.0,colorado,colorado colorar
5649,5651.0,asia,Asia
5650,5652.0,término,término
5651,5653.0,síndrome,síndrome
5652,5654.0,refrigerador,refrigerador
5653,5655.0,ofrezco,ofrecer
5654,5656.0,mentiste,mentir
5655,5657.0,mecanismo,mecanismo
5656,5658.0,manejarlo,manejar
5657,5659.0,especialista,especialista
5658,5660.0,dejarlos,dejar
5659,5661.0,crucero,crucero
5660,5662.0,avísame,avisar
5661,5663.0,ardiendo,arder
5662,5664.0,saludar,saludar
5663,5665.0,papito,papito papá
5664,5666.0,oficio,oficio
5665,5667.0,metieron,meter
5666,5668.0,estadounidenses,estadounidense
5667,5669.0,divertirnos,divertir
5668,5670.0,cuentan,contar
5669,5671.0,toneladas,tonelada
5670,5672.0,tobillo,tobillo
5671,5673.0,técnico,técnico
5672,5674.0,saudita,Arabia Saudita
5673,5675.0,salvador,salvador
5674,5676.0,sabré,saber
5675,5677.0,presta,prestar
5676,5678.0,ordenar,ordenar
5677,5679.0,naciste,nacer
5678,5680.0,mostró,mostrar
5679,5681.0,moderna,moderno
5680,5682.0,mito,mito
5681,5683.0,juramento,juramento
5682,5684.0,garras,garra
5683,5685.0,consejero,consejero
5684,5686.0,confusión,confusión
5685,5687.0,aguarda,aguardar
5686,5688.0,vuestras,vuestro
5687,5689.0,ventas,venta
5688,5690.0,sirviente,sirviente
5689,5691.0,sierra,sierra
5690,5692.0,serios,serio
5691,5693.0,pónganse,poner
5692,5694.0,perderte,perder
5693,5695.0,juegan,jugar
5694,5696.0,indicado,indicado indicar
5695,5697.0,entrenado,entrenado entrenar
5696,5698.0,enteré,enterar
5697,5699.0,enhorabuena,enhorabuena
5698,5700.0,cuba,Cuba
5699,5701.0,cruce,cruce cruzar
