,Number,Spanish,lemma forms
200,201.0,buen,bueno
201,202.0,había,haber
202,203.0,ven,ver venir
203,204.0,tres,tres
204,205.0,menos,menos
205,206.0,debe,deber
206,207.0,tenía,tener
207,208.0,mal,mal
208,209.0,conmigo,conmigo
209,210.0,madre,madre
210,211.0,hoy,hoy
211,212.0,quien,quien
212,213.0,sido,ser
213,214.0,mamá,mamá
214,215.0,tienen,tener
215,216.0,luego,luego
216,217.0,todas,todo
217,218.0,allí,allí
218,219.0,toda,todo
219,220.0,hora,hora
220,221.0,mujer,mujer
221,222.0,visto,ver
222,223.0,haces,hacer
223,224.0,importa,importar
224,225.0,contigo,contigo
225,226.0,ve,ver ir
226,227.0,tarde,tarde tardar
227,228.0,oye,oír
228,229.0,parte,partir parte
229,230.0,haber,haber
230,231.0,hombres,hombre
231,232.0,problema,problema
232,233.0,mas,mas
233,234.0,saber,saber
234,235.0,quería,querer
235,236.0,aún,aún
236,237.0,veces,vez
237,238.0,nuestra,nuestro
238,239.0,hacerlo,hacer
239,240.0,cada,cada
240,241.0,hizo,hacer
241,242.0,veo,ver
242,243.0,tanto,tanto
243,244.0,razón,razón
244,245.0,ustedes,usted
245,246.0,idea,idea
246,247.0,esos,eso
247,248.0,van,ir
248,249.0,quizá,quizá
249,250.0,debo,deber
250,251.0,alguna,alguno
251,252.0,cierto,cierto
252,253.0,ud,usted
253,254.0,muerto,muerto morir
254,255.0,unos,un
255,256.0,estos,este
256,257.0,salir,salir
257,258.0,policía,policía
258,259.0,realmente,realmente
259,260.0,demasiado,demasiado
260,261.0,familia,familia
261,262.0,pueden,poder
262,263.0,cabeza,cabeza
263,264.0,hemos,haber
264,265.0,amigos,amigo
265,266.0,chica,chico chica
266,267.0,cariño,cariño
267,268.0,lado,lado
268,269.0,allá,allá
269,270.0,entre,entre
270,271.0,minutos,minuto
271,272.0,digo,decir
272,273.0,algún,algún
273,274.0,serio,serio
274,275.0,cuidado,cuidar cuidado
275,276.0,pasó,pasar
276,277.0,buenas,bueno
277,278.0,somos,ser
278,279.0,amor,amor
279,280.0,puerta,puerta
280,281.0,ves,ver
281,282.0,vaya,ir
282,283.0,ah,ah
283,284.0,suerte,suerte
284,285.0,eh,eh
285,286.0,rápido,rápido
286,287.0,cuenta,contar cuenta
287,288.0,quizás,quizás
288,289.0,esas,ese
289,290.0,pues,pues
290,291.0,pasado,pasar pasado
291,292.0,pensé,pensar
292,293.0,todavía,todavía
293,294.0,hermano,hermano
294,295.0,debes,deber
295,296.0,casi,casi
296,297.0,forma,forma
297,298.0,aqui,aquí
298,299.0,chico,chico
299,300.0,ok,ok
