,Number,Spanish,lemma forms
4200,4202.0,cumplido,cumplido cumplir
4201,4203.0,brindis,brindis
4202,4204.0,villa,villa
4203,4205.0,trono,trono
4204,4206.0,traen,traer
4205,4207.0,sentados,sentado sentar
4206,4208.0,samurai,samurai
4207,4209.0,salía,salir
4208,4210.0,raras,raro
4209,4211.0,producción,producción
4210,4212.0,medias,medio
4211,4213.0,lavar,lavar
4212,4214.0,jazz,jazz
4213,4215.0,extraordinario,extraordinario
4214,4216.0,causado,causado causar
4215,4217.0,serpientes,serpiente
4216,4218.0,revisa,revisar
4217,4219.0,quedate,quedar
4218,4220.0,nervios,nervio
4219,4221.0,estable,estable
4220,4222.0,cerdos,cerdo
4221,4223.0,riesgos,riesgo
4222,4224.0,pasaste,pasar
4223,4225.0,madres,madre
4224,4226.0,instinto,instinto
4225,4227.0,episodio,episodio
4226,4228.0,empezaron,empezar
4227,4229.0,aniversario,aniversario
4228,4230.0,viera,ver
4229,4231.0,viajes,viaje
4230,4232.0,trabajé,trabajar
4231,4233.0,rango,rango
4232,4234.0,preocupación,preocupación
4233,4235.0,métete,meter
4234,4236.0,imaginé,imaginar
4235,4237.0,hayamos,haber
4236,4238.0,fenómeno,fenómeno
4237,4239.0,dolores,dolor
4238,4240.0,demanda,demanda demandar
4239,4241.0,creó,creer
4240,4242.0,asegurar,asegurar
4241,4243.0,pesadillas,pesadilla
4242,4244.0,niega,negar
4243,4245.0,molestia,molestia
4244,4246.0,extremo,extremo
4245,4247.0,debilidad,debilidad
4246,4248.0,compasión,compasión
4247,4249.0,camiones,camión
4248,4250.0,aproximadamente,aproximadamente
4249,4251.0,afecta,afectar
4250,4252.0,administración,administración
4251,4253.0,reconocimiento,reconocimiento
4252,4254.0,recientemente,recientemente
4253,4255.0,practicar,practicar
4254,4256.0,pierdas,perder
4255,4257.0,pandilla,pandilla
4256,4258.0,miss,miss
4257,4259.0,mates,matar mate
4258,4260.0,disparando,disparar
4259,4261.0,británicos,británico
4260,4262.0,ayudarlos,ayudar
4261,4263.0,sueldo,sueldo
4262,4264.0,siguió,seguir
4263,4265.0,significado,significado significar
4264,4266.0,miente,mentir
4265,4267.0,medidas,medida medir
4266,4268.0,guitarra,guitarra
4267,4269.0,custodia,custodia
4268,4270.0,boletos,boleto
4269,4271.0,ayudado,ayudar
4270,4272.0,sentarte,sentar
4271,4273.0,risa,risa
4272,4274.0,quemar,quemar
4273,4275.0,prometió,prometer
4274,4276.0,observando,observar
4275,4277.0,lectura,lectura
4276,4278.0,jódete,joder
4277,4279.0,considerado,considerado considerar
4278,4280.0,cometer,cometer
4279,4281.0,cambié,cambiar
4280,4282.0,asientos,asiento
4281,4283.0,satisfecho,satisfecho satisfacer
4282,4284.0,saludable,saludable
4283,4285.0,lanzar,lanzar
4284,4286.0,hoja,hoja
4285,4287.0,conozca,conocer
4286,4288.0,concepto,concepto
4287,4289.0,colgar,colgar
4288,4290.0,apunta,apuntar
4289,4291.0,renta,renta rentar
4290,4292.0,prefieres,preferir
4291,4293.0,pediré,pedir
4292,4294.0,mediodía,mediodía
4293,4295.0,influencia,influencia
4294,4296.0,hacernos,hacer
4295,4297.0,figura,figura figurar
4296,4298.0,ensayo,ensayo ensayar
4297,4299.0,coordenadas,coordenada
4298,4300.0,casó,casar
4299,4301.0,político,político
