,Number,Spanish,lemma forms
4700,4702.0,terminará,terminar
4701,4703.0,llenar,llenar
4702,4704.0,líderes,líder
4703,4705.0,ganan,ganar
4704,4706.0,fingir,fingir
4705,4707.0,estrategia,estrategia
4706,4708.0,dirán,decir
4707,4709.0,confías,confiar
4708,4710.0,cómoda,cómoda cómodo
4709,4711.0,comience,comenzar
4710,4712.0,cenizas,ceniza
4711,4713.0,capaces,capaz
4712,4714.0,temía,temer
4713,4715.0,sonríe,sonreír
4714,4716.0,quite,quitar
4715,4717.0,necesites,necesitar
4716,4718.0,mostrarle,mostrar
4717,4719.0,mordió,morder
4718,4720.0,jefa,jefa
4719,4721.0,fallo,fallo fallar
4720,4722.0,empiezan,empezar
4721,4723.0,dispositivo,dispositivo
4722,4724.0,detesto,detestar
4723,4725.0,aprendiste,aprender
4724,4726.0,aman,amar
4725,4727.0,agradecido,agradecido agradecer
4726,4728.0,agáchate,agachar
4727,4729.0,terminaste,terminar
4728,4730.0,sida,SIDA
4729,4731.0,mueras,morir
4730,4732.0,mentí,mentir
4731,4733.0,lujo,lujo
4732,4734.0,láser,láser
4733,4735.0,importe,importe importar
4734,4736.0,físico,físico
4735,4737.0,caes,caer
4736,4738.0,tiros,tiro
4737,4739.0,miran,mirar
4738,4740.0,hadas,hada
4739,4741.0,ganancias,ganancia
4740,4742.0,fritas,frito
4741,4743.0,fantasía,fantasía
4742,4744.0,deténgase,detener
4743,4745.0,déjenlo,dejar
4744,4746.0,curar,curar
4745,4747.0,comidas,comida comido comer
4746,4748.0,quisiste,querer
4747,4749.0,pacífico,pacífico
4748,4750.0,oler,oler
4749,4751.0,ofreció,ofrecer
4750,4752.0,importaba,importar
4751,4753.0,certeza,certeza
4752,4754.0,actividades,actividad
4753,4755.0,vestidos,vestido
4754,4756.0,suele,soler
4755,4757.0,submarino,submarino
4756,4758.0,podrias,poder
4757,4759.0,pesa,pesa pesar
4758,4760.0,judas,judas
4759,4761.0,idioma,idioma
4760,4762.0,identificar,identificar
4761,4763.0,hubiéramos,haber
4762,4764.0,cañones,cañón
4763,4765.0,beneficios,beneficio
4764,4766.0,sospecha,sospecha sospechar
4765,4767.0,observación,observación
4766,4768.0,muchachas,muchacha
4767,4769.0,manejo,manejo manejar
4768,4770.0,jodiendo,joder
4769,4771.0,explicarlo,explicar
4770,4772.0,divino,divino
4771,4773.0,divertida,divertido divertir
4772,4774.0,despegue,despegue despegar
4773,4775.0,contrató,contratar
4774,4776.0,volumen,volumen
4775,4777.0,trabajó,trabajar
4776,4778.0,términos,término
4777,4779.0,morirán,morir
4778,4780.0,hombros,hombro
4779,4781.0,hada,hada
4780,4782.0,alegre,alegre
4781,4783.0,terribles,terrible
4782,4784.0,temes,temer
4783,4785.0,sabiduría,sabiduría
4784,4786.0,prioridad,prioridad
4785,4787.0,pluma,pluma
4786,4788.0,misil,misil
4787,4789.0,mansión,mansión
4788,4790.0,detenerme,detener
4789,4791.0,despertó,despertar
4790,4792.0,decírmelo,decir
4791,4793.0,cambiará,cambiar
4792,4794.0,arranca,arrancar
4793,4795.0,alejado,alejado alejar
4794,4796.0,soltero,soltero
4795,4797.0,pierden,perder
4796,4798.0,mascota,mascota
4797,4799.0,empuja,empujar
4798,4800.0,dentista,dentista
4799,4801.0,cogido,cogido coger
