,Spanish,show,lemma
3750,cañón,cañón,cañón
3751,tribunal,tribunal,tribunal
3752,sepan,*sepan* (saber),saber
3753,satélite,satélite,satélite
3754,recuerden,*recuerden* (recordar),recordar
3755,intentaré,*intentaré* (intentar),intentar
3756,falsa,falsa,falsa
3757,falsa,*falsa* (falso),falso
3758,coca,coca,coca
3759,símbolo,símbolo,símbolo
3760,rocas,*rocas* (roca),roca
3761,putas,*putas* (puta),puta
3762,pendejo,pendejo,pendejo
3763,mátalo,*mátalo* (matar),matar
3764,judío,judío,judío
3765,estando,*estando* (estar),estar
3766,subtítulos,*subtítulos* (subtítulo),subtítulo
3767,gritando,*gritando* (gritar),gritar
3768,dejemos,*dejemos* (dejar),dejar
3769,científicos,*científicos* (científico),científico
3770,bebiendo,*bebiendo* (beber),beber
3771,saque,*saque* (sacar),sacar
3772,metal,metal,metal
3773,despedida,despedida,despedida
3774,despedida,*despedida* (despedido),despedido
3775,despedida,*despedida* (despedir),despedir
3776,golf,golf,golf
3777,empiece,*empiece* (empezar),empezar
3778,defender,defender,defender
3779,crecer,crecer,crecer
3780,rota,*rota* (roto),roto
3781,sentimos,*sentimos* (sentir),sentir
3782,guerreros,*guerreros* (guerrero),guerrero
3783,echa,*echa* (echar),echar
3784,comunicación,comunicación,comunicación
3785,probado,*probado* (probar),probar
3786,pensarlo,*pensarlo* (pensar),pensar
3787,háblame,*háblame* (hablar),hablar
3788,detenido,detenido,detenido
3789,detenido,*detenido* (detener),detener
3790,sabría,*sabría* (saber),saber
3791,muertes,*muertes* (muerte),muerte
3792,movimientos,*movimientos* (movimiento),movimiento
3793,prohibido,prohibido,prohibido
3794,prohibido,*prohibido* (prohibir),prohibir
3795,pájaros,*pájaros* (pájaro),pájaro
3796,cargar,cargar,cargar
3797,podíamos,*podíamos* (poder),poder
3798,junior,junior,junior
3799,imágenes,*imágenes* (imagen),imagen
3800,haberse,*haberse* (haber),haber
3801,acusado,acusado,acusado
3802,acusado,*acusado* (acusar),acusar
3803,peleando,*peleando* (pelear),pelear
3804,lealtad,lealtad,lealtad
3805,considera,*considera* (considerar),considerar
3806,cazador,cazador,cazador
3807,buscarlo,*buscarlo* (buscar),buscar
3808,apaga,*apaga* (apagar),apagar
3809,objeto,objeto,objeto
3810,sofá,sofá,sofá
3811,personales,*personales* (personal),personal
3812,homicidio,homicidio,homicidio
3813,electricidad,electricidad,electricidad
3814,advertencia,advertencia,advertencia
3815,rumores,*rumores* (rumor),rumor
3816,mentir,mentir,mentir
3817,fíjate,*fíjate* (fijar),fijar
3818,deuda,deuda,deuda
3819,celoso,celoso,celoso
3820,bicicleta,bicicleta,bicicleta
3821,azules,*azules* (azul),azul
3822,visitas,*visitas* (visita),visita
3823,visitas,*visitas* (visitar),visitar
3824,mejorar,mejorar,mejorar
3825,escudo,escudo,escudo
3826,cueva,cueva,cueva
3827,aérea,*aérea* (aéreo),aéreo
3828,levantar,levantar,levantar
3829,juguetes,*juguetes* (juguete),juguete
3830,ciertamente,ciertamente,ciertamente
3831,bajen,*bajen* (bajar),bajar
3832,temas,*temas* (tema),tema
3833,pedirte,*pedirte* (pedir),pedir
3834,elegante,elegante,elegante
3835,divorcio,divorcio,divorcio
3836,depósito,depósito,depósito
