,Spanish,show,lemma
3000,altura,altura,altura
3001,todavia,*todavia* (todavía),todavía
3002,preparados,*preparados* (preparado),preparado
3003,preparados,*preparados* (preparar),preparar
3004,cuáles,*cuáles* (cuál),cuál
3005,mover,mover,mover
3006,jugador,jugador,jugador
3007,izquierdo,izquierdo,izquierdo
3008,tecnología,tecnología,tecnología
3009,raza,raza,raza
3010,conocerlo,*conocerlo* (conocer),conocer
3011,conde,conde,conde
3012,social,social,social
3013,gobernador,gobernador,gobernador
3014,coge,*coge* (coger),coger
3015,cubierta,*cubierta* (cubierto),cubierto
3016,cubierta,*cubierta* (cubrir),cubrir
3017,chiste,chiste,chiste
3018,chiste,*chiste* (chistar),chistar
3019,celda,celda,celda
3020,agarra,*agarra* (agarrar),agarrar
3021,secreta,*secreta* (secreto),secreto
3022,personalmente,personalmente,personalmente
3023,amistad,amistad,amistad
3024,amaba,*amaba* (amar),amar
3025,nació,*nació* (nacer),nacer
3026,interesado,interesado,interesado
3027,interesado,*interesado* (interesar),interesar
3028,intentado,*intentado* (intentar),intentar
3029,educación,educación,educación
3030,curiosidad,curiosidad,curiosidad
3031,buscan,*buscan* (buscar),buscar
3032,repito,*repito* (repetir),repetir
3033,pecado,pecado,pecado
3034,pecado,*pecado* (pecar),pecar
3035,mortal,mortal,mortal
3036,manda,*manda* (mandar),mandar
3037,manda,manda,manda
3038,claramente,claramente,claramente
3039,vía,vía,vía
3040,juntas,*juntas* (junta),junta
3041,juntas,*juntas* (juntar),juntar
3042,identificación,identificación,identificación
3043,dirige,*dirige* (dirigir),dirigir
3044,declaración,declaración,declaración
3045,alemán,alemán,alemán
3046,tontos,*tontos* (tonto),tonto
3047,mantiene,*mantiene* (mantener),mantener
3048,bestia,bestia,bestia
3049,veneno,veneno,veneno
3050,vecinos,*vecinos* (vecino),vecino
3051,supiera,*supiera* (saber),saber
3052,quieran,*quieran* (querer),querer
3053,salgo,*salgo* (salir),salir
3054,propias,*propias* (propio),propio
3055,privada,*privada* (privado),privado
3056,jurado,jurado,jurado
3057,jurado,*jurado* (jurar),jurar
3058,golpes,*golpes* (golpe),golpe
3059,usan,*usan* (usar),usar
3060,metas,*metas* (meta),meta
3061,metas,*metas* (meter),meter
3062,garganta,garganta,garganta
3063,invierno,invierno,invierno
3064,fila,fila,fila
3065,miel,miel,miel
3066,traigan,*traigan* (traer),traer
3067,sucedido,sucedido,sucedido
3068,sucedido,*sucedido* (suceder),suceder
3069,tranquilos,*tranquilos* (tranquilo),tranquilo
3070,madera,madera,madera
3071,burro,burro,burro
3072,artista,artista,artista
3073,pobres,*pobres* (pobre),pobre
3074,impresión,impresión,impresión
3075,ganó,*ganó* (ganar),ganar
3076,cruzar,cruzar,cruzar
3077,cigarrillos,*cigarrillos* (cigarrillo),cigarrillo
3078,ó,ó,ó
3079,llevarme,*llevarme* (llevar),llevar
3080,grial,grial,grial
3081,chaqueta,chaqueta,chaqueta
3082,alcalde,alcalde,alcalde
3083,vueltas,*vueltas* (vuelta),vuelta
3084,vueltas,*vueltas* (volver),volver
3085,usado,*usado* (usar),usar
3086,usado,usado,usado
3087,reputación,reputación,reputación
3088,pongas,*pongas* (poner),poner
3089,oxígeno,oxígeno,oxígeno
3090,cajas,*cajas* (caja),caja
3091,preocupada,*preocupada* (preocupado),preocupado
3092,preocupada,*preocupada* (preocupar),preocupar
3093,matan,*matan* (matar),matar
3094,empezando,*empezando* (empezar),empezar
3095,cabezas,*cabezas* (cabeza),cabeza
3096,ponerme,*ponerme* (poner),poner
3097,experto,experto,experto
3098,océano,océano,océano
3099,maestra,maestra,maestra
3100,maestra,*maestra* (maestro),maestro
3101,pieza,pieza,pieza
3102,cargos,*cargos* (cargo),cargo
3103,bombas,*bombas* (bomba),bomba
3104,alcohol,alcohol,alcohol
3105,trataba,*trataba* (tratar),tratar
