,Spanish,show,lemma
2250,borracho,borracho,borracho
2251,regresen,*regresen* (regresar),regresar
2252,váyanse,*váyanse* (ir),ir
2253,sentía,*sentía* (sentir),sentir
2254,resultado,resultado,resultado
2255,resultado,*resultado* (resultar),resultar
2256,parado,parado,parado
2257,parado,*parado* (parar),parar
2258,olvides,*olvides* (olvidar),olvidar
2259,mirada,mirada,mirada
2260,mirada,*mirada* (mirar),mirar
2261,inútil,inútil,inútil
2262,acabas,*acabas* (acabar),acabar
2263,ciencia,ciencia,ciencia
2264,perdiste,*perdiste* (perder),perder
2265,sociedad,sociedad,sociedad
2266,regrese,*regrese* (regresar),regresar
2267,camioneta,camioneta,camioneta
2268,coño,coño,coño
2269,revista,revista,revista
2270,pareció,*pareció* (parecer),parecer
2271,montaña,montaña,montaña
2272,maravillosa,*maravillosa* (maravilloso),maravilloso
2273,dejarlo,*dejarlo* (dejar),dejar
2274,máximo,máximo,máximo
2275,echar,echar,echar
2276,corriente,corriente,corriente
2277,escuchando,*escuchando* (escuchar),escuchar
2278,disculpas,*disculpas* (disculpa),disculpa
2279,disculpas,*disculpas* (disculpar),disculpar
2280,cadáver,cadáver,cadáver
2281,seguimos,*seguimos* (seguir),seguir
2282,ron,ron,ron
2283,ron,*ron* (Ron),Ron
2284,espectáculo,espectáculo,espectáculo
2285,mundial,mundial,mundial
2286,francia,*francia* (Francia),Francia
2287,decirles,*decirles* (decir),decir
2288,aspecto,aspecto,aspecto
2289,presencia,presencia,presencia
2290,famoso,famoso,famoso
2291,corto,corto,corto
2292,corto,*corto* (cortar),cortar
2293,relájate,*relájate* (relajar),relajar
2294,poderoso,poderoso,poderoso
2295,recuerdos,*recuerdos* (recuerdo),recuerdo
2296,llego,*llego* (llegar),llegar
2297,carretera,carretera,carretera
2298,pasé,*pasé* (pasar),pasar
2299,oigo,*oigo* (oír),oír
2300,esperamos,*esperamos* (esperar),esperar
2301,escuchado,*escuchado* (escuchar),escuchar
2302,cable,cable,cable
2303,rosa,rosa,rosa
2304,bola,bola,bola
2305,oferta,oferta,oferta
2306,intentarlo,*intentarlo* (intentar),intentar
2307,habido,*habido* (haber),haber
2308,continuar,continuar,continuar
2309,ladrón,ladrón,ladrón
2310,humanidad,humanidad,humanidad
2311,estómago,estómago,estómago
2312,entera,*entera* (entero),entero
2313,contó,*contó* (contar),contar
2314,poniendo,*poniendo* (poner),poner
2315,mercado,mercado,mercado
2316,granja,granja,granja
2317,idiotas,*idiotas* (idiota),idiota
2318,hablemos,*hablemos* (hablar),hablar
2319,estudiante,estudiante,estudiante
2320,siglo,siglo,siglo
2321,relaciones,*relaciones* (relación),relación
2322,hablan,*hablan* (hablar),hablar
2323,nosotras,nosotras,nosotras
2324,miembro,miembro,miembro
2325,fortuna,fortuna,fortuna
2326,libres,*libres* (libre),libre
2327,acciones,*acciones* (acción),acción
2328,esperas,*esperas* (espera),espera
2329,esperas,*esperas* (esperar),esperar
2330,suficientemente,suficientemente,suficientemente
2331,llevaron,*llevaron* (llevar),llevar
2332,ocurrido,*ocurrido* (ocurrir),ocurrir
2333,andar,andar,andar
2334,perfectamente,perfectamente,perfectamente
2335,pasan,*pasan* (pasar),pasar
2336,jardín,jardín,jardín
2337,cola,cola,cola
2338,cola,*cola* (colar),colar
2339,resultados,*resultados* (resultado),resultado
2340,francés,francés,francés
2341,troya,*troya* (Troya),Troya
2342,tercera,*tercera* (tercero),tercero
2343,entrenamiento,entrenamiento,entrenamiento
2344,azúcar,azúcar,azúcar
2345,metido,*metido* (meter),meter
2346,ayudarlo,*ayudarlo* (ayudar),ayudar
2347,diles,*diles* (decir),decir
2348,coger,coger,coger
2349,lunes,lunes,lunes
2350,ey,ey,ey
2351,intención,intención,intención
2352,volviendo,*volviendo* (volver),volver
2353,efectivo,efectivo,efectivo
2354,salgamos,*salgamos* (salir),salir
2355,preguntaba,*preguntaba* (preguntar),preguntar
2356,olvida,*olvida* (olvidar),olvidar
2357,helicóptero,helicóptero,helicóptero
2358,fuertes,*fuertes* (fuerte),fuerte
2359,encantador,encantador,encantador
2360,original,original,original
2361,cadena,cadena,cadena
2362,tarea,tarea,tarea
2363,dispara,*dispara* (disparar),disparar
2364,corta,*corta* (corto),corto
2365,corta,*corta* (cortar),cortar
2366,compañeros,*compañeros* (compañero),compañero
2367,cirugía,cirugía,cirugía
2368,quítate,*quítate* (quitar),quitar
2369,querían,*querían* (querer),querer
2370,precioso,precioso,precioso
2371,lord,lord,lord
2372,comenzó,*comenzó* (comenzar),comenzar
2373,truco,truco,truco
2374,inspector,inspector,inspector
2375,enojado,enojado,enojado
