,Spanish,show,lemma
2500,campamento,campamento,campamento
2501,responde,*responde* (responder),responder
2502,escuchaste,*escuchaste* (escuchar),escuchar
2503,debiste,*debiste* (deber),deber
2504,adios,*adios* (adiós),adiós
2505,viven,*viven* (vivir),vivir
2506,recoger,recoger,recoger
2507,preguntarte,*preguntarte* (preguntar),preguntar
2508,compras,*compras* (compra),compra
2509,compras,*compras* (comprar),comprar
2510,cansada,*cansada* (cansado),cansado
2511,cansada,*cansada* (cansar),cansar
2512,elegir,elegir,elegir
2513,cáncer,cáncer,cáncer
2514,servir,servir,servir
2515,pata,pata,pata
2516,huir,huir,huir
2517,útil,útil,útil
2518,grados,*grados* (grado),grado
2519,atacar,atacar,atacar
2520,recién,recién,recién
2521,querría,*querría* (querer),querer
2522,guapo,guapo,guapo
2523,alcance,alcance,alcance
2524,alcance,*alcance* (alcanzar),alcanzar
2525,dejame,*dejame* (dejar),dejar
2526,quedamos,*quedamos* (quedar),quedar
2527,llegará,*llegará* (llegar),llegar
2528,seremos,*seremos* (ser),ser
2529,desierto,desierto,desierto
2530,licencia,licencia,licencia
2531,trató,*trató* (tratar),tratar
2532,proceso,proceso,proceso
2533,proceso,*proceso* (procesar),procesar
2534,llevado,*llevado* (llevar),llevar
2535,durmiendo,*durmiendo* (dormir),dormir
2536,tensión,tensión,tensión
2537,martes,martes,martes
2538,kilómetros,*kilómetros* (kilómetro),kilómetro
2539,cartera,cartera,cartera
2540,tráfico,tráfico,tráfico
2541,guarda,*guarda* (guardar),guardar
2542,impresionante,impresionante,impresionante
2543,víctimas,*víctimas* (víctima),víctima
2544,ricos,*ricos* (rico),rico
2545,primeros,*primeros* (primero),primero
2546,dejamos,*dejamos* (dejar),dejar
2547,tomen,*tomen* (tomar),tomar
2548,iguales,*iguales* (igual),igual
2549,domingo,domingo,domingo
2550,crear,crear,crear
2551,quedará,*quedará* (quedar),quedar
2552,pérdida,pérdida,pérdida
2553,extra,extra,extra
2554,fuese,*fuese* (ser),ser
2555,fuese,*fuese* (ir),ir
2556,confío,*confío* (confiar),confiar
2557,sabido,*sabido* (saber),saber
2558,análisis,análisis,análisis
2559,llegaste,*llegaste* (llegar),llegar
2560,fría,*fría* (frío),frío
2561,fría,*fría* (freír),freír
2562,violencia,violencia,violencia
2563,mate,*mate* (matar),matar
2564,mate,mate,mate
2565,lobo,lobo,lobo
2566,discurso,discurso,discurso
2567,actor,actor,actor
2568,orgullo,orgullo,orgullo
2569,odia,*odia* (odiar),odiar
2570,libras,*libras* (libra),libra
2571,libras,*libras* (librar),librar
2572,alli,*alli* (allí),allí
2573,agencia,agencia,agencia
2574,vuelvan,*vuelvan* (volver),volver
2575,necesidad,necesidad,necesidad
2576,naves,*naves* (nave),nave
2577,descubrir,descubrir,descubrir
2578,tira,tira,tira
2579,tira,*tira* (tirar),tirar
2580,resolver,resolver,resolver
2581,pondré,*pondré* (poner),poner
2582,volando,*volando* (volar),volar
2583,pensamos,*pensamos* (pensar),pensar
2584,míos,*míos* (mío),mío
2585,errores,*errores* (error),error
2586,celular,celular,celular
2587,cuantas,*cuantas* (cuanto),cuanto
2588,verlos,*verlos* (ver),ver
2589,ayudarle,*ayudarle* (ayudar),ayudar
2590,meter,meter,meter
2591,hablaré,*hablaré* (hablar),hablar
2592,ésto,*ésto* (esto),esto
2593,buscas,*buscas* (buscar),buscar
2594,equivocada,*equivocada* (equivocado),equivocado
2595,equivocada,*equivocada* (equivocar),equivocar
2596,dejan,*dejan* (dejar),dejar
2597,vacío,vacío,vacío
2598,trabajaba,*trabajaba* (trabajar),trabajar
2599,salón,salón,salón
2600,motor,motor,motor
2601,conducir,conducir,conducir
2602,compré,*compré* (comprar),comprar
2603,quizas,*quizas* (quizás),quizás
2604,den,*den* (dar),dar
2605,cerrada,*cerrada* (cerrado),cerrado
2606,cerrada,*cerrada* (cerrar),cerrar
2607,cortar,cortar,cortar
2608,crea,*crea* (crear),crear
2609,sera,*sera* (ser),ser
2610,mueva,*mueva* (mover),mover
2611,hazme,*hazme* (hacer),hacer
2612,bravo,bravo,bravo
2613,pregunté,*pregunté* (preguntar),preguntar
2614,promesa,promesa,promesa
2615,espejo,espejo,espejo
2616,dígale,*dígale* (decir),decir
2617,sienta,*sienta* (sentar),sentar
2618,sienta,*sienta* (sentir),sentir
2619,médicos,*médicos* (médico),médico
2620,cero,cero,cero
2621,escribió,*escribió* (escribir),escribir
2622,volveremos,*volveremos* (volver),volver
2623,unidades,*unidades* (unidad),unidad
2624,cheque,cheque,cheque
2625,consigue,*consigue* (conseguir),conseguir
2626,antiguo,antiguo,antiguo
2627,regla,regla,regla
2628,pesadilla,pesadilla,pesadilla
2629,enviar,enviar,enviar
2630,podías,*podías* (poder),poder
2631,llevarte,*llevarte* (llevar),llevar
2632,entrenador,entrenador,entrenador
2633,cuida,*cuida* (cuidar),cuidar
2634,paciencia,paciencia,paciencia
2635,dilo,*dilo* (decir),decir
2636,levanta,*levanta* (levantar),levantar
2637,complicado,complicado,complicado
2638,complicado,*complicado* (complicar),complicar
2639,superior,superior,superior
2640,sugiero,*sugiero* (sugerir),sugerir
2641,familias,*familias* (familia),familia
2642,dirá,*dirá* (decir),decir
2643,pienses,*pienses* (pensar),pensar
2644,temporada,temporada,temporada
2645,suelta,*suelta* (suelto),suelto
2646,suelta,*suelta* (soltar),soltar
2647,corran,*corran* (correr),correr
2648,propios,*propios* (propio),propio
2649,feo,feo,feo
2650,dispuesto,dispuesto,dispuesto
2651,dispuesto,*dispuesto* (disponer),disponer
2652,ayúdenme,*ayúdenme* (ayudar),ayudar
2653,teoría,teoría,teoría
2654,salvaje,salvaje,salvaje
2655,negativo,negativo,negativo
2656,íbamos,*íbamos* (ir),ir
2657,hubieran,*hubieran* (haber),haber
2658,tripulación,tripulación,tripulación
2659,taza,taza,taza
2660,perdida,*perdida* (perdido),perdido
2661,perdida,*perdida* (perder),perder
2662,vinieron,*vinieron* (venir),venir
2663,ponen,*ponen* (poner),poner
2664,pasamos,*pasamos* (pasar),pasar
2665,parecido,parecido,parecido
2666,parecido,*parecido* (parecer),parecer
2667,acepto,*acepto* (aceptar),aceptar
2668,gay,gay,gay
2669,señoras,*señoras* (señora),señora
2670,quedaré,*quedaré* (quedar),quedar
2671,parada,parada,parada
2672,parada,*parada* (parar),parar
2673,niñas,*niñas* (niña),niña
2674,conseguí,*conseguí* (conseguir),conseguir
2675,acabamos,*acabamos* (acabar),acabar
2676,normalmente,normalmente,normalmente
2677,muchísimo,muchísimo,muchísimo
2678,muchísimo,*muchísimo* (mucho),mucho
2679,bruja,bruja,bruja
2680,vegas,*vegas* (vega),vega
2681,tuvieron,*tuvieron* (tener),tener
2682,traigo,*traigo* (traer),traer
2683,matará,*matará* (matar),matar
2684,funeral,funeral,funeral
2685,conseguiste,*conseguiste* (conseguir),conseguir
2686,teatro,teatro,teatro
2687,medianoche,medianoche,medianoche
2688,biblioteca,biblioteca,biblioteca
2689,estemos,*estemos* (estar),estar
2690,túnel,túnel,túnel
2691,encargo,encargo,encargo
2692,encargo,*encargo* (encargar),encargar
2693,aparece,*aparece* (aparecer),aparecer
2694,testigos,*testigos* (testigo),testigo
2695,pensó,*pensó* (pensar),pensar
2696,fueran,*fueran* (ser),ser
2697,fueran,*fueran* (ir),ir
2698,fantasmas,*fantasmas* (fantasma),fantasma
2699,correo,correo,correo
2700,vuestro,vuestro,vuestro
2701,piscina,piscina,piscina
2702,paquete,paquete,paquete
2703,copia,copia,copia
2704,copia,*copia* (copiar),copiar
2705,suicidio,suicidio,suicidio
2706,crédito,crédito,crédito
2707,consigo,*consigo* (conseguir),conseguir
2708,vuestra,*vuestra* (vuestro),vuestro
2709,rara,*rara* (raro),raro
2710,legal,legal,legal
2711,hablaremos,*hablaremos* (hablar),hablar
2712,cambió,*cambió* (cambiar),cambiar
2713,solas,*solas* (solo),solo
2714,salimos,*salimos* (salir),salir
2715,ganador,ganador,ganador
2716,estudiantes,*estudiantes* (estudiante),estudiante
2717,despierto,despierto,despierto
2718,despierto,*despierto* (despertar),despertar
2719,pare,*pare* (parar),parar
2720,invitado,invitado,invitado
2721,invitado,*invitado* (invitar),invitar
2722,guía,guía,guía
2723,oso,oso,oso
2724,oso,*oso* (osar),osar
2725,leí,*leí* (leer),leer
2726,explosión,explosión,explosión
2727,dejarme,*dejarme* (dejar),dejar
2728,chino,chino,chino
2729,sorprende,*sorprende* (sorprender),sorprender
2730,sistemas,*sistemas* (sistema),sistema
2731,nación,nación,nación
2732,entienden,*entienden* (entender),entender
2733,arena,arena,arena
2734,mentiroso,mentiroso,mentiroso
2735,hablaba,*hablaba* (hablar),hablar
2736,veas,*veas* (ver),ver
2737,pura,*pura* (puro),puro
2738,asesinado,asesinado,asesinado
2739,asesinado,*asesinado* (asesinar),asesinar
2740,mintiendo,*mintiendo* (mentir),mentir
2741,casos,*casos* (caso),caso
2742,vehículo,vehículo,vehículo
2743,rata,rata,rata
2744,importancia,importancia,importancia
2745,distinto,distinto,distinto
2746,pintura,pintura,pintura
2747,intenté,*intenté* (intentar),intentar
2748,conciencia,conciencia,conciencia
2749,miras,*miras* (mirar),mirar
