,Number,Spanish,lemma forms
5800,5802.0,girar,girar
5801,5803.0,extraterrestre,extraterrestre
5802,5804.0,egipto,Egipto
5803,5805.0,canciller,canciller
5804,5806.0,valores,valor
5805,5807.0,recibiste,recibir
5806,5808.0,quítense,quitar
5807,5809.0,protocolo,protocolo
5808,5810.0,preocuparme,preocupar
5809,5811.0,pacto,pacto pactar
5810,5812.0,módulo,módulo
5811,5813.0,inteligentes,inteligente
5812,5814.0,imaginaba,imaginar
5813,5815.0,huracán,huracán
5814,5816.0,dejaba,dejar
5815,5817.0,canales,canal
5816,5818.0,buscaremos,buscar
5817,5819.0,botellas,botella
5818,5820.0,billones,billón
5819,5821.0,atraparlo,atrapar
5820,5822.0,arrestar,arrestar
5821,5823.0,acento,acento
5822,5824.0,accidentes,accidente
5823,5825.0,vientre,vientre
5824,5826.0,tomaría,tomar
5825,5827.0,timón,timón
5826,5828.0,tabla,tabla
5827,5829.0,sacando,sacar
5828,5830.0,pintar,pintar
5829,5831.0,particularmente,particularmente
5830,5832.0,palma,palma palmar
5831,5833.0,organizar,organizar
5832,5834.0,llevarán,llevar
5833,5835.0,llamaría,llamar
5834,5836.0,irlandés,irlandés
5835,5837.0,esperes,esperar
5836,5838.0,crecí,crecer
5837,5839.0,as,as
5838,5840.0,agarró,agarrar
5839,5841.0,voluntario,voluntario
5840,5842.0,vivirá,vivir
5841,5843.0,vigilar,vigilar
5842,5844.0,vestíbulo,vestíbulo
5843,5845.0,soltar,soltar
5844,5846.0,siguientes,siguiente
5845,5847.0,residentes,residente
5846,5848.0,leíste,leer
5847,5849.0,hacha,hacha
5848,5850.0,felicito,felicitar
5849,5851.0,enojar,enojar
5850,5852.0,ejercicios,ejercicio
5851,5853.0,drogado,drogado drogar
5852,5854.0,cagar,cagar
5853,5855.0,traducido,traducido traducir
5854,5856.0,suplico,suplicar
5855,5857.0,salario,salario
5856,5858.0,préstamo,préstamo
5857,5859.0,mensajero,mensajero
5858,5860.0,granjero,granjero
5859,5861.0,filosofía,filosofía
5860,5862.0,faltaba,faltar
5861,5863.0,explosivo,explosivo
5862,5864.0,diagnóstico,diagnóstico
5863,5865.0,cardíaco,cardíaco
5864,5866.0,bosques,bosque
5865,5867.0,acabé,acabar
5866,5868.0,tomate,tomate tomar
5867,5869.0,quitarle,quitar
5868,5870.0,magneto,magneto
5869,5871.0,lance,lance lanzar
5870,5872.0,huyó,huir
5871,5873.0,hilo,hilo
5872,5874.0,hablará,hablar
5873,5875.0,gemelos,gemelo
5874,5876.0,eligió,elegir
5875,5877.0,doler,doler
5876,5878.0,dificultades,dificultad
5877,5879.0,concentración,concentración
5878,5880.0,artistas,artista
5879,5881.0,aceptas,aceptar
5880,5882.0,acabando,acabar
5881,5883.0,torpe,torpe
5882,5884.0,sobrevivientes,sobreviviente
5883,5885.0,saldrás,salir
5884,5886.0,región,región
5885,5887.0,produce,producir
5886,5888.0,post,post
5887,5889.0,obsesionado,obsesionado obsesionar
5888,5890.0,descubre,descubrir
5889,5891.0,cerró,cerrar
5890,5892.0,cayeron,caer
5891,5893.0,casé,casar
5892,5894.0,automóvil,automóvil
5893,5895.0,atiende,atender
5894,5896.0,voló,volar
5895,5897.0,ruinas,ruina ruinar
5896,5898.0,orilla,orilla
5897,5899.0,mañanas,mañana
5898,5900.0,magnífica,magnífico
5899,5901.0,excitante,excitante
