,Number,Spanish,lemma forms
3600,3602.0,ciudades,ciudad
3601,3603.0,béisbol,béisbol
3602,3604.0,regresado,regresado regresar
3603,3605.0,pediste,pedir
3604,3606.0,ja,ja
3605,3607.0,sesión,sesión
3606,3608.0,comprender,comprender
3607,3609.0,tocando,tocar
3608,3610.0,montar,montar
3609,3611.0,familiares,familiar
3610,3612.0,espía,espía espiar
3611,3613.0,efectos,efecto
3612,3614.0,salto,salto saltar
3613,3615.0,pagó,pagar
3614,3616.0,impacto,impacto
3615,3617.0,emoción,emoción
3616,3618.0,disparos,disparo
3617,3619.0,comando,comando
3618,3620.0,autorización,autorización
3619,3621.0,informes,informe informar
3620,3622.0,honestamente,honestamente
3621,3623.0,existencia,existencia
3622,3624.0,demasiada,demasiado
3623,3625.0,coches,coche
3624,3626.0,clara,claro clara
3625,3627.0,alcanzar,alcanzar
3626,3628.0,volviste,volver
3627,3629.0,octubre,octubre
3628,3630.0,conseguimos,conseguir
3629,3631.0,barato,barato
3630,3632.0,apostar,apostar
3631,3633.0,requiere,requerir
3632,3634.0,importan,importar
3633,3635.0,grano,grano
3634,3636.0,demasiados,demasiado
3635,3637.0,casarte,casar
3636,3638.0,tráeme,traer
3637,3639.0,progreso,progreso progresar
3638,3640.0,odias,odiar
3639,3641.0,ocurrir,ocurrir
3640,3642.0,hacías,hacer
3641,3643.0,serías,ser
3642,3644.0,secretario,secretario
3643,3645.0,rusia,Rusia rusia
3644,3646.0,piénsalo,pensar
3645,3647.0,gatito,gatito gato
3646,3648.0,déme,dar
3647,3649.0,colección,colección
3648,3650.0,vais,ir
3649,3651.0,sufrido,sufrido sufrir
3650,3652.0,ningun,ningún
3651,3653.0,helena,heleno Helena
3652,3654.0,terror,terror
3653,3655.0,salva,salvar salvo salva
3654,3656.0,salgas,salir
3655,3657.0,sacarte,sacar
3656,3658.0,lanza,lanza lanzar
3657,3659.0,usó,usar
3658,3660.0,quince,quince
3659,3661.0,prometido,prometido prometer
3660,3662.0,preciso,preciso
3661,3663.0,pirata,pirata
3662,3664.0,moral,moral
3663,3665.0,moneda,moneda
3664,3666.0,haberle,haber
3665,3667.0,estuvieras,estar
3666,3668.0,dijimos,decir
3667,3669.0,cayendo,caer
3668,3670.0,bajas,bajo baja
3669,3671.0,viniera,venir
3670,3672.0,soñando,soñar
3671,3673.0,servirá,servir
3672,3674.0,moscú,Moscú
3673,3675.0,mínimo,mínimo
3674,3676.0,hermosas,hermoso
3675,3677.0,escondido,escondido esconder
3676,3678.0,demostrar,demostrar
3677,3679.0,perrito,perrito perro
3678,3680.0,intente,intentar
3679,3681.0,habrán,haber
3680,3682.0,experimento,experimento
3681,3683.0,espaldas,espalda
3682,3684.0,diseño,diseño diseñar
3683,3685.0,barra,barra barrer
3684,3686.0,anciano,anciano
3685,3687.0,alfombra,alfombra alfombrar
3686,3688.0,actriz,actriz
3687,3689.0,tono,tono
3688,3690.0,sentarse,sentar
3689,3691.0,remedio,remedio
3690,3692.0,listas,lista listo
3691,3693.0,gris,gris
3692,3694.0,enviaron,enviar
3693,3695.0,entendiste,entender
3694,3696.0,disfrutar,disfrutar
3695,3697.0,contaré,contar
3696,3698.0,comen,comer
3697,3699.0,sentada,sentado sentar
3698,3700.0,pregunte,preguntar
3699,3701.0,japonés,japonés
