,Spanish,show,lemma
4750,trabajé,*trabajé* (trabajar),trabajar
4751,rango,rango,rango
4752,preocupación,preocupación,preocupación
4753,métete,*métete* (meter),meter
4754,imaginé,*imaginé* (imaginar),imaginar
4755,hayamos,*hayamos* (haber),haber
4756,fenómeno,fenómeno,fenómeno
4757,dolores,*dolores* (dolor),dolor
4758,demanda,demanda,demanda
4759,demanda,*demanda* (demandar),demandar
4760,creó,*creó* (creer),creer
4761,asegurar,asegurar,asegurar
4762,pesadillas,*pesadillas* (pesadilla),pesadilla
4763,niega,*niega* (negar),negar
4764,molestia,molestia,molestia
4765,extremo,extremo,extremo
4766,debilidad,debilidad,debilidad
4767,compasión,compasión,compasión
4768,camiones,*camiones* (camión),camión
4769,aproximadamente,aproximadamente,aproximadamente
4770,afecta,*afecta* (afectar),afectar
4771,administración,administración,administración
4772,reconocimiento,reconocimiento,reconocimiento
4773,recientemente,recientemente,recientemente
4774,practicar,practicar,practicar
4775,pierdas,*pierdas* (perder),perder
4776,pandilla,pandilla,pandilla
4777,miss,miss,miss
4778,mates,*mates* (matar),matar
4779,mates,*mates* (mate),mate
4780,disparando,*disparando* (disparar),disparar
4781,británicos,*británicos* (británico),británico
4782,ayudarlos,*ayudarlos* (ayudar),ayudar
4783,sueldo,sueldo,sueldo
4784,siguió,*siguió* (seguir),seguir
4785,significado,significado,significado
4786,significado,*significado* (significar),significar
4787,miente,*miente* (mentir),mentir
4788,medidas,*medidas* (medida),medida
4789,medidas,*medidas* (medir),medir
4790,guitarra,guitarra,guitarra
4791,custodia,custodia,custodia
4792,boletos,*boletos* (boleto),boleto
4793,ayudado,*ayudado* (ayudar),ayudar
4794,sentarte,*sentarte* (sentar),sentar
4795,risa,risa,risa
4796,quemar,quemar,quemar
4797,prometió,*prometió* (prometer),prometer
4798,observando,*observando* (observar),observar
4799,lectura,lectura,lectura
4800,jódete,*jódete* (joder),joder
4801,considerado,considerado,considerado
4802,considerado,*considerado* (considerar),considerar
4803,cometer,cometer,cometer
4804,cambié,*cambié* (cambiar),cambiar
4805,asientos,*asientos* (asiento),asiento
4806,satisfecho,satisfecho,satisfecho
4807,satisfecho,*satisfecho* (satisfacer),satisfacer
4808,saludable,saludable,saludable
