,Number,Spanish,lemma forms
800,802.0,abre,abrir
801,803.0,sean,ser
802,804.0,pagar,pagar
803,805.0,fotos,foto
804,806.0,centro,centro centrar
805,807.0,supone,suponer
806,808.0,basura,basura
807,809.0,situación,situación
808,810.0,mejores,mejor
809,811.0,vienen,venir
810,812.0,encanta,encantar
811,813.0,marido,marido
812,814.0,personal,personal
813,815.0,maestro,maestro
814,816.0,hambre,hambre
815,817.0,ataque,ataque atacar
816,818.0,culo,culo
817,819.0,dale,dar
818,820.0,pie,pie
819,821.0,conseguir,conseguir
820,822.0,trabajando,trabajar
821,823.0,gracioso,gracioso
822,824.0,dejó,dejar
823,825.0,pudo,poder
824,826.0,derecha,derecha
825,827.0,izquierda,izquierda
826,828.0,próxima,próximo
827,829.0,pobre,pobre
828,830.0,respuesta,respuesta
829,831.0,tipos,tipo
830,832.0,sentir,sentir
831,833.0,tenías,tener
832,834.0,pude,poder
833,835.0,darle,dar
834,836.0,voz,voz
835,837.0,amiga,amiga
836,838.0,gustan,gustar
837,839.0,vista,vista ver
838,840.0,salvo,salvo salvar
839,841.0,loca,loco
840,842.0,hotel,hotel
841,843.0,hicieron,hacer
842,844.0,ten,tener
843,845.0,temo,temer
844,846.0,señal,señal
845,847.0,pelo,pelo pelar
846,848.0,llevo,llevar
847,849.0,ayer,ayer
848,850.0,das,dar
849,851.0,nena,nena
850,852.0,servicio,servicio
851,853.0,tren,tren
852,854.0,bonito,bonito
853,855.0,mes,mes
854,856.0,tendrá,tener
855,857.0,tendrás,tener
856,858.0,edad,edad
857,859.0,ellas,ellas
858,860.0,hermosa,hermoso
859,861.0,honor,honor
860,862.0,simplemente,simplemente
861,863.0,llamas,llamar llama
862,864.0,tengas,tener
863,865.0,corre,correr
864,866.0,baja,bajo baja
865,867.0,sol,sol
866,868.0,siéntate,sentar
867,869.0,dan,dar
868,870.0,humano,humano
869,871.0,divertido,divertido divertir
870,872.0,sexo,sexo
871,873.0,vuelto,vuelto volver
872,874.0,peligro,peligro peligrar
873,875.0,mesa,mesa
874,876.0,siguiente,siguiente
875,877.0,hablo,hablar
876,878.0,disculpa,disculpa disculpar
877,879.0,decirme,decir
878,880.0,caja,caja
879,881.0,negocios,negocio negociar
880,882.0,misión,misión
881,883.0,silencio,silencio
882,884.0,sale,salir
883,885.0,llegado,llegar
884,886.0,estaría,estar
885,887.0,regreso,regreso regresar
886,888.0,media,media medio
887,889.0,estan,estar
888,890.0,propio,propio
889,891.0,oro,oro orar
890,892.0,enseguida,enseguida
891,893.0,linda,lindo
892,894.0,prometo,prometer
893,895.0,esposo,esposo esposar
894,896.0,norte,norte
895,897.0,hubo,haber
896,898.0,juro,jurar
897,899.0,muerta,muerto morir
898,900.0,interesante,interesante
899,901.0,pensaba,pensar
