,Spanish,show,lemma
2750,máquinas,*máquinas* (máquina),máquina
2751,traeré,*traeré* (traer),traer
2752,revisar,revisar,revisar
2753,veinte,veinte,veinte
2754,seres,*seres* (ser),ser
2755,hablarle,*hablarle* (hablar),hablar
2756,disco,disco,disco
2757,disco,*disco* (discar),discar
2758,transporte,transporte,transporte
2759,transporte,*transporte* (transportar),transportar
2760,mina,mina,mina
2761,labios,*labios* (labio),labio
2762,señoría,señoría,señoría
2763,llamamos,*llamamos* (llamar),llamar
2764,doce,doce,doce
2765,cuídate,*cuídate* (cuidar),cuidar
2766,pasillo,pasillo,pasillo
2767,tele,tele,tele
2768,tele,*tele* (televisión),televisión
2769,podria,*podria* (poder),poder
2770,completa,*completa* (completo),completo
2771,completa,*completa* (completar),completar
2772,rápida,*rápida* (rápido),rápido
2773,precisamente,precisamente,precisamente
2774,llamaste,*llamaste* (llamar),llamar
2775,cumplir,cumplir,cumplir
2776,servicios,*servicios* (servicio),servicio
2777,señales,*señales* (señal),señal
2778,acaban,*acaban* (acabar),acabar
2779,suéltame,*suéltame* (soltar),soltar
2780,hablarte,*hablarte* (hablar),hablar
2781,traté,*traté* (tratar),tratar
2782,pescado,pescado,pescado
2783,pescado,*pescado* (pescar),pescar
2784,huesos,*huesos* (hueso),hueso
2785,daría,*daría* (dar),dar
2786,compra,compra,compra
2787,compra,*compra* (comprar),comprar
2788,trajiste,*trajiste* (traer),traer
2789,templo,templo,templo
2790,placa,placa,placa
2791,posibilidades,*posibilidades* (posibilidad),posibilidad
2792,ira,ira,ira
2793,vengas,*vengas* (venir),venir
2794,siguiendo,*siguiendo* (seguir),seguir
2795,podrán,*podrán* (poder),poder
2796,llamarme,*llamarme* (llamar),llamar
2797,cierta,*cierta* (cierto),cierto
2798,permitir,permitir,permitir
2799,condiciones,*condiciones* (condición),condición
2800,atrapar,atrapar,atrapar
2801,temperatura,temperatura,temperatura
2802,explicación,explicación,explicación
2803,enviado,enviado,enviado
2804,enviado,*enviado* (enviar),enviar
2805,contado,contado,contado
2806,contado,*contado* (contar),contar
2807,asistente,asistente,asistente
2808,imperio,imperio,imperio
2809,pidiendo,*pidiendo* (pedir),pedir
2810,notas,*notas* (nota),nota
2811,notas,*notas* (notar),notar
2812,curioso,curioso,curioso
2813,operaciones,*operaciones* (operación),operación
2814,mantén,*mantén* (mantener),mantener
2815,tierras,*tierras* (tierra),tierra
2816,creas,*creas* (creer),creer
2817,pez,pez,pez
2818,morirá,*morirá* (morir),morir
2819,visión,visión,visión
2820,montañas,*montañas* (montaña),montaña
2821,comido,comido,comido
2822,comido,*comido* (comer),comer
2823,construir,construir,construir
2824,comunidad,comunidad,comunidad
2825,verán,*verán* (ver),ver
2826,pierde,*pierde* (perder),perder
2827,piense,*piense* (pensar),pensar
2828,felicidad,felicidad,felicidad
2829,diversión,diversión,diversión
2830,salvó,*salvó* (salvar),salvar
2831,quita,*quita* (quitar),quitar
2832,museo,museo,museo
2833,disparó,*disparó* (disparar),disparar
