,Spanish,show,lemma
5250,mercancía,mercancía,mercancía
5251,lastimado,lastimado,lastimado
5252,lastimado,*lastimado* (lastimar),lastimar
5253,internos,*internos* (interno),interno
5254,hueco,hueco,hueco
5255,golpea,*golpea* (golpear),golpear
5256,evento,evento,evento
5257,estudiando,*estudiando* (estudiar),estudiar
5258,elige,*elige* (elegir),elegir
5259,crecido,crecido,crecido
5260,crecido,*crecido* (crecer),crecer
5261,conspiración,conspiración,conspiración
5262,avenida,avenida,avenida
5263,tremendo,tremendo,tremendo
5264,tocas,*tocas* (tocar),tocar
5265,sabias,*sabias* (sabio),sabio
5266,sabias,*sabias* (saber),saber
5267,raya,raya,raya
5268,raya,*raya* (rayar),rayar
5269,líos,*líos* (lío),lío
5270,invitar,invitar,invitar
5271,homicidios,*homicidios* (homicidio),homicidio
5272,herramientas,*herramientas* (herramienta),herramienta
5273,flecha,flecha,flecha
5274,derrota,derrota,derrota
5275,cervezas,*cervezas* (cerveza),cerveza
5276,terminará,*terminará* (terminar),terminar
5277,llenar,llenar,llenar
5278,líderes,*líderes* (líder),líder
5279,ganan,*ganan* (ganar),ganar
5280,fingir,fingir,fingir
5281,estrategia,estrategia,estrategia
5282,dirán,*dirán* (decir),decir
5283,confías,*confías* (confiar),confiar
5284,cómoda,cómoda,cómoda
5285,cómoda,*cómoda* (cómodo),cómodo
5286,comience,*comience* (comenzar),comenzar
5287,cenizas,*cenizas* (ceniza),ceniza
5288,capaces,*capaces* (capaz),capaz
5289,temía,*temía* (temer),temer
5290,sonríe,*sonríe* (sonreír),sonreír
5291,quite,*quite* (quitar),quitar
5292,necesites,*necesites* (necesitar),necesitar
5293,mostrarle,*mostrarle* (mostrar),mostrar
5294,mordió,*mordió* (morder),morder
5295,jefa,jefa,jefa
5296,fallo,fallo,fallo
5297,fallo,*fallo* (fallar),fallar
5298,empiezan,*empiezan* (empezar),empezar
5299,dispositivo,dispositivo,dispositivo
5300,detesto,*detesto* (detestar),detestar
5301,aprendiste,*aprendiste* (aprender),aprender
5302,aman,*aman* (amar),amar
5303,agradecido,agradecido,agradecido
5304,agradecido,*agradecido* (agradecer),agradecer
5305,agáchate,*agáchate* (agachar),agachar
5306,terminaste,*terminaste* (terminar),terminar
5307,sida,*sida* (SIDA),SIDA
5308,mueras,*mueras* (morir),morir
5309,mentí,*mentí* (mentir),mentir
5310,lujo,lujo,lujo
5311,láser,láser,láser
5312,importe,importe,importe
5313,importe,*importe* (importar),importar
5314,físico,físico,físico
5315,caes,*caes* (caer),caer
5316,tiros,*tiros* (tiro),tiro
5317,miran,*miran* (mirar),mirar
5318,hadas,*hadas* (hada),hada
5319,ganancias,*ganancias* (ganancia),ganancia
5320,fritas,*fritas* (frito),frito
5321,fantasía,fantasía,fantasía
5322,deténgase,*deténgase* (detener),detener
5323,déjenlo,*déjenlo* (dejar),dejar
5324,curar,curar,curar
5325,comidas,*comidas* (comida),comida
5326,comidas,*comidas* (comido),comido
5327,comidas,*comidas* (comer),comer
5328,quisiste,*quisiste* (querer),querer
5329,pacífico,pacífico,pacífico
5330,oler,oler,oler
5331,ofreció,*ofreció* (ofrecer),ofrecer
5332,importaba,*importaba* (importar),importar
5333,certeza,certeza,certeza
5334,actividades,*actividades* (actividad),actividad
5335,vestidos,*vestidos* (vestido),vestido
5336,suele,*suele* (soler),soler
5337,submarino,submarino,submarino
5338,podrias,*podrias* (poder),poder
5339,pesa,pesa,pesa
5340,pesa,*pesa* (pesar),pesar
5341,judas,judas,judas
5342,idioma,idioma,idioma
5343,identificar,identificar,identificar
5344,hubiéramos,*hubiéramos* (haber),haber
5345,cañones,*cañones* (cañón),cañón
5346,beneficios,*beneficios* (beneficio),beneficio
5347,sospecha,sospecha,sospecha
5348,sospecha,*sospecha* (sospechar),sospechar
5349,observación,observación,observación
5350,muchachas,*muchachas* (muchacha),muchacha
5351,manejo,manejo,manejo
5352,manejo,*manejo* (manejar),manejar
5353,jodiendo,*jodiendo* (joder),joder
5354,explicarlo,*explicarlo* (explicar),explicar
5355,divino,divino,divino
5356,divertida,*divertida* (divertido),divertido
5357,divertida,*divertida* (divertir),divertir
5358,despegue,despegue,despegue
5359,despegue,*despegue* (despegar),despegar
5360,contrató,*contrató* (contratar),contratar
5361,volumen,volumen,volumen
5362,trabajó,*trabajó* (trabajar),trabajar
5363,términos,*términos* (término),término
5364,morirán,*morirán* (morir),morir
5365,hombros,*hombros* (hombro),hombro
5366,hada,hada,hada
5367,alegre,alegre,alegre
5368,terribles,*terribles* (terrible),terrible
5369,temes,*temes* (temer),temer
5370,sabiduría,sabiduría,sabiduría
5371,prioridad,prioridad,prioridad
5372,pluma,pluma,pluma
5373,misil,misil,misil
5374,mansión,mansión,mansión
5375,detenerme,*detenerme* (detener),detener
5376,despertó,*despertó* (despertar),despertar
5377,decírmelo,*decírmelo* (decir),decir
5378,cambiará,*cambiará* (cambiar),cambiar
5379,arranca,*arranca* (arrancar),arrancar
5380,alejado,alejado,alejado
5381,alejado,*alejado* (alejar),alejar
5382,soltero,soltero,soltero
5383,pierden,*pierden* (perder),perder
5384,mascota,mascota,mascota
5385,empuja,*empuja* (empujar),empujar
5386,dentista,dentista,dentista
5387,cogido,cogido,cogido
5388,cogido,*cogido* (coger),coger
5389,batería,batería,batería
5390,visual,visual,visual
5391,reconoce,*reconoce* (reconocer),reconocer
5392,pedimos,*pedimos* (pedir),pedir
5393,niebla,niebla,niebla
5394,métodos,*métodos* (método),método
5395,durmió,*durmió* (dormir),dormir
5396,desfile,desfile,desfile
5397,desfile,*desfile* (desfilar),desfilar
5398,creciendo,*creciendo* (crecer),crecer
5399,continua,*continua* (continuo),continuo
5400,continua,*continua* (continuar),continuar
5401,borracha,*borracha* (borracho),borracho
5402,beca,beca,beca
5403,adolescente,adolescente,adolescente
5404,actos,*actos* (acto),acto
5405,mágica,*mágica* (mágico),mágico
5406,imbéciles,*imbéciles* (imbécil),imbécil
5407,huyendo,*huyendo* (huir),huir
5408,fotógrafo,fotógrafo,fotógrafo
5409,experimentos,*experimentos* (experimento),experimento
5410,edificios,*edificios* (edificio),edificio
5411,deténganse,*deténganse* (detener),detener
5412,cálmense,*cálmense* (calmar),calmar
5413,atmósfera,atmósfera,atmósfera
5414,acabaron,*acabaron* (acabar),acabar
5415,votos,*votos* (voto),voto
5416,tareas,*tareas* (tarea),tarea
5417,presupuesto,presupuesto,presupuesto
5418,persecución,persecución,persecución
5419,enseñarle,*enseñarle* (enseñar),enseñar
5420,enfermos,*enfermos* (enfermo),enfermo
5421,cortes,*cortes* (corte),corte
5422,cortes,*cortes* (cortar),cortar
5423,contaste,*contaste* (contar),contar
5424,recuerdan,*recuerdan* (recordar),recordar
5425,probabilidades,*probabilidades* (probabilidad),probabilidad
5426,núcleo,núcleo,núcleo
5427,multitud,multitud,multitud
5428,moriré,*moriré* (morir),morir
5429,empresas,*empresas* (empresa),empresa
5430,delta,delta,delta
5431,asociación,asociación,asociación
5432,verdes,*verdes* (verde),verde
5433,profesión,profesión,profesión
5434,pelotón,pelotón,pelotón
5435,paro,paro,paro
5436,paro,*paro* (parar),parar
5437,largos,*largos* (largo),largo
5438,danos,*danos* (dar),dar
5439,creído,creído,creído
5440,creído,*creído* (creer),creer
5441,cosecha,cosecha,cosecha
5442,cosecha,*cosecha* (cosechar),cosechar
5443,cintas,*cintas* (cinta),cinta
5444,agallas,agallas,agallas
5445,agallas,*agallas* (agalla),agalla
5446,vendido,vendido,vendido
5447,vendido,*vendido* (vender),vender
5448,tortura,tortura,tortura
5449,tortura,*tortura* (torturar),torturar
5450,suéltala,*suéltala* (soltar),soltar
5451,sexuales,*sexuales* (sexual),sexual
5452,retirado,retirado,retirado
5453,retirado,*retirado* (retirar),retirar
5454,reconoces,*reconoces* (reconocer),reconocer
5455,pudieran,*pudieran* (poder),poder
5456,desorden,desorden,desorden
5457,desarrollo,desarrollo,desarrollo
5458,desarrollo,*desarrollo* (desarollar),desarollar
5459,abandonó,*abandonó* (abandonar),abandonar
5460,vodka,vodka,vodka
5461,violento,violento,violento
5462,vestida,*vestida* (vestido),vestido
5463,vestida,*vestida* (vestir),vestir
5464,probarlo,*probarlo* (probar),probar
5465,balón,balón,balón
5466,población,población,población
5467,pechos,*pechos* (pecho),pecho
5468,ocurrirá,*ocurrirá* (ocurrir),ocurrir
5469,mientes,*mientes* (mentir),mentir
5470,leal,leal,leal
5471,jo,jo,jo
5472,federación,federación,federación
5473,dí,*dí* (dar),dar
5474,asustaste,*asustaste* (asustar),asustar
5475,apártate,*apártate* (apartar),apartar
5476,vinieras,*vinieras* (venir),venir
5477,valioso,valioso,valioso
5478,profesora,profesora,profesora
5479,misericordia,misericordia,misericordia
5480,mancha,mancha,mancha
5481,mancha,*mancha* (manchar),manchar
5482,ilusión,ilusión,ilusión
5483,habrás,*habrás* (haber),haber
5484,golpeado,*golpeado* (golpear),golpear
5485,generador,generador,generador
5486,empiezas,*empiezas* (empezar),empezar
5487,detuvo,*detuvo* (detener),detener
5488,despedir,despedir,despedir
5489,cuerdas,*cuerdas* (cuerda),cuerda
5490,cuerdas,*cuerdas* (cuerdo),cuerdo
5491,cráneo,cráneo,cráneo
5492,champán,champán,champán
5493,cartel,cartel,cartel
5494,campana,campana,campana
5495,vendió,*vendió* (vender),vender
5496,rompí,*rompí* (romper),romper
5497,revistas,*revistas* (revista),revista
5498,ordena,*ordena* (ordenar),ordenar
5499,cállese,*cállese* (callar),callar
