,Spanish,Quizlet


0,*hermanito* (hermanito hermano),"*little brother*
"


1,*hamburguesas* (hamburguesa),"*burgers*
noun: burger, hamburger"


2,*firmado* (firmado firmar),"*signed*
verb: sign, ink, autograph"


3,*entrenar*,"*train*
verb: train, coach, exercise"


4,*encendido* (encendido encender),"*switched on*
adjective: on, glowing, fired
noun: ignition, switching-on, lighting"


5,*disfruten* (disfrutar),"*enjoy*
verb: enjoy, delight, bask"


6,*deseaba* (desear),"*wished*
verb: want, wish, desire"


7,*conocías* (conocer),"*did you know*
verb: know, meet, learn"


8,*cambiaron* (cambiar),"*they changed*
verb: change, switch, shift"


9,*boxeo* (boxeo boxear),"*boxing*
noun: boxing, box"


10,*autorizado* (autorizado autorizar),"*authorized*
adjective: authorized, licensed, official"


11,*armadura*,"*armor*
noun: armor, armature, frame"


12,*sobrevivió* (sobrevivir),"*survived*
verb: outlast, keep alive"


13,*preocupados* (preocupado preocupar),"*worried*
adjective: concerned, worried, preoccupied"


14,*ocasiones* (ocasión),"*occasions*
noun: chance, occasion, time"


15,*necesitarás* (necesitar),"*you will need to*
verb: need, require, take"


16,*mutante*,"*mutant*
"


17,*músculos* (músculo),"*muscles*
noun: muscle, brawn"


18,*mantienen* (mantener),"*keep*
verb: maintain, keep, hold"


19,*justa* (justo),"*fair*
adjective: just, right, righteous"


20,*increíbles* (increíble),"*amazing*
adjective: incredible, unbelievable, extraordinary"


21,*incómodo*,"*uncomfortable*
adjective: uncomfortable, awkward, inconvenient"


22,*harta* (harto hartar),"*fed up*
adjective: jaded, sated, satiated"


23,*expedición*,"*expedition*
noun: expedition"


24,*esfuerzos* (esfuerzo),"*efforts*
noun: striving, pains"


25,*directa* (directo),"*direct*
adjective: direct, through, forthright"


26,*deberes* (deber),"*homework*
noun: homework, schoolwork"


27,*contratado* (contratado contratar),"*hired*
adjective: contracted"


28,*usé* (usar),"*i used*
verb: use, wear, utilize"


29,*sentar*,"*sit*
verb: sit, set, seat"


30,*presentes* (presente presentar),"*present*
adjective: present, current, actual
noun: present, memento"


31,*mierdas* (mierda),"*shit*
noun: shit, crap, bullshit"


32,*merecen* (merecer),"*deserve*
verb: deserve, merit, earn"


33,*llamaban* (llamar),"*they called*
verb: call, get, knock"


34,*ejecución*,"*execution*
noun: execution, implementation, performance"


35,*darás* (dar),"*you will give*
verb: give, yield, lend"


36,*créame* (creer),"*believe me*
"


37,*busquemos* (buscar),"*let's look for*
verb: search, search for, look"


38,*afirmativo*,"*affirmative*
adjective: affirmative, positive, assertive
noun: affirmative"


39,*admito* (admitir),"*I admit*
verb: admit, accept, allow"


40,*talla* (talla tallar),"*size*
noun: size, height, stature"


41,*rodeado* (rodeado rodear),"*surrounded*
adjective: surrounded, girded
noun: girder"


42,*reparar*,"*fix*
verb: repair, make good, undo"


43,*quitó* (quitar),"*removed*
verb: remove, take away, take off"


44,*patada*,"*kick*
noun: kick, boot, punt"


45,*lea* (leer),"*read*
verb: read"


