,Spanish,Quizlet


0,*batallas* (batalla batallar),"*battles*
noun: battle, fighting"


1,*uses* (usar),"*use*
verb: use, wear, utilize"


2,*trates* (tratar),"*try*
verb: treat, process, try on"


3,*marzo*,"*March*
noun: March
abbreviation: Mar."


4,*hechas* (hecho hacer),"*made*
verb: do, make, ask"


5,*fraude*,"*fraud*
noun: fraud, deception, deceit"


6,*economía*,"*economy*
noun: economy, husbandry"


7,*disfrute* (disfrutar),"*enjoyment*
noun: enjoyment"


8,*creerme* (creer),"*believe me*
"


9,*costo* (costo costar),"*cost*
noun: cost, charge"


10,*consiga* (conseguir),"*get*
verb: get, achieve, obtain"


11,*condena*,"*sentence*
noun: conviction"


12,*bájate* (bajar),"*Get down*
"


13,*alivio* (alivio aliviar),"*relief*
noun: relief, alleviation, comfort"


14,*traerá* (traer),"*will bring*
verb: fetch, shed"


15,*quedaremos* (quedar),"*we will stay*
verb: stay, remain, keep"


16,*micrófono*,"*microphone*
noun: microphone, mouthpiece"


17,*matemáticas* (matemática),"*math*
noun: mathematics, maths"


18,*interesan* (interesar),"*interest*
verb: interest, appeal, attract"


19,*ida* (ido ir),"*Going*
noun: going, departure"


20,*hueles* (oler),"*you smell*
verb: smell, sniff, scent"


21,*giro* (giro girar),"*turn*
noun: turn, order, twirl"


22,*desgraciados* (desgraciado desgraciar),"*wretched*
adjective: unfortunate, miserable, unhappy
noun: unfortunate, wretch, loser"


23,*arroz*,"*rice*
noun: rice"


24,*andan* (andar),"*they walk*
verb: walk, go, go around"


25,*unido* (unido unir),"*United*
adjective: united, joined, attached"


26,*traseros* (trasero),"*rear*
adjective: rear, back, rearward
noun: rear, bottom, backside"


27,*torres* (torre),"*towers*
noun: tower, turret, rook"


28,*seda* (seda sedar),"*silk*
noun: silk"


29,*engañando* (engañar),"*cheating*
verb: deceive, fool, cheat"


30,*encuentres* (encontrar),"*find*
verb: find, meet, encounter"


31,*controles* (controlar control),"*controls*
noun: control, check, grip"


32,*choque* (choque chocar),"*shock*
noun: shock, clash, crash"


33,*celos* (celo),"*jealousy*
noun: jealousy"


34,*aclarar*,"*clarify*
verb: clarify, clear, rinse"


35,*sentiría* (sentir),"*would feel*
verb: feel, sense, regret"


36,*santuario*,"*sanctuary*
noun: sanctuary, shrine, sanctum"


37,*queden* (quedar),"*stay*
verb: stay, remain, keep"


38,*piratas* (pirata),"*pirates*
noun: pirate, rover, picaroon
adjective: piratical"


39,*impulso*,"*impulse*
noun: impulse, momentum, impetus"


40,*impedir*,"*prevent*
verb: prevent, impede, keep"


41,*grita* (gritar),"*shouts*
verb: scream, shout, cry"


42,*envíe* (enviar),"*send*
verb: send, post, ship"


43,*entraste* (entrar),"*you entered*
verb: enter, get in, come in"


44,*debieron* (deber),"*should have*
verb: must, owe, job"


45,*creías* (creer),"*did you believe*
verb: believe, think, trust"


46,*cobrar*,"*charge*
verb: charge, collect, receive"


47,*audición*,"*hearing*
noun: hearing, audition"


