,Spanish,Quizlet


0,*decisiones* (decisión),"*decisions*
noun: decision, rule"


1,*criminales* (criminal),"*criminals*
adjective: criminal, felonious, ruffianly
noun: criminal, felon, villain"


2,*cámaras* (cámara),"*cameras*
noun: camera, chamber, cameraman"


3,*amanecer*,"*sunrise*
noun: dawn, aurora
verb: dawn"


4,*convirtió* (convertir),"*turned*
verb: convert, turn, transform"


5,*aldea*,"*village*
noun: village, hamlet, dorp"


6,*abandonar*,"*abandon*
verb: leave, abandon, give up"


7,*obvio*,"*obvious*
adjective: obvious, noticeable"


8,*habíamos* (haber),"*we had*
verb: have"


9,*apesta* (apestar),"*stinks*
verb: reek, stink out, pong"


10,*abandonado* (abandonado abandonar),"*abandoned*
adjective: abandoned, deserted, neglected"


11,*volverás* (volver),"*you will come back*
verb: return, go back, come back"


12,*preocuparse* (preocupar),"*worry*
verb: worry, care, bother"


13,*favorita* (favorito),"*favorite*
adjective: favorite, fancied, favourite
noun: favorite, favourite, front-runner"


14,*lanzamiento*,"*launch*
noun: launch, release, launching"


15,*difíciles* (difícil),"*difficult*
adjective: difficult, hard, tough"


16,*vivido* (vivir),"*vivid*
adjective: vivid"


17,*roca*,"*rock*
noun: rock, boulder"


18,*peces* (pez),"*fish*
noun: fish, pitch, tar"


19,*maravilla*,"*Wonderful*
noun: wonder, marvel, marigold"


20,*espacial*,"*space*
adjective: space, spatial"


21,*conductor*,"*driver*
noun: driver, conductor, lead
adjective: leading"


22,*camarada*,"*comrade*
noun: comrade, pal, mate"


23,*trabajado* (trabajar),"*worked up*
adjective: laboured, labored"


24,*caramba*,"*Caramba*
"


25,*sopa*,"*soup*
noun: soup, pottage"


26,*numero* (número),"*number*
noun: number, issue, numeral"


27,*gritar*,"*shout*
verb: scream, shout, cry"


28,*envía* (enviar),"*send*
verb: send, post, ship"


29,*casino*,"*casino*
noun: casino"


30,*alteza*,"*high King*
noun: Highness"


31,*identidad*,"*identity*
noun: identity, oneness"


32,*cambios* (cambio),"*changes*
noun: change, exchange, shift"


33,*guardar*,"*keep*
verb: save, keep, guard"


34,*gatos* (gato),"*cats*
noun: cat, jack, tomcat"


35,*gané* (ganar),"*I win*
verb: win, earn, gain"


36,*arresto* (arresto arrestar),"*arrest*
noun: arrest, detention, pickup"


37,*éstas* (esta este),"*are*
adjective: these
pronoun: these"


38,*preguntó* (preguntar),"*asked*
"


39,*éstos* (esto este),"*these*
adjective: these
pronoun: these, these ones"


40,*probable*,"*likely*
adjective: likely, probable, presumable"


41,*seamos* (ser),"*let's be*
verb: be, come, come of"


42,*importaría* (importar),"*mind to*
verb: import, matter, amount to"


43,*firmar*,"*sign*
verb: sign, ink, autograph"


44,*federal*,"*federal*
adjective: federal"


45,*caras* (cara),"*faces*
noun: face, side, look"


46,*trabajos* (trabajo),"*jobs*
noun: work, job, labor"


47,*hagámoslo* (hacer),"*let's do it*
"


48,*expediente*,"*proceedings*
noun: record, file, proceedings"


49,*tigre*,"*tiger*
noun: tiger"


