,Spanish,Quizlet


0,*volvieron* (volver),"*they came back*
verb: return, go back, come back"


1,*suelte* (soltar),"*release*
verb: drop, release, loosen"


2,*reto* (reto retar),"*challenge*
noun: challenge, dare, daring"


3,*metes* (meter),"*you put*
verb: put, insert, place"


4,*infarto*,"*heart attack*
noun: heart attack, infarct, coronary thrombosis"


5,*cuyo*,"*whose*
adjective: whose, which
pronoun: whose
conjunction: whereof"


6,*construyó* (construir),"*built*
verb: build, construct, erect"


7,*boleto*,"*ticket*
noun: ticket, boletus, fare"


8,*besar*,"*kiss*
verb: kiss, peck, osculate"


9,*portal*,"*portal*
noun: portal, gate, doorway"


10,*ponemos* (poner),"*we put*
verb: put, add, place"


11,*monte*,"*mountain*
noun: mountain, mount, bush
abbreviation: Mt."


12,*discusión*,"*discussion*
noun: discussion, argument, debate"


13,*digno*,"*worthy*
adjective: worthy, dignified, deserving"


14,*desean* (desear),"*wish*
verb: want, wish, desire"


15,*darse* (dar),"*give yourself*
verb: assume, lend, dedicate"


16,*considerar*,"*consider*
verb: consider, regard, account"


17,*bancos* (banco),"*banks*
noun: bank, bench, shoal"


18,*poción*,"*potion*
noun: potion, drench, philter"


19,*perdóneme* (perdonar),"*excuse me*
interjection: Excuse me!, Pardon me!"


20,*pensabas* (pensar),"*you thought*
verb: think, reflect, ponder"


21,*generoso*,"*generous*
adjective: generous, bountiful, rich"


22,*estatua*,"*statue*
noun: statue, figure"


23,*convencer*,"*convince*
verb: convince, persuade, satisfy"


24,*conocida* (conocida conocido conocer),"*known*
verb: know, meet, learn"


25,*comenzamos* (comenzar),"*we started*
verb: start, begin, commence"


26,*aceptado* (aceptado aceptar),"*accepted*
adjective: accepted, taken, admitted"


27,*rob* (rob Rob),"*Rob*
"


28,*importar*,"*matter*
verb: import, matter, amount to"


29,*fracaso* (fracaso fracasar),"*failure*
noun: failure, flop, breakdown"


30,*ciertos* (cierto),"*some*
adjective: some"


31,*bomberos* (bombero),"*firefighters*
noun: firefighter, fireman, fireguard"


32,*sorprendido* (sorprendido sorprender),"*surprised*
adjective: surprised, shocked, astonished"


33,*protegido* (protegido proteger),"*protected*
adjective: protected, sheltered
noun: protege"


34,*presenta* (presentar),"*presents*
verb: present, submit, introduce"


35,*metí* (meter),"*I got*
verb: put, insert, place"


36,*entenderlo* (entender),"*understand it*
"


37,*detengan* (detener),"*stop*
verb: stop, halt, arrest"


38,*conflicto*,"*conflict*
noun: conflict, dispute, clash"


39,*códigos* (código),"*codes*
noun: code, cipher, cypher"


40,*seco*,"*dry*
adjective: dried, dry, dead"


41,*sabiendo* (saber),"*knowing*
verb: know, realize, taste"


42,*hacerla* (hacer),"*do it*
"


43,*graves* (grave),"*serious*
adjective: serious, severe, grave"


44,*dejarás* (dejar),"*you will leave*
verb: leave, let, stop"


45,*convencido* (convencido convencer),"*convinced*
adjective: convinced"


46,*comprende* (comprender),"*understands*
verb: understand, comprise, comprehend"


47,*bromas* (broma),"*jokes*
noun: joking, jesting"


