,Spanish,Quizlet


0,*asistente*,"*assistant*
adjective: assistant, attendant, auxiliary
noun: assistant, attendant, aid"


1,*imperio*,"*empire*
noun: empire, imperial"


2,*pidiendo* (pedir),"*asking*
verb: ask, request, ask for"


3,*notas* (nota notar),"*grades*
noun: note, notice, footnote"


4,*curioso*,"*curious*
adjective: curious, inquisitive, intriguing"


5,*operaciones* (operación),"*operations*
noun: operation, transaction, motion"


6,*mantén* (mantener),"*keep*
verb: maintain, keep, hold"


7,*tierras* (tierra),"*land*
noun: land, ground"


8,*creas* (creer),"*you believe*
verb: create, make, set up"


9,*pez*,"*fish*
noun: fish, pitch, tar"


10,*morirá* (morir),"*will die*
verb: die, kill, die out"


11,*visión*,"*vision*
noun: vision, view, sight"


12,*montañas* (montaña),"*mountains*
noun: highland"


13,*comido* (comido comer),"*Eaten*
adjective: taken"


14,*construir*,"*build*
verb: build, construct, erect"


15,*comunidad*,"*community*
noun: community, common, clanship"


16,*verán* (ver),"*they will see*
verb: see, view, watch"


17,*pierde* (perder),"*misses*
verb: lose, miss, waste"


18,*piense* (pensar),"*think*
verb: think, reflect, ponder"


19,*felicidad*,"*happiness*
noun: happiness, bliss, felicity"


20,*diversión*,"*fun*
noun: fun, diversion, amusement"


21,*salvó* (salvar),"*except*
preposition: except, save, but
conjunction: except for"


22,*quita* (quitar),"*remove*
verb: remove, take away, take off"


23,*museo*,"*museum*
noun: museum"


24,*disparó* (disparar),"*Shooting*
noun: shot, shooting, firing"


25,*desearía* (desear),"*I would like*
phrase: I would like"


26,*misterio*,"*mystery*
noun: mystery, riddle, mystique"


27,*buscamos* (buscar),"*we seek*
verb: search, search for, look"


28,*aviso* (aviso avisar),"*warning*
noun: notice, warning, ad"


29,*almirante*,"*admiral*
noun: admiral"


30,*solución*,"*solution*
noun: solution, settlement, answer"


31,*pequeñas* (pequeño),"*little*
adjective: small, little, short"


32,*faltan* (faltar),"*missing*
verb: lack, fail, fall short"


33,*existen* (existir),"*exist*
verb: exist, be, occur"


34,*combustible*,"*fuel*
noun: fuel, combustible
adjective: combustible"


35,*leído* (leer),"*read*
noun: read
adjective: taken, well-read"


36,*tirar*,"*throw*
verb: pull, throw, shoot"


37,*responder*,"*reply*
verb: respond, answer, reply"


38,*esfuerzo* (esfuerzo esforzar),"*effort*
noun: effort, endeavor, exertion"


39,*vuelves* (volver),"*come back*
verb: return, go back, come back"


40,*pájaro*,"*bird*
noun: bird"


41,*hermanas* (hermana),"*sisters*
noun: brother, sibling, sib"


42,*guerrero*,"*warrior*
noun: warrior, fighter
adjective: bellicose"


43,*esposas* (esposas esposa),"*wives*
noun: handcuffs, manacles, bracelets"


44,*coma* (coma comer),"*eat*
noun: coma, comma, point"


45,*abra* (abrir abra),"*open*
verb: open, open up, start"


46,*traes* (traer),"*you bring*
verb: bring, bring in, get"


47,*sientas* (sentir sentar),"*feel*
verb: feel, sense, regret"


48,*olvide* (olvidar),"*forget*
verb: forget, neglect, leave"


