,Spanish,Quizlet


0,*ante*,"*in view of*
preposition: before, in the face of
noun: suede, buckskin"


1,*bienvenido*,"*welcome*
adjective: welcome"


2,*harás* (hacer),"*you will do*
verb: do, make, ask"


3,*encontramos* (encontrar),"*we find*
verb: find, meet, encounter"


4,*encontrado* (encontrar),"*found*
adjective: located"


5,*contacto* (contacto contactar),"*contact*
noun: contact, touch, point"


6,*posición*,"*position*
noun: position, location, place"


7,*saberlo* (saber),"*know*
"


8,*planeta*,"*planet*
noun: planet"


9,*humanos* (humano),"*humans*
adjective: human, humane
noun: human"


10,*coronel*,"*colonel*
noun: colonel
abbreviation: col."


11,*junto* (junto juntar),"*together*
adjective: together
adverb: together"


12,*diría* (decir),"*would say*
verb: say, tell, speak"


13,*ésa* (ese),"*that*
pronoun: that, that one"


14,*base* (base basar),"*base*
noun: base, basis, foundation"


15,*oír*,"*hear*
verb: hear, listen, overhear"


16,*suelo* (suelo soler),"*floor*
noun: floor, soil, ground"


17,*pelear*,"*fight*
verb: quarrel, row, skirmish"


18,*ayudarte* (ayudar),"*help you*
"


19,*pistola*,"*gun*
noun: gun, pistol, handgun"


20,*frío* (frío freír),"*cold*
adjective: cold, cool, chilly
noun: cold, chill"


21,*comandante*,"*commander*
noun: commander, major, commandant
abbreviation: Maj."


22,*partes* (parte partir),"*parts*
noun: part, party, portion"


23,*llega* (llegar),"*arrives*
verb: get, reach, arrive"


24,*verás* (ver),"*you will see*
noun: truth"


25,*sur*,"*south*
noun: south"


26,*iremos* (ir),"*we'll go*
verb: go, be, head"


27,*rato*,"*a while*
noun: while, time, bit"


28,*mar*,"*sea*
noun: sea, ocean, the deep"


29,*espacio*,"*space*
noun: space, room, gap"


30,*asesinato*,"*murder*
noun: murder, assassination, killing"


31,*ventana*,"*window*
noun: window, deadlight"


32,*prisa*,"*hurry*
noun: hurry, rush, haste"


33,*tienda* (tienda tender),"*store*
noun: store, shop, tent"


34,*cámara*,"*camera*
noun: camera, chamber, cameraman"


35,*puedas* (poder),"*you can*
verb: be able to, can, may"


36,*según*,"*according to*
preposition: according to, by, depending on
phrase: it depends"


37,*broma*,"*joke*
noun: joke, prank, jest"


38,*reunión*,"*meeting*
noun: meeting, reunion, gathering"


39,*despierta* (despertar),"*wake up*
verb: wake, awaken, arouse"


40,*sacar*,"*take out*
verb: take, get, draw"


41,*tí* (ti),"*you*
pronoun: you, thee"


42,*segunda* (segundo),"*second*
noun: second"


43,*papel*,"*paper*
noun: paper, role, part"


44,*locura*,"*craziness*
noun: madness, insanity, folly"


45,*departamento*,"*department*
noun: department, shop, flat"


46,*horrible*,"*awful*
adjective: horrible, awful, hideous"


47,*enfermo*,"*sick*
adjective: sick, ill, diseased
noun: patient, invalid, sufferer"


48,*pregunto* (preguntar),"*asked*
"


49,*cárcel*,"*jail*
noun: jail, prison, gaol"


50,*órdenes* (orden),"*orders*
noun: order, command, warrant"


51,*intento* (intento intentar),"*tried*
noun: attempt, try, intent"


