,Spanish,Quizlet


0,*quedado* (quedar),"*left*
adjective: left, lost, kept"


1,*enfrente*,"*in front*
adjective: opposite, facing"


2,*comienzo* (comienzo comenzar),"*beginning*
noun: beginning, start, onset"


3,*árboles* (árbol),"*trees*
noun: tree"


4,*queso*,"*cheese*
noun: cheese"


5,*favorito*,"*favorite*
adjective: favorite, fancied, favourite
noun: favorite, favourite, front-runner"


6,*haberme* (haber),"*have me*
"


7,*frontera*,"*border*
noun: border, frontier, boundary"


8,*creemos* (creer),"*we believe*
verb: create, make, set up"


9,*colega*,"*colleague*
noun: colleague, associate, brother"


10,*jueves*,"*Thursday*
noun: Thursday
abbreviation: Thu."


11,*alemanes* (alemán),"*germans*
adjective: German
noun: German, Jerry"


12,*sábado*,"*Saturday*
noun: Saturday, sabbath
abbreviation: Sat."


13,*limpiar*,"*clean*
verb: clean, clean up, clear"


14,*puto*,"*fucking*
"


15,*poquito* (poco),"*a little*
noun: touch, trifle, dash
adverb: a little bit of"


16,*cientos* (ciento),"*hundreds*
noun: hundred"


17,*muero* (morir),"*I die*
verb: die, kill, die out"


18,*irak* (Irak),"*Iraq*
noun: Iraq"


19,*inteligencia*,"*intelligence*
noun: intelligence, brains, knowledge"


20,*funcionar*,"*function*
verb: work, function, run"


21,*felicitaciones* (felicitación),"*congratulations*
noun: congratulations, backslapping"


22,*escapó* (escapar),"*escaped*
verb: escape, get away, flee"


23,*criatura*,"*creature*
noun: creature, thing, infant"


24,*milagro*,"*miracle*
noun: miracle, wonder"


25,*deprisa*,"*quickly*
adverb: fast, hastily
adjective: slippy"


26,*especiales* (especial),"*specials*
adjective: special, particular, especial"


27,*campamento*,"*camp*
noun: camp, camping, campsite"


28,*responde* (responder),"*reply*
verb: respond, answer, reply"


29,*escuchaste* (escuchar),"*you listened*
verb: listen, hear, listen to"


30,*debiste* (deber),"*you should have*
verb: must, owe, job"


31,*adios* (adiós),"*bye*
noun: adieu"


32,*viven* (vivir),"*they live*
verb: live, live on, reside"


33,*recoger*,"*collect*
verb: collect, pick, pick up"


34,*preguntarte* (preguntar),"*ask you*
"


35,*compras* (compra comprar),"*shopping*
noun: shopping"


36,*cansada* (cansado cansar),"*tired*
adjective: tired, weary, tiresome"


37,*elegir*,"*choose*
verb: choose, select, elect"


38,*cáncer*,"*cancer*
noun: cancer"


39,*servir*,"*serve*
verb: serve, help, do"


40,*pata*,"*paw*
noun: leg, paw, foot"


41,*huir*,"*flee*
verb: escape, run away, run
phrase: turn tail"


42,*útil*,"*useful*
adjective: helpful, useful, good"


43,*grados* (grado),"*degrees*
noun: degree, grade, extent"


44,*atacar*,"*attack*
verb: attack, strike, tackle"


45,*recién*,"*newly*
adverb: newly, freshly, recently"


46,*querría* (querer),"*I would want*
verb: want, love, wish"


47,*guapo*,"*handsome*
adjective: handsome, beautiful, pretty"


48,*alcance* (alcance alcanzar),"*scope*
noun: scope, reach, range"


49,*dejame* (dejar),"*let me*
"


