,Spanish,Quizlet


0,*circunstancias* (circunstancia),"*circumstances*
noun: circumstances, circs"


1,*trabajamos* (trabajar),"*we work*
verb: work, job, labor"


2,*amén*,"*amen*
noun: amen"


3,*funcionando* (funcionar),"*running*
verb: work, function, run"


4,*personalidad*,"*personality*
noun: personality, presence"


5,*muro*,"*Wall*
noun: wall"


6,*contestar*,"*to answer*
verb: answer, reply, write back"


7,*razon* (razón),"*reason*
noun: reason, ratio, rate"


8,*peores* (peor),"*worse*
adjective: worst, worse, worse off"


9,*particular*,"*particular*
adjective: particular, special, private
noun: private person, private citizen"


10,*llévame* (llevar),"*ride me*
"


11,*gimnasio*,"*gym*
noun: gym, fitness center, gymnasium"


12,*emocionante*,"*exciting*
adjective: exciting, thrilling, moving"


13,*desgracia*,"*misfortune*
noun: misfortune, disgrace, mishap"


14,*científico*,"*scientist*
adjective: scientific
noun: scientist"


15,*buscado* (buscar),"*sought*
verb: search, search for, look"


16,*terapia*,"*therapy*
noun: therapy"


17,*prepara* (preparar),"*prepare*
verb: prepare, make, ready"


18,*patrulla*,"*patrol*
noun: patrol"


19,*globo*,"*balloon*
noun: globe, balloon, ball"


20,*despejado* (despejado despejar),"*clear*
adjective: clear, fair, cloudless"


21,*creado* (creado crear),"*created*
adjective: created"


22,*aprendido* (aprender),"*learned*
adjective: learned"


23,*nací* (nacer),"*i was born*
verb: be born, rise, come into being"


24,*embajador*,"*ambassador*
noun: ambassador"


25,*barcos* (barco),"*boats*
noun: shipping, flotilla"


26,*posiblemente*,"*possibly*
adverb: likely, conceivably"


27,*malvado*,"*wicked*
adjective: evil, wicked, tough
noun: villain"


28,*dormitorio*,"*bedroom*
noun: bedroom, dormitory, bedchamber"


29,*despacho* (despacho despachar),"*dispatch*
noun: office, dispatch, study"


30,*desagradable*,"*disgusting*
adjective: unpleasant, disagreeable, distasteful"


31,*viniendo* (venir),"*coming*
verb: come, come round, come through"


32,*recibo* (recibo recibir),"*receipt*
noun: receipt, acquittance, quittance"


33,*nuclear*,"*nuclear*
adjective: nuclear
verb: nucleate"


34,*mensajes* (mensaje),"*messages*
noun: message, dispatch, despatch"


35,*mantengan* (mantener),"*keep*
verb: maintain, keep, hold"


36,*ultimo* (último),"*last*
adjective: last, latest, latter
noun: last
adverb: latest"


37,*autoridades* (autoridad),"*authorities*
noun: authorities"


38,*quedes* (quedar),"*stay*
verb: stay, remain, keep"


39,*pasaron* (pasar),"*passed*
verb: pass, go, move"


40,*gano* (ganar),"*won*
verb: win, earn, gain"


41,*ayudo* (ayudar),"*helped*
verb: help, assist, aid"


42,*aprecio* (aprecio apreciar),"*appreciation*
noun: appreciation, esteem"


43,*sentimiento*,"*feeling*
noun: feeling, sentiment, feel"


44,*popular*,"*popular*
adjective: popular, pop, famed"


45,*extrañas* (extrañar),"*foreign*
adjective: strange, weird, odd
noun: alien"


46,*detenerlo* (detener),"*stop it*
"


47,*civiles* (civil),"*civilians*
adjective: civil, civilian"


