,Spanish,Quizlet


0,*llegué* (llegar),"*I arrived*
verb: get, reach, arrive"


1,*negra* (negro),"*black*
noun: black woman, Negress, crotchet"


2,*decidido* (decidido decidir),"*decided*
adjective: decided, purposive, purposeful"


3,*comienza* (comenzar),"*starts*
verb: start, begin, commence"


4,*distancia*,"*distance*
noun: distance, range, reach"


5,*éramos* (ser),"*we were*
verb: be, come, come of"


6,*murieron* (morir),"*died*
verb: die, kill, die out"


7,*averiguar*,"*figure out*
verb: find out, ascertain, inquire"


8,*actuar*,"*Act*
verb: act, perform, play"


9,*quedo* (quedar),"*I stay*
verb: stay, remain, keep"


10,*pulso* (pulso pulsar),"*pulse*
noun: pulse"


11,*aguanta* (aguantar),"*hold*
verb: endure, stand, put up"


12,*oficiales* (oficial),"*officers*
adjective: official, formal, governmental
noun: official, officer"


13,*llamaba* (llamar),"*called*
verb: call, get, knock"


14,*enemigos* (enemigo),"*enemies*
noun: enemy, foe
adjective: hostile, averse"


15,*saldrá* (salir),"*will come out*
verb: leave, get out, go out"


16,*preocupado* (preocupado preocupar),"*concerned*
adjective: concerned, worried, preoccupied"


17,*elección*,"*choice*
noun: choice, election, selection"


18,*sobrevivir*,"*survive*
verb: outlast, keep alive"


19,*bordo*,"*board*
noun: board, side"


20,*sujeto*,"*subject*
noun: subject, fellow
adjective: liable, amenable"


21,*pacientes* (paciente),"*patients*
adjective: patient
noun: patient"


22,*disculpen* (disculpar),"*excuse me*
verb: excuse, forgive, exculpate"


23,*época*,"*epoch*
noun: time, era, period"


24,*entró* (entrar),"*I enter*
verb: enter, get in, come in"


25,*pesar*,"*weigh*
verb: weigh, weigh out, weigh up
noun: regret, sorrow, grief"


26,*habló* (hablar),"*speak*
verb: talk, speak, chat"


27,*vender*,"*sell*
verb: sell, market, trade"


28,*piensan* (pensar),"*think*
verb: think, reflect, ponder"


29,*ex*,"*ex*
noun: former
preposition: ex
adjective: late"


30,*gratis*,"*free*
adjective: free, free of charge, gratis
adverb: free, gratis, for nothing"


31,*desapareció* (desaparecer),"*He disappeared*
verb: disappear, go away, vanish"


32,*empleo* (empleo emplear),"*employment*
noun: employment, job, use"


33,*llamé* (llamar),"*I called*
verb: call, get, knock"


34,*conocen* (conocer),"*know*
verb: know, meet, learn"


35,*cerdo*,"*pig*
noun: pork, pig, hog"


36,*puedan* (poder),"*they can*
verb: be able to, can, may"


37,*comprendo* (comprender),"*understand*
interjection: O.K.!, OK!, Okay!"


38,*tomo* (tomar),"*took*
noun: volume, tome"


39,*termina* (terminar),"*ends*
verb: end, finish, complete"


40,*aléjate* (alejar),"*get away*
"


41,*busco* (buscar),"*look for*
verb: search, search for, look"


42,*contento*,"*glad*
adjective: happy, contented, pleased
noun: contentment, happiness"


43,*date* (dar),"*date*
"


44,*tumba* (tumba tumbar),"*grave*
noun: tomb, grave"


45,*huellas* (huella),"*footprints*
noun: footprint, mark, trace"


46,*cuerpos* (cuerpo),"*bodies*
noun: body, corps, length"


