,Spanish,Quizlet


0,*tuve* (tener),"*I had*
verb: have, keep, own"


1,*fácil*,"*easy*
adjective: easy, simple, ready"


2,*preocupes* (preocupar),"*worry*
verb: worry, concern, trouble"


3,*luz*,"*light*
noun: light, daylight, glow"


4,*eran* (ser),"*were*
verb: be, come, come of"


5,*carajo*,"*damn*
noun: dick, prick, cock"


6,*final*,"*final*
adjective: end, final, ultimate
noun: end, final, finish"


7,*lista* (lista listo),"*list*
noun: list, table, roster"


8,*trata* (tratar),"*treats*
noun: traffic"


9,*armas* (arma armar),"*weapons*
noun: arms, weaponry, armaments"


10,*hermana*,"*sister*
noun: sister"


11,*exactamente*,"*exactly*
adverb: exactly, just, precisely"


12,*chicas* (chica),"*girls*
noun: girl, gal, cutie"


13,*podía* (poder),"*could*
verb: be able to, can, may"


14,*bastante*,"*quite*
adverb: quite, pretty, enough
adjective: enough, sufficient, nice"


15,*seguridad*,"*security*
noun: security, safety, certainty"


16,*pasando* (pasar),"*going*
verb: pass, go, move"


17,*esperando* (esperar),"*expecting*
conjunction: hoping for"


18,*acá*,"*here*
adverb: here, hither"


19,*teléfono*,"*phone*
noun: phone, telephone, blower"


20,*perro*,"*dog*
noun: dog, pooch"


21,*fuego*,"*fire*
noun: fire, blaze, light"


22,*murió* (morir),"*died*
verb: die, kill, die out"


23,*tampoco*,"*neither*
conjunction: neither"


24,*sola* (solo),"*alone*
adjective: unique"


25,*estuvo* (estar),"*was*
verb: be, stay, stand"


26,*verte* (ver),"*to see you*
verb: empty, tip, slop"


27,*iré* (ir),"*I will go*
verb: go, be, head"


28,*tenido* (tener),"*had*
adjective: kept, held"


29,*culpa* (culpa culpar),"*blame*
noun: fault, guilt, blame"


30,*veras*,"*you will see*
noun: truth"


31,*adónde*,"*where to*
interjection: Where?, Whither?"


32,*buscando* (buscar),"*searching*
verb: search, search for, look"


33,*cuanto*,"*how much*
conjunction: that, as much as
adverb: when
pronoun: as much as"


34,*padres* (padre),"*parents*
noun: father, parent, sire"


35,*paz*,"*peace*
noun: peace, rest, tranquility"


36,*demonios* (demonio),"*demons*
noun: demon, devil, daemon"


37,*estará* (estar),"*will be*
verb: be, stay, stand"


38,*cual*,"*which*
pronoun: which, that
adjective: such as, aforementioned"


39,*perdón*,"*sorry*
noun: forgiveness, pardon, absolution"


40,*asi* (así),"*So*
adverb: so, thus, thereby"


41,*jugar*,"*play*
verb: play, gamble, play around"


42,*pensando* (pensar),"*thinking*
verb: think, reflect, ponder"


43,*esperar*,"*wait*
verb: wait, expect, wait for"


44,*sabemos* (saber),"*we know*
verb: know, realize, taste"


45,*recuerdo* (recuerdo recordar),"*memory*
noun: memory, souvenir, remembrance"


46,*par*,"*pair*
noun: pair, couple, par
adjective: even, equal, like"


47,*joven*,"*young*
adjective: young, youth, youthful
noun: young, young man, young woman"


48,*seguir*,"*continue*
verb: follow, continue, keep"


49,*pueblo*,"*town*
noun: people, village, town"


50,*tenga* (tener),"*have*
verb: have, keep, own"

