,Spanish,Quizlet


0,*orgulloso*,"*proud*
adjective: proud, prideful, lofty"


1,*vos*,"*you*
"


2,*tomado* (tomar),"*taken*
adjective: taken"


3,*digamos* (decir),"*Let's say*
verb: say, tell, speak"


4,*debió* (deber),"*should have*
verb: must, owe, job"


5,*gana* (gana ganar),"*win*
noun: desire, wish"


6,*cura* (cura curar),"*healing*
noun: cure, priest, treatment"


7,*lengua*,"*language*
noun: language, tongue, lingo"


8,*araña* (araña arañar),"*spider*
noun: spider, chandelier, electrolier"


9,*podré* (poder),"*I will be able*
verb: be able to, can, may"


10,*voluntad*,"*willpower*
noun: will, volition"


11,*total*,"*total*
adjective: total, overall, whole
noun: total, whole, sum
adverb: wholesale"


12,*dedo*,"*finger*
noun: finger, digit"


13,*pago* (pago pagar),"*pay*
noun: payment, paying, fee"


14,*agradezco* (agradecer),"*I appreciate*
verb: thank, acknowledge, appreciate"


15,*partir*,"*leave*
verb: depart, go, split"


16,*lucha* (lucha luchar),"*struggle*
noun: fight, struggle, fighting"


17,*leche*,"*milk*
noun: milk, cum, spunk"


18,*diste* (dar),"*you gave*
verb: give, yield, lend"


19,*copa*,"*Cup*
noun: cup, glass, goblet"


20,*quedarte* (quedar),"*stay*
"


21,*seguros* (seguro),"*insurance*
adjective: sure, safe, secure
noun: insurance, assurance, tumbler"


22,*destruir*,"*destroy*
verb: destroy, kill, smash"


23,*bienvenidos* (bienvenido),"*welcome*
"


24,*llevan* (llevar),"*They carry*
verb: carry, take, bring"


25,*ponga* (poner),"*put*
verb: put, add, place"


26,*lados* (lado),"*sides*
noun: side, end, part"


27,*acceso*,"*access*
noun: access, entry, accession"


28,*intentar*,"*attempt*
verb: try, attempt, intend"


29,*trajo* (traer),"*brought*
verb: bring, bring in, get"


30,*desastre*,"*disaster*
noun: disaster, calamity, washout"


31,*deber*,"*duty*
noun: duty, obligation, due
verb: must, owe, job
auxiliary verb: should, shall, ought"


32,*herida* (herida herido herir),"*wound*
noun: wound, injury, hurt"


33,*débil*,"*weak*
adjective: weak, faint, feeble
noun: lame duck"


34,*naturaleza*,"*nature*
noun: nature, character"


35,*luchar*,"*struggle*
verb: fight, struggle, strive"


36,*extraña* (extraño extrañar),"*strange*
adjective: strange, weird, odd
noun: alien"


37,*encontraste* (encontrar),"*by contrast*
verb: find, meet, encounter"


38,*vieron* (ver),"*saw*
verb: see, view, watch"


39,*llámame* (llamar),"*call me*
"


40,*imagen*,"*image*
noun: image, picture, visualization"


41,*pan*,"*bread*
noun: bread, loaf"


42,*refieres* (referir),"*you mean*
verb: refer, recount, narrate"


43,*clientes* (cliente),"*customers*
noun: customer, client, patron"


44,*varios*,"*several*
adjective: several, some, sundry"


45,*show*,"*Show*
noun: show, revue"


46,*auxilio*,"*help*
noun: help, assistance"


47,*oyes* (oír),"*you hear*
verb: hear, listen, overhear"


48,*siguen* (seguir),"*follow*
verb: follow, continue, keep"


49,*sentado* (sentar sentado),"*sitting*
adjective: sitting, sejant"


