,Spanish,Quizlet


0,*comercial*,"*commercial*
adjective: commercial, trade, trading"


1,*primavera*,"*spring*
noun: spring, springtime, primrose"


2,*metió* (meter),"*got into*
verb: put, insert, place"


3,*volvemos* (volver),"*we return*
verb: return, go back, come back"


4,*mandar*,"*send*
verb: send, command, order"


5,*luce* (lucir),"*looks*
verb: shine, sport, display"


6,*sagrado*,"*sacred*
adjective: sacred, holy, sacral
noun: sanctuary"


7,*nacido* (nacido nacer),"*born*
adjective: born"


8,*fabuloso*,"*fabulous*
adjective: fabulous, fantastic, fabled"


9,*echo* (echar),"*threw out*
verb: cast, throw, put"


10,*desaparecer*,"*disappear*
verb: disappear, go away, vanish"


11,*potencia*,"*power*
noun: power, potency"


12,*adn* (ADN),"*dna*
"


13,*traiga* (traer),"*bring*
verb: bring, bring in, get"


14,*permítame* (permitir),"*let me*
interjection: Allow me!"


15,*mayores* (mayor),"*greater*
adjective: higher, major, bigger
noun: senior, elderly, elder"


16,*regalos* (regalo),"*gifts*
noun: gifts"


17,*pusiste* (poner),"*you put*
verb: put, add, place"


18,*peligrosa* (peligroso),"*dangerous*
adjective: dangerous, hazardous, perilous"


19,*militares* (militar),"*military*
adjective: military, soldierly, regimental
noun: military, soldier, serviceman
verb: soldier, militate, serve"


20,*jodida* (joder jodido),"*fucked up*
verb: fuck, screw, fuck up"


21,*coincidencia*,"*coincidence*
noun: coincidence, agreement"


22,*bandera*,"*flag*
noun: flag, banner, ensign"


23,*adivinar*,"*guess*
verb: guess, divine"


24,*tubo*,"*tube*
noun: tube, pipe, flue"


25,*partida* (partida partido partir),"*departure*
noun: departure, game, item"


26,*opciones* (opción),"*options*
noun: option, choice"


27,*llamaron* (llamar),"*they called*
verb: call, get, knock"


28,*hombro*,"*shoulder*
noun: shoulder"


29,*vampiros* (vampiro),"*vampires*
noun: vampire"


30,*sabían* (saber),"*they knew*
verb: know, realize, taste"


31,*recibió* (recibir),"*received*
verb: receive, get, welcome"


32,*jugadores* (jugador),"*players*
noun: player, gambler, punter"


33,*celebrar*,"*celebrate*
verb: celebrate, hold, observe"


34,*armario*,"*cupboard*
noun: closet, wardrobe, cabinet"


35,*tetas* (teta),"*tits*
noun: tits, boobs, jugs"


36,*paliza*,"*beating*
noun: beating, thrashing, drubbing"


37,*sabor*,"*flavor*
noun: flavor, taste, savor"


38,*míralo* (mirar),"*Look*
"


39,*lata*,"*can*
noun: can, tin, canister"


40,*héroes* (héroe),"*heroes*
noun: hero"


41,*serpiente*,"*snake*
noun: snake, serpent"


42,*escribí* (escribir),"*i wrote*
verb: write, spell, write out"


43,*comité*,"*committee*
noun: committee, commission"


44,*bendiga* (bendecir),"*bless*
verb: bless"


45,*terminé* (terminar),"*I finished*
verb: end, finish, complete"


46,*oyó* (oír),"*or me*
verb: hear, listen, overhear"


47,*imaginación*,"*imagination*
noun: imagination, fancy, fantasy"


48,*funcionó* (funcionar),"*it worked*
verb: work, function, run"


