,Spanish,Quizlet


0,*fuertes* (fuerte),"*powerful*
adjective: strong, sharp, hard
noun: fort, forte, metier"


1,*encantador*,"*charming*
adjective: charming, lovely, enchanting
noun: enchanter, magician"


2,*original*,"*original*
adjective: original, novel, pristine
noun: original, manuscript, master copy"


3,*cadena*,"*chain*
noun: chain, string, network"


4,*tarea*,"*task*
noun: task, job, homework"


5,*dispara* (disparar),"*shoot*
verb: shoot, fire, discharge"


6,*corta* (corto cortar),"*short*
noun: cutting, crop"


7,*compañeros* (compañero),"*companions*
noun: partner, companion, mate"


8,*cirugía*,"*surgery*
noun: surgery"


9,*quítate* (quitar),"*take off*
"


10,*querían* (querer),"*they wanted*
verb: want, love, wish"


11,*precioso*,"*precious*
adjective: beautiful, lovely, precious"


12,*lord*,"*lord*
noun: lord"


13,*comenzó* (comenzar),"*began*
verb: start, begin, commence"


14,*truco*,"*trick*
noun: trick, gimmick, knack"


15,*inspector*,"*inspector*
noun: inspector, checker, surveyor"


16,*enojado* (enojado enojar),"*angry*
adjective: angry, displeased, cross"


17,*felicidades* (felicidad),"*congratulations*
interjection: Congratulations!, All the best!"


18,*desaparecido* (desaparecido desaparecer),"*missing*
adjective: missing, extinct, unaccounted-for"


19,*acto*,"*act*
noun: act, event, deed"


20,*pollo*,"*chicken*
noun: chicken, chick, fowl"


21,*chocolate*,"*chocolate*
noun: chocolate, cocoa, hash"


22,*adonde*,"*where to*
adverb: where, where to
conjunction: where"


23,*resulta* (resultar),"*result*
noun: result"


24,*merece* (merecer),"*deserves*
verb: deserve, merit, earn"


25,*gas*,"*gas*
noun: gas"


26,*examen*,"*exam*
noun: examination, review, exam"


27,*vean* (ver),"*see*
verb: see, view, watch"


28,*tonta* (tonto),"*silly*
adjective: silly, fool, foolish
noun: silly, fool, stupid"


29,*importantes* (importante),"*important*
adjective: important, significant, large"


30,*apuesta* (apuesta apostar),"*bet*
noun: bet, wager, betting"


31,*directamente*,"*directly*
adverb: directly, direct, straight"


32,*recuperar*,"*recover*
verb: recover, retrieve, regain"


33,*pongo* (poner),"*put*
verb: put, add, place"


34,*llegaron* (llegar),"*they arrived*
verb: get, reach, arrive"


35,*cobarde*,"*coward*
adjective: coward, cowardly, craven
noun: coward, craven, quitter"


36,*cantidad*,"*amount*
noun: amount, quantity, lot"


37,*sucio*,"*dirty*
adjective: dirty, unclean, grubby
adverb: unfairly, foully"


38,*habia* (haber),"*there was*
verb: have"


39,*emperador*,"*emperor*
noun: emperor, kaiser"


40,*mono*,"*bun*
noun: ape, overalls, overall
adjective: cute, nice, lovely"


41,*encontraremos* (encontrar),"*we will find*
verb: find, meet, encounter"


42,*disparen* (disparar),"*shoot*
verb: shoot, fire, discharge"


43,*gloria*,"*glory*
noun: glory, fame, triumph"


44,*contrario*,"*contrary*
adjective: contrary, opposite, counter
noun: opponent, enemy"


45,*socorro* (socorro socorrer),"*Help*
noun: relief, help, aid"


46,*sir*,"*sir*
noun: sir"


