,Spanish,Quizlet


0,*pudiéramos* (poder),"*we could*
verb: be able to, can, may"


1,*pega* (pega pegar),"*job*
noun: sticking, downside, snag"


2,*parto* (partir),"*Birth*
noun: delivery, birth, childbirth"


3,*nido*,"*nest*
noun: nest, nidus"


4,*molestando* (molestar),"*bothering*
verb: disturb, bother, annoy"


5,*gota*,"*drop*
noun: drop, gout, bead"


6,*fracasado* (fracasado fracasar),"*failed*
adjective: failed, unsuccessful, washed-up
noun: failure, loser"


7,*esperé* (esperar),"*wait*
"


8,*escúcheme* (escuchar),"*listen to me*
"


9,*eco*,"*echo*
noun: echo, reverberation, replication"


10,*duros* (duro),"*hard*
adjective: hard, tough, harsh
noun: die-hard, hard-liner"


11,*dispararle* (disparar),"*shoot him*
"


12,*desaparecieron* (desaparecer),"*they disappeared*
verb: disappear, go away, vanish"


13,*contarle* (contar),"*tell him*
"


14,*cargando* (cargar),"*charging*
verb: load, charge, upload"


15,*caen* (caer),"*fall*
verb: fall, drop, fall down"


16,*asesinó* (asesinar),"*killer*
noun: murderer, killer, assassin
adjective: murderous, cutthroat"


17,*prométeme* (prometer),"*promise me*
"


18,*políticos* (político),"*politicians*
adjective: political
noun: politician"


19,*plantas* (planta plantar),"*floors*
noun: herbage"


20,*oculta* (oculto ocultar),"*hidden*
verb: hide, conceal, cover"


21,*mundos* (mundo),"*worlds*
noun: world, savoir faire"


22,*fines* (fin),"*purposes*
adjective: Finnish, Finnic
noun: Finnish, Finnic"


23,*dueños* (dueño),"*owners*
noun: owner, landlord, proprietor"


24,*detén* (detener),"*stop*
verb: stop, halt, arrest"


25,*cm* (cm centímetro),"*cm*
"


26,*asesinar*,"*murder*
verb: murder, assassinate, kill"


27,*agosto*,"*August*
noun: August
abbreviation: Aug."


28,*rojas* (roja rojo),"*red*
adjective: red, ruddy, ginger
noun: red"


29,*pantano*,"*swamp*
noun: swamp, marsh, bog"


30,*opina* (opinar),"*think*
verb: say, think, opine"


31,*odian* (odiar),"*they hate*
verb: hate, loathe, detest"


32,*llegaré* (llegar),"*I will arrive*
verb: get, reach, arrive"


33,*impresionado* (impresionado impresionar),"*impressed*
adjective: impressed"


34,*dirigir*,"*lead*
verb: direct, lead, address"


35,*diciembre*,"*December*
noun: December
abbreviation: Dec."


36,*decidimos* (decidir),"*we decided to*
verb: decide, determine, rule"


37,*conectado* (conectado conectar),"*connected*
adjective: connected, on-line"


38,*toco* (tocar),"*I play*
verb: touch, play, perform"


39,*sinceramente*,"*sincerely*
adverb: sincerely, genuinely, heartily"


40,*relacionado* (relacionado relacionar),"*related*
adjective: relevant, allied, germane"


41,*quedaron* (quedar),"*were left*
verb: stay, remain, keep"


42,*levanten* (levantar),"*raise*
verb: lift, raise, pick up"


43,*espantoso*,"*frightening*
adjective: frightening, dreadful, frightful"


44,*enseño* (enseñar),"*taught*
verb: teach, show, train"


45,*enfermedades* (enfermedad),"*diseases*
noun: disease, illness, sickness"


