,Spanish,Quizlet


0,*trenes* (tren),"*trains*
noun: train"


1,*soporto* (soportar),"*stood*
verb: bear, endure, hold"


2,*sacaré* (sacar),"*I will take out*
verb: take, get, draw"


3,*oido* (oído),"*ear*
noun: ear, hearing"


4,*fortaleza*,"*strength*
noun: fortress, fort, stronghold"


5,*corea*,"*Korea*
noun: chorea"


6,*conversar*,"*discuss*
verb: talk, converse"


7,*computadoras* (computadora),"*computers*
noun: computer"


8,*cálmese* (calmar),"*calm down*
interjection: Cool it!"


9,*volante*,"*steering wheel*
noun: steering wheel, wheel, flywheel
adjective: volant"


10,*sucederá* (suceder),"*will happen*
verb: succeed"


11,*decías* (decir),"*you said*
verb: say, tell, speak"


12,*data*,"*data*
"


13,*cuente* (contar),"*count*
verb: count, tell, reckon"


14,*civilización*,"*civilization*
noun: civilization"


15,*cabrones* (cabrón),"*bastards*
noun: bastard, asshole, ass"


16,*arruinar*,"*spoil*
verb: ruin, wreck, mess up"


17,*vampiro*,"*vampire*
noun: vampire"


18,*tocó* (tocar),"*touched*
verb: touch, play, perform"


19,*regresé* (regresar),"*I am back*
verb: return, go back, come back"


20,*pases* (pasar),"*passes*
verb: pass, go, move"


21,*fantástica* (fantástico),"*fantastic*
adjective: fantastic, fantastical, fanciful"


22,*facil* (fácil),"*easy*
adjective: easy, simple, ready"


23,*estabamos* (estar),"*we were*
verb: be, stay, stand"


24,*diera* (dar),"*gave*
verb: give, yield, lend"


25,*detenga* (detener),"*stop*
verb: stop, halt, arrest"


26,*violación*,"*rape*
noun: violation, rape, breach"


27,*hemorragia*,"*hemorrhage*
noun: hemorrhage, haemorrhage"


28,*fianza*,"*bail*
noun: bail, bond, deposit"


29,*docena*,"*dozen*
noun: dozen"


30,*centavo*,"*penny*
noun: penny, cent, copper"


31,*célula*,"*cell*
noun: cell, cellule"


32,*carreras* (carrera),"*careers*
noun: racing"


33,*callado* (callado callar),"*reserved*
adjective: quiet, silent, reserved"


34,*rodilla*,"*knee*
noun: knee"


35,*prometes* (prometer),"*you promise*
verb: promise, pledge, vow"


36,*profundamente*,"*deeply*
adverb: deeply, deep, profoundly"


37,*posiciones* (posición),"*positions*
noun: position, location, place"


38,*hicieras* (hacer),"*you did*
verb: do, make, ask"


39,*furioso*,"*furious*
adjective: furious, angry, raging"


40,*desperté* (despertar),"*woke up*
verb: wake, awaken, arouse"


41,*comes* (comer),"*you eat*
verb: eat, lunch, meal"


42,*ciega* (ciego),"*blind*
noun: blind woman"


43,*cicatriz*,"*scar*
noun: scar, cicatrix"


44,*bebidas* (bebida bebido beber),"*drinks*
verb: drink, imbibe, booze"


45,*acércate* (acercar),"*come closer*
"


46,*tiró* (tirar),"*shot*
noun: shot, throw, hit"


47,*policial*,"*police*
adjective: constabulary"


48,*pasear*,"*sightseeing*
verb: walk, take a walk, promenade"


49,*masa*,"*mass*
noun: mass, dough, bulk"


50,*llegues* (llegar),"*you arrive*
verb: get, reach, arrive"


