,Spanish,Quizlet


0,*vamonos* (ir),"*let's go*
"


1,*trucos* (truco),"*tricks*
noun: trick, gimmick, knack"


2,*preparada* (preparado preparar),"*prepared*
adjective: prepared, ready, trained"


3,*funcionará* (funcionar),"*it will work*
verb: work, function, run"


4,*conté* (contar),"*counted*
verb: count, tell, reckon"


5,*contando* (contar),"*counting*
verb: count, tell, reckon"


6,*construcción*,"*construction*
noun: construction, building, structure"


7,*ciudadanos* (ciudadano),"*citizens*
noun: town, townsfolk"


8,*agarrar*,"*grab*
verb: grab, grasp, grip"


9,*infeliz*,"*unhappy*
adjective: unhappy, unfortunate, infelicitous
noun: unfortunate, wretch"


10,*francesa* (francés),"*french*
adjective: French
noun: French, Frenchman, parleyvoo"


11,*explica* (explicar),"*Explain*
verb: explain, account for, explicate"


12,*decide* (decidir),"*decide*
verb: decide, determine, rule"


13,*vende* (vender),"*sells*
verb: sell, market, trade"


14,*rutina*,"*routine*
noun: routine, grind, rut"


15,*gustar*,"*like*
verb: like, taste, love"


16,*empieces* (empezar),"*start*
verb: start, begin, get"


17,*caída* (caída caído caer),"*drop*
noun: drop, fall, hang"


18,*almorzar*,"*have lunch*
verb: lunch, luncheon, have a dinner"


19,*actividad*,"*activity*
noun: activity, movement, briskness"


20,*inocentes* (inocente),"*innocent*
adjective: innocent, naive, guiltless
noun: innocent, April fool"


21,*fondos* (fondo),"*money*
noun: funds, funding, finance"


22,*coraje*,"*courage*
noun: courage, guts"


23,*ayudando* (ayudar),"*Helping*
verb: help, assist, aid"


24,*aterrizar*,"*to land*
verb: land, touch down, set down"


25,*actuación*,"*performance*
noun: performance, action, operation"


26,*suba* (subir),"*go up*
verb: upload, rise, go up"


27,*ayudante*,"*assistant*
adjective: assistant, auxiliary
noun: assistant, helper, aide"


28,*vuela* (volar),"*Flying*
verb: fly, blow, blow up"


29,*vaca*,"*cow*
noun: cow, neat"


30,*cirujano*,"*surgeon*
noun: surgeon"


31,*tio* (tío),"*uncle*
noun: uncle, guy, chap
adjective: chappy"


32,*olvídate* (olvidar),"*forget*
"


33,*okay*,"*OK*
"


34,*entregar*,"*deliver*
verb: deliver, give, hand"


35,*encerrado* (encerrado encerrar),"*locked*
adjective: pent, bounded, shut-in"


36,*rubia* (rubio),"*blonde*
adjective: blonde
noun: blonde, madder"


37,*joyas* (joya),"*jewelry*
noun: jewelry, jewels, jewellery"


38,*empecemos* (empezar),"*let us begin*
verb: start, begin, get"


39,*amado* (amado amar),"*loved*
adjective: beloved, dear
noun: beloved, love"


40,*terminamos* (terminar),"*finished*
verb: end, finish, complete"


41,*romanos* (romano),"*romans*
adjective: Roman
noun: Roman, Romany, Romanes"


42,*piedad*,"*piety*
noun: piety, piousness, pieta"


43,*llamarte* (llamar),"*call you*
"


44,*hacían* (hacer),"*they did*
verb: do, make, ask"


45,*furia*,"*rage*
noun: fury, anger, madness"


46,*detalle*,"*detail*
noun: detail, gesture, technicality"


47,*admitir*,"*admit*
verb: admit, accept, allow"


