,Spanish,Quizlet


0,*paciente*,"*patient*
adjective: patient
noun: patient"


1,*encuentro* (encuentro encontrar),"*meeting*
noun: meeting, encounter, match
adjective: far-flung"


2,*energía*,"*energy*
noun: energy, power, vigor"


3,*dejado* (dejado dejar),"*left*
adjective: left, untidy, slovenly
noun: legacy, dung"


4,*baile*,"*dance*
noun: dance, dancing, ball"


5,*abuela*,"*grandmother*
noun: grandmother"


6,*caliente*,"*hot*
adjective: hot, warm, heated"


7,*vieja* (viejo),"*old*
noun: old woman, old lady, hag"


8,*viendo* (ver),"*seeing*
verb: see, view, watch"


9,*veremos* (ver),"*we will see*
verb: see, view, watch"


10,*rayos* (rayo),"*good heavens*
"


11,*simple*,"*simple*
adjective: simple, single, mere
noun: simple"


12,*bailar*,"*dance*
verb: dance, spin, jig
phrase: shake a leg"


13,*papa*,"*dad*
noun: potato, pope"


14,*triste*,"*sad*
adjective: sad, sorry, unhappy
adverb: joylessly"


15,*zona*,"*zone*
noun: area, zone, region"


16,*serás* (ser),"*you will*
phrase: you will"


17,*guardia*,"*guard*
noun: guard, watch, constable"


18,*canción*,"*song*
noun: song, singing, chanson"


19,*salud*,"*health*
noun: health"


20,*escuchar*,"*hear*
verb: listen, hear, listen to"


21,*parar*,"*stall*
verb: stop, halt, end"


22,*estarás* (estar),"*you will be*
verb: be, stay, stand"


23,*cenar*,"*have dinner*
verb: dine, take a meal"


24,*soldados* (soldado),"*soldiers*
noun: soldier, trooper, fighter"


25,*caballo*,"*horse*
noun: horse, hack
adjective: equine"


26,*serán* (ser),"*will be*
verb: be, come, come of"


27,*estaremos* (estar),"*we will be*
verb: be, stay, stand"


28,*interesa* (interesar),"*interested*
verb: interest, appeal, attract"


29,*volar*,"*fly*
verb: fly, blow, blow up"


30,*principio*,"*principle*
noun: principle, beginning, start
adjective: ABC"


31,*nivel*,"*level*
noun: level, standard, tier"


32,*cálmate* (calmar),"*take it easy*
"


33,*conocer*,"*know*
verb: know, meet, learn"


34,*finalmente*,"*finally*
adverb: finally, last, at last"


35,*alegro* (alegrar alegro),"*glad*
adverb: allegro
noun: allegro"


36,*debajo*,"*below*
adverb: below, under, beneath
preposition: under"


37,*podrían* (poder),"*could*
verb: be able to, can, may"


38,*bosque*,"*forest*
noun: forest, woods, wood"


39,*bonita* (bonito),"*pretty*
adjective: nice, beautiful, pretty"


40,*bolsa*,"*bag*
noun: bag, pouch, stock exchange"


41,*pone* (poner),"*places*
verb: put, add, place"


42,*taxi*,"*cab*
noun: taxi, cab, taxicab"


43,*ocupado* (ocupado ocupar),"*busy*
adjective: busy, occupied, taken"


44,*amable*,"*gentle*
adjective: friendly, kind, nice"


45,*acaso*,"*perhaps*
adverb: perhaps"


46,*detente* (detener),"*stop*
"


47,*imbécil*,"*fool*
noun: moron, imbecile, fool
adjective: imbecile, idiotic, silly"


48,*san* (san San),"*saint*
noun: saint"


49,*equivocado*,"*mistaken*
adjective: wrong, mistaken, misguided"


