,Spanish,Quizlet


0,*mande* (mandar),"*What*
verb: send, command, order"


1,*ligera* (ligero),"*light*
adjective: light, lightweight, thin"


2,*iris*,"*iris*
noun: iris"


3,*horno*,"*oven*
noun: oven, furnace, kiln"


4,*grosero*,"*rude*
adjective: rude, gross, coarse
noun: bounder, double chin"


5,*elementos* (elemento),"*items*
noun: elements"


6,*debías* (deber),"*you should*
verb: must, owe, job"


7,*culpo* (culpar),"*I blame*
verb: blame, accuse, incriminate"


8,*comencemos* (comenzar),"*let's start*
verb: start, begin, commence"


9,*bebo* (beber),"*drink*
verb: drink, imbibe, booze"


10,*veloz*,"*fast*
adjective: fast, speedy, fleet"


11,*telefónica* (telefónico),"*telephone*
adjective: telephone, telephonic"


12,*tatuaje*,"*tattoo*
noun: tattoo"


13,*sácalo* (sacar),"*get it out*
"


14,*resuelto* (resuelto resolver),"*resolved*
adjective: resolved, determined, decided"


15,*quedaría* (quedar),"*would stay*
verb: stay, remain, keep"


16,*pais* (país),"*country*
noun: country, land"


17,*nocturno*,"*night*
adjective: night, nightly, nocturnal
noun: nocturne"


18,*líquido*,"*liquid*
adjective: liquid, fluid, net
noun: liquid, net payment"


19,*filas* (fila),"*rows*
noun: row, line, rank"


20,*estes* (estar),"*you are*
noun: east"


21,*espías* (espía),"*spies*
noun: spy, spook, snooper"


22,*especialidad*,"*specialty*
noun: specialty, specialism, special field"


23,*aves* (ave),"*birds*
noun: bird, fowl"


24,*amables* (amable),"*kind*
adjective: friendly, kind, nice"


25,*uniformes* (uniforme),"*uniforms*
noun: uniform, regimentals, undress
adjective: even, uniformed, regular"


26,*sentirlo* (sentir),"*feel it*
"


27,*retrocede* (retroceder),"*back off*
verb: back, go back, move back"


28,*reconocer*,"*recognize*
verb: recognize, acknowledge, admit"


29,*rebelde*,"*rebel*
noun: rebel, insurgent
adjective: rebellious, insurgent, refractory"


30,*plena* (pleno),"*full*
adjective: full, plenary, complete
noun: plenary session"


31,*pervertido* (pervertido pervertir),"*pervert*
adjective: perverted, deviant
noun: pervert"


32,*obedecer*,"*obey*
verb: obey, take orders"


33,*mentido* (mentido mentir),"*lied*
verb: lie, tell a lie, prevaricate"


34,*matara* (matar),"*will kill*
verb: fuse, fuze"


35,*llamarla* (llamar),"*call her*
"


36,*jade*,"*jade*
noun: jade, nephrite"


37,*entienda* (entender),"*in shop*
verb: understand, grasp, realize"


38,*ego*,"*ego*
noun: ego"


39,*echó* (echar),"*threw out*
verb: cast, throw, put"


40,*considero* (considerar),"*considered*
verb: consider, regard, account"


41,*cobardes* (cobarde),"*cowards*
adjective: coward, cowardly, craven
noun: coward, craven, quitter"


42,*césped*,"*grass*
noun: lawn, grass, turf"


43,*capullo*,"*cocoon*
noun: cocoon, bud, pod"


44,*baños* (baño),"*bathrooms*
noun: toilets, bathing"


45,*supervivencia*,"*survival*
noun: survival"


46,*soñado* (soñado soñar),"*dreamed of*
adjective: ideal, exalted, make-believe"


