,Spanish,Quizlet


0,*crema*,"*cream*
noun: cream, custard"


1,*planeado* (planeado planear),"*planned*
verb: plan, glide, design"


2,*mantenga* (mantener),"*keep up*
verb: maintain, keep, hold"


3,*juguete*,"*toy*
noun: toy, plaything, bauble"


4,*técnica*,"*technique*
noun: technique, technics"


5,*nacimiento*,"*birth*
noun: birth, source, rise"


6,*esperaré* (esperar),"*i will wait*
verb: wait, expect, wait for"


7,*termino* (terminar),"*term*
noun: term, end, word"


8,*matas* (matar),"*you kill*
verb: kill, slay, murder"


9,*entrado* (entrar),"*entered*
adjective: joined"


10,*destruido* (destruido destruir),"*destroyed*
adjective: destroyed"


11,*daremos* (dar),"*we will give*
verb: give, yield, lend"


12,*circo*,"*circus*
noun: circus, cirque"


13,*ascensor*,"*elevator*
noun: elevator, lift"


14,*aca* (acá),"*here*
adverb: here, hither"


15,*investigar*,"*investigate*
verb: investigate, research, explore"


16,*encuentren* (encontrar),"*find*
verb: find, meet, encounter"


17,*archivo*,"*archive*
noun: archive, archives, registry"


18,*salve* (salvar),"*Hail*
interjection: Hail!"


19,*presentar*,"*introduce*
verb: present, submit, introduce"


20,*logro* (logro lograr),"*achievement*
noun: achievement, accomplishment, attainment"


21,*intentas* (intentar),"*you try*
verb: try, attempt, intend"


22,*encargaré* (encargar),"*I will order*
verb: order, commission, entrust"


23,*armado* (armado armar),"*armed*
adjective: armed"


24,*apuestas* (apuesta apostar),"*bets*
noun: bet, wager, betting"


25,*arrestado* (arrestado arrestar),"*arrested*
adjective: detained, detenu"


26,*unión*,"*Union*
noun: union, junction, joint"


27,*permanecer*,"*stay*
verb: stay, remain, keep"


28,*muéstrame* (mostrar),"*show me*
"


29,*móvil*,"*mobile*
adjective: mobile, movable, fickle
noun: motive, incentive"


30,*dificil* (difícil),"*difficult*
adjective: difficult, hard, tough"


31,*casados* (casado casar),"*married*
adjective: married, wedded"


32,*cañón*,"*Canyon*
noun: cannon, canyon, barrel"


33,*tribunal*,"*court*
noun: court, tribunal, bench"


34,*sepan* (saber),"*know*
verb: know, realize, taste"


35,*satélite*,"*satelite*
noun: satellite, myrmidon"


36,*recuerden* (recordar),"*remember*
verb: remember, recall, remind"


37,*intentaré* (intentar),"*I will try*
verb: try, attempt, intend"


38,*falsa* (falsa falso),"*false*
adjective: false, fake, untrue"


39,*coca*,"*Coke*
noun: coca, coke"


40,*símbolo*,"*symbol*
noun: symbol, sign, emblem"


41,*rocas* (roca),"*rocks*
noun: rock, boulder"


42,*putas* (puta),"*whores*
noun: bitch, whore, slut"


43,*pendejo*,"*stupid*
adjective: stupid
noun: motherfucker, coward, berk"


44,*mátalo* (matar),"*kill him*
"


45,*judío*,"*Jew*
adjective: Jewish, Yiddish
noun: Jew"


46,*estando* (estar),"*being*
verb: be, stay, stand"


47,*subtítulos* (subtítulo),"*Subtitle*
noun: subtitle, caption, subheading"


48,*gritando* (gritar),"*Screaming*
verb: scream, shout, cry"


