,Spanish,Quizlet


0,*movimiento*,"*motion*
noun: movement, motion, move"


1,*momentos* (momento),"*moments*
noun: time, moment, point"


2,*familiar*,"*familiar*
adjective: family, familiar, relative
noun: relative, dependent, dependant"


3,*apartamento*,"*apartment*
noun: apartment, flat"


4,*disparar*,"*shoot*
verb: shoot, fire, discharge"


5,*tesoro*,"*treasure*
noun: treasure, treasury, treasure chest"


6,*perfecta* (perfecto),"*perfect*
adjective: perfect, ideal, flawless"


7,*refiero* (referir),"*I mean*
verb: refer, recount, narrate"


8,*motivo*,"*reason*
noun: reason, motive, occasion
adjective: motive"


9,*dará* (dar),"*give to*
verb: set, give on to, utter"


10,*nuevas* (nuevo),"*new*
noun: news"


11,*mr* (mister),"*mr*
"


12,*querer*,"*want*
verb: want, love, wish"


13,*matarlo* (matar),"*kill him*
"


14,*valiente*,"*brave*
adjective: brave, courageous, valiant
noun: brave, valiant, a devil of a fellow"


15,*víctima*,"*victim*
noun: victim, sufferer, casualty"


16,*tendrán* (tener),"*will have*
verb: have, keep, own"


17,*estúpida* (estúpido),"*stupid*
adjective: stupid, idiotic, asinine
noun: idiot, bonehead, coot"


18,*envió* (enviar),"*shipment*
noun: shipping, sending, shipment"


19,*encantado* (encantado encantar),"*delighted*
adjective: delighted, haunted, bewitched"


20,*diario*,"*diary*
adjective: daily, everyday, per diem
adverb: daily
noun: daily, journal, newspaper"


21,*abran* (abrir),"*open*
verb: open, open up, start"


22,*sentí* (sentir),"*felt*
verb: feel, sense, regret"


23,*autobús*,"*bus*
noun: bus, omnibus"


24,*traído* (traer),"*brought*
adjective: involved, landed"


25,*casas* (casa casar),"*houses*
noun: housing"


26,*apúrate* (apurar),"*hurry up*
interjection: Jump to it!, Make it snappy!"


27,*encuentras* (encontrar),"*you find*
verb: find, meet, encounter"


28,*descanso* (descanso descansar),"*rest*
noun: rest, relaxation, interval"


29,*sheriff*,"*sheriff*
"


30,*mueve* (mover),"*move*
verb: move, shift, shake"


31,*inglaterra* (Inglaterra),"*England*
noun: England"


32,*quieto*,"*still*
adjective: still, calm, quiescent"


33,*matarte* (matar),"*kill you*
"


34,*calles* (calle callar),"*streets*
noun: street, road, lane"


35,*tamaño*,"*size*
noun: size"


36,*colegio*,"*school*
noun: school, college, schoolhouse"


37,*usando* (usar),"*wearing*
verb: use, wear, utilize"


38,*cabo*,"*cape*
noun: cape, end, corporal"


39,*video*,"*video*
noun: video"


40,*toques* (toque tocar),"*touches*
noun: touch, stroke, knock"


41,*pelota*,"*ball*
noun: ball"


42,*yendo* (ir),"*going*
verb: go, be, head"


43,*directo*,"*straight*
adjective: direct, through, forthright"


44,*termine* (terminar),"*I finished*
verb: end, finish, complete"


45,*vivos* (vivo),"*alive*
adjective: live, alive, living"


46,*sombrero*,"*hat*
noun: hat"


47,*tomé* (tomar),"*take*
verb: take, have, drink"


48,*estudio* (estudio estudiar),"*study*
noun: study, studio, research"


49,*grave*,"*serious*
adjective: serious, severe, grave"


