,Spanish,Quizlet


0,*olvídalo* (olvidar),"*forget it*
"


1,*acción*,"*action*
noun: action, share, acting"


2,*hayas* (haber haya),"*beeches*
verb: have"


3,*dioses* (dios),"*gods*
noun: God, Lord, Holy"


4,*mando* (mando mandar),"*command*
noun: command, leadership, rule"


5,*dejaré* (dejar),"*I will leave*
verb: leave, let, stop"


6,*llegue* (llegar),"*I arrived*
verb: get, reach, arrive"


7,*formas* (forma formar),"*shapes*
noun: form, way, shape"


8,*uh*,"*uh*
"


9,*cierra* (cerrar),"*close*
verb: close, shut, shut down"


10,*damas* (dama),"*ladies*
noun: ladies, draughts, chequers"


11,*puente*,"*bridge*
noun: bridge, bridgework, deck bridge"


12,*memoria*,"*memory*
noun: memory, remembrance, memoir"


13,*regresa* (regresar),"*came back*
verb: return, go back, come back"


14,*muévanse* (mover),"*move*
"


15,*parecía* (parecer),"*looked like*
verb: seem, appear, look like"


16,*vestido* (vestido vestir),"*dress*
noun: dress, gown, dress suit
adjective: dressed"


17,*llaves* (llave),"*keys*
noun: key, spanner, faucet"


18,*tv* (TV),"*TV*
abbreviation: TV
noun: television"


19,*camión*,"*truck*
noun: truck, camion, lorry"


20,*acabar*,"*finish*
verb: end, finish, complete"


21,*robot*,"*robot*
noun: robot"


22,*llevó* (llevar),"*he took*
verb: carry, take, bring"


23,*montón*,"*lot*
noun: heap, pile, mound"


24,*estuviste* (estar),"*you were*
verb: be, stay, stand"


25,*máquina*,"*machine*
noun: machine, engine, dolly tub"


26,*puertas* (puerta),"*doors*
noun: clow"


27,*podamos* (poder podar),"*we can*
verb: be able to, can, may"


28,*muere* (morir),"*go dead*
verb: die, kill, die out"


29,*trago* (trago tragar),"*drink*
noun: drink, swallow, gulp"


30,*mayoría*,"*most*
noun: most, majority, many"


31,*reina* (reina reinar),"*queen*
noun: queen, empress"


32,*lleno* (lleno llenar),"*full*
adjective: filled, full, packed
noun: abundance"


33,*inglés*,"*English*
adjective: English
noun: English, Englishman, Sassenach"


34,*don*,"*Don*
noun: gift, don, Esquire
abbreviation: Esq."


35,*soldado* (soldado soldar),"*soldier*
noun: soldier, trooper, fighter"


36,*estrella* (estrella estrellar),"*star*
noun: star, blaze, canvas"


37,*escuche* (escuchar),"*listen*
verb: listen, hear, listen to"


38,*valor*,"*worth*
noun: value, worth, courage"


39,*pido* (pedir),"*I ask*
verb: ask, request, ask for"


40,*delante*,"*in front of*
adverb: before, fore"


41,*código*,"*code*
noun: code, cipher, cypher"


42,*héroe*,"*hero*
noun: hero"


43,*fe*,"*faith*
noun: faith, belief, confidence"


44,*capaz*,"*able*
adjective: able, capable, competent"


45,*verme* (ver),"*see me*
"


46,*beber*,"*to drink*
verb: drink, imbibe, booze"


47,*velocidad*,"*speed*
noun: speed, rate, velocity"


48,*darte* (dar),"*to give you*
"


49,*llevas* (llevar),"*you carry*
verb: carry, take, bring"


50,*partido* (partido partir),"*game*
noun: party, match, game
adjective: split"


