,Spanish,Quizlet


0,*gordo*,"*fat*
adjective: fat, thick, plump
noun: fatso"


1,*quedarse* (quedar),"*stay*
verb: stay, remain, stick around"


2,*posibilidad*,"*possibility*
noun: possibility, chance, likelihood"


3,*medicina*,"*medicine*
noun: medicine, medicament, mixture
abbreviation: med."


4,*malditos* (maldito),"*cursed*
adjective: damn, fucking, cursed"


5,*pantalones* (pantalón),"*pants*
noun: pants, trousers, breeches"


6,*mataron* (matar),"*they killed*
verb: kill, slay, murder"


7,*ayude* (ayudar),"*help*
verb: help, assist, aid"


8,*podremos* (poder),"*we will can*
verb: be able to, can, may"


9,*locos* (loco),"*crazy*
adjective: crazy, mad, out of one's mind
noun: madman, zany, half-wit"


10,*nombres* (nombre),"*Names*
noun: name, noun, forename"


11,*parecer*,"*seem*
verb: seem, appear, look like
noun: opinion, mind, judgment"


12,*américa* (América),"*America*
noun: America"


13,*definitivamente*,"*definitely*
"


14,*cinta*,"*tape*
noun: tape, ribbon, film"


15,*desea* (desear),"*want*
verb: want, wish, desire"


16,*brazos* (brazo),"*arms*
noun: arm, armrest, sail-arm"


17,*asuntos* (asunto),"*affairs*
noun: matter, issue, case"


18,*riesgo*,"*risk*
noun: risk, hazard, venture"


19,*escuché* (escuchar),"*listen*
verb: listen, hear, listen to"


20,*lugares* (lugar),"*places*
noun: place, site, spot"


21,*cuento* (cuento contar),"*tale*
noun: story, tale, fairy tale"


22,*noticia*,"*news*
noun: news, news item, report"


23,*dígame* (decir),"*tell me*
"


24,*decirlo* (decir),"*say it*
"


25,*tonterías* (tontería),"*crap*
noun: foolishness, bullshit, rubbish"


26,*sentimientos* (sentimiento),"*feelings*
noun: feeling, sentiment, feel"


27,*objetivo*,"*aim*
adjective: objective, factual, realistic
noun: objective, goal, target"


28,*pasada* (pasada pasado pasar),"*pass*
noun: pass, turn, passade"


29,*arreglar*,"*arrange*
verb: fix, arrange, settle"


30,*casado* (casado casar),"*married*
adjective: married, wedded"


31,*bote* (bote botar),"*boat*
noun: boat, pot, canister"


32,*roja* (rojo),"*red*
adjective: red, ruddy, ginger
noun: red"


33,*leyes* (ley),"*laws*
noun: law, act, statute"


34,*millón*,"*million*
adjective: million
: million"


35,*árbol*,"*tree*
noun: tree"


36,*hable* (hablar),"*I talked*
verb: talk, speak, chat"


37,*proyecto*,"*project*
noun: project, plan, scheme"


38,*nervioso*,"*highly strung*
adjective: nervous, nerve, edgy"


39,*lana*,"*wool*
noun: wool, fleece, Berlin wool"


40,*salido* (salir),"*stepped out*
adjective: left, departed, issued"


41,*pedazo*,"*piece*
noun: piece, chunk, hunk"


42,*malas* (malo mala),"*bad*
adjective: bad, wrong, evil
noun: villain"


43,*joder*,"*fuck*
verb: fuck, screw, fuck up
noun: fucking"


44,*humana* (humano),"*human*
adjective: human, humane"


45,*absolutamente*,"*absolutely*
adverb: absolutely, quite, completely"


46,*evitar*,"*avoid*
verb: avoid, prevent, avert"


