,Spanish,Quizlet


0,*busca* (buscar busca),"*seeks*
noun: search, hunt, bleeper"


1,*terminar*,"*finish*
verb: end, finish, complete
phrase: call it a day"


2,*tendré* (tener),"*I will have*
verb: have, keep, own"


3,*completamente*,"*completely*
adverb: completely, fully, thoroughly"


4,*cita* (cita citar),"*appointment*
noun: appointment, quote, date"


5,*siete*,"*seven*
adjective: seven
noun: seven
: seven"


6,*cumpleaños*,"*birthday*
noun: birthday, date"


7,*abogado*,"*lawyer*
noun: lawyer, attorney, counsel"


8,*alrededor*,"*around*
adverb: around, round"


9,*cerebro*,"*brain*
noun: brain, mastermind, cerebrum"


10,*porqué*,"*because*
adverb: why, wherefore"


11,*llave*,"*key*
noun: key, spanner, faucet"


12,*santo*,"*holy*
adjective: holy, saint, saintly
noun: saint, hallow
abbreviation: St."


13,*hermoso*,"*beautiful*
adjective: beautiful, handsome, lovely"


14,*necesario*,"*necessary*
adjective: necessary, needed, required"


15,*edificio*,"*building*
noun: building, premises, place"


16,*irnos* (ir),"*leave*
"


17,*aun*,"*still*
adverb: even, yet, still"


18,*tendremos* (tener),"*we will have*
verb: have, keep, own"


19,*vayas* (ir),"*go*
verb: go, be, head"


20,*doy* (dar),"*give*
verb: give, yield, lend"


21,*trae* (traer),"*brings*
verb: bring, bring in, get"


22,*salió* (salir),"*he left*
"


23,*ley*,"*law*
noun: law, act, statute"


24,*ahi* (ahí),"*there*
adverb: there"


25,*verdadero*,"*TRUE*
adjective: true, real, actual"


26,*pelea* (pelea pelear),"*fight*
noun: fight, fighting, quarrel"


27,*banco*,"*bank*
noun: bank, bench, shoal"


28,*terrible*,"*terrible*
adjective: terrible, awful, dreadful"


29,*calma* (calma calmar),"*calm*
noun: calm, calmness, still"


30,*cena* (cena cenar),"*dinner*
noun: dinner, supper, evening meal"


31,*daré* (dar),"*I will give*
verb: give, yield, lend"


32,*gobierno*,"*government*
noun: government, administration, steering"


33,*comprar*,"*buy*
verb: buy, purchase, get"


34,*creen* (creer crear),"*believe*
verb: create, make, set up"


35,*sargento*,"*sergeant*
noun: sergeant, serjeant, sarge"


36,*destino*,"*destination*
noun: destination, destiny, fate"


37,*existe* (existir),"*exists*
verb: exist, be, occur"


38,*hacía* (hacer),"*toward*
preposition: towards, to, toward"


39,*novio*,"*boyfriend*
noun: groom, bridegroom, fiance"


40,*sala*,"*hall*
noun: room, hall, lounge"


41,*través*,"*through*
noun: traverse, slant"


42,*regalo* (regalo regalar),"*gift*
noun: gift, present, treat"


43,*iglesia*,"*church*
noun: church, kirk, clergy"


44,*decía* (decir),"*He said*
verb: say, tell, speak"


45,*cualquiera*,"*any*
adjective: any, whatever, whichever
pronoun: anyone, anybody"


46,*excelente*,"*excellent*
adjective: excellent, sterling, dandy
noun: excellence"


47,*esperen* (esperar),"*wait*
verb: wait, expect, wait for"


48,*deseo* (deseo desear),"*desire*
noun: desire, wish, want"


49,*alma*,"*soul*
noun: soul, heart, spirit"


