,Spanish,Quizlet


0,*borracho*,"*drunk*
adjective: drunk, drunken, boozy
noun: drunkard, alcoholic, boozer"


1,*regresen* (regresar),"*come back*
verb: return, go back, come back"


2,*váyanse* (ir),"*go away*
"


3,*sentía* (sentir),"*felt*
verb: feel, sense, regret"


4,*resultado* (resultado resultar),"*result*
noun: result, outcome, effect"


5,*parado* (parado parar),"*stopped*
adjective: stationary, still, motionless"


6,*olvides* (olvidar),"*forget*
verb: forget, neglect, leave"


7,*mirada* (mirada mirar),"*look*
noun: look, gaze, glance"


8,*inútil*,"*useless*
adjective: useless, pointless, vain"


9,*acabas* (acabar),"*you finish*
verb: end, finish, complete"


10,*ciencia*,"*science*
noun: science, knowledge"


11,*perdiste* (perder),"*you lost*
verb: lose, miss, waste"


12,*sociedad*,"*society*
noun: society, corporation, partnership"


13,*regrese* (regresar),"*I am back*
verb: return, go back, come back"


14,*camioneta*,"*van*
noun: van, wagon, waggon"


15,*coño*,"*cone*
noun: pussy, cunt, fanny"


16,*revista*,"*magazine*
noun: magazine, journal, review
abbreviation: Mag."


17,*pareció* (parecer),"*it seemed*
verb: seem, appear, look like"


18,*montaña*,"*mountain*
noun: mountain"


19,*maravillosa* (maravilloso),"*wonderful*
adjective: wonderful, marvelous, amazing"


20,*dejarlo* (dejar),"*leave it*
interjection: Pack it in!, Kick it!"


21,*máximo*,"*maximum*
adjective: maximum, most, full
noun: maximum, high, possible"


22,*echar*,"*throw*
verb: cast, throw, put"


23,*corriente*,"*current*
adjective: current, running, ordinary
noun: current, stream, flow"


24,*escuchando* (escuchar),"*listening*
verb: listen, hear, listen to"


25,*disculpas* (disculpa disculpar),"*excuse me*
noun: apology, excuse, exculpation"


26,*cadáver*,"*corpse*
noun: corpse, body, cadaver"


27,*seguimos* (seguir),"*we continue*
verb: follow, continue, keep"


28,*ron* (ron Ron),"*Ron*
noun: rum"


29,*espectáculo*,"*show*
noun: show, spectacle, entertainment"


30,*mundial*,"*world*
adjective: world, worldwide, universal"


31,*francia* (Francia),"*France*
noun: France"


32,*decirles* (decir),"*tell them*
"


33,*aspecto*,"*aspect*
noun: aspect, appearance, look"


34,*presencia*,"*presence*
noun: presence"


35,*famoso*,"*famous*
adjective: famous, renowned, famed"


36,*corto* (corto cortar),"*short*
adjective: short, brief, narrow"


37,*relájate* (relajar),"*just relax*
"


38,*poderoso*,"*powerful*
adjective: powerful, mighty, potent
adverb: in power"


39,*recuerdos* (recuerdo),"*memories*
noun: regards, greetings, respects"


40,*llego* (llegar),"*arrive*
verb: get, reach, arrive"


41,*carretera*,"*road*
noun: road, highway, way"


42,*pasé* (pasar),"*happens*
noun: pass, permit, entrance card"


43,*oigo* (oír),"*i hear*
verb: hear, listen, overhear"


44,*esperamos* (esperar),"*we wait*
verb: wait, expect, wait for"


45,*escuchado* (escuchar),"*listened*
verb: listen, hear, listen to"


46,*cable*,"*wire*
noun: cable, cord, wire"


47,*rosa*,"*pink*
adjective: pink
noun: pink, rose"


