,Spanish,Quizlet


0,*crean* (crear),"*create*
verb: create, make, set up"


1,*contarme* (contar),"*tell me*
"


2,*cancelar*,"*Cancel*
verb: cancel, write off, call off"


3,*callar*,"*to silence*
verb: shut up, keep quiet, quieten"


4,*aceptarlo* (aceptar),"*accept it*
"


5,*suite*,"*suite room*
noun: suite"


6,*soñar*,"*dream*
verb: dream"


7,*provisiones* (provisión),"*provisions*
noun: provisions, groceries, supply"


8,*preferido* (preferido preferir),"*favorite*
adjective: favorite, chosen, favourite"


9,*normas* (norma),"*rules*
noun: rule, norm, policy"


10,*mientas* (mentir),"*while you lie*
verb: lie, tell a lie, prevaricate"


11,*mandé* (mandar),"*What*
verb: send, command, order"


12,*mandado* (mandado mandar),"*errand*
adjective: leaded, drafted
noun: order, commission"


13,*llámeme* (llamar),"*call me*
"


14,*huella*,"*fingerprint*
noun: footprint, mark, trace"


15,*gilipollas*,"*douchebag*
noun: asshole, ass, idiot"


16,*fingiendo* (fingir),"*pretending*
verb: pretend, fake, feign"


17,*eterno*,"*eternal*
adjective: eternal, everlasting, timeless"


18,*escopeta*,"*shotgun*
noun: shotgun, gun"


19,*divertirse* (divertir),"*have fun*
verb: enjoy, sport, frolic"


20,*distintos* (distinto),"*different*
adjective: different, distinct, separate"


21,*desesperado* (desesperado desesperar),"*desperate*
adjective: desperate, hopeless, in despair
noun: last ditch"


22,*bailarina* (bailarina bailarín),"*dancer*
noun: ballerina, dancing girl"


23,*alimentar*,"*feed*
verb: feed, nourish, nurture"


24,*adora* (adorar),"*adores*
verb: worship, adore, dote"


25,*simpático*,"*nice*
adjective: sympathetic, friendly, nice"


26,*ridícula* (ridículo),"*ridiculous*
adjective: ridiculous, ridicule, ludicrous"


27,*respetar*,"*respect*
verb: respect, honor, tolerate"


28,*rabia* (rabia rabiar),"*Rage*
noun: rage, rabies, madness"


29,*presentó* (presentar),"*presented*
verb: present, submit, introduce"


30,*poderosos* (poderoso),"*powerful*
adjective: powerful, mighty, potent"


31,*pito* (pito pitar),"*whistle*
noun: whistle, beep, prick"


32,*perla*,"*pearl*
noun: pearl, bead"


33,*pendiente*,"*earring*
noun: slope, earring, pendant
adjective: pending, outstanding, pendant"


34,*maestros* (maestro),"*teachers*
adjective: master, masterful, expert
noun: master, teacher, maestro"


35,*humanas* (humano),"*human*
adjective: human, humane"


36,*estare* (estar),"*I will be*
verb: be, stay, stand"


37,*escuchame* (escuchar),"*listen to me*
"


38,*entere* (enterar),"*find out*
verb: pay, tell, become acquainted"


39,*bésame* (besar),"*kiss Me*
"


40,*suicida*,"*suicide*
noun: suicide
adjective: suicidal"


41,*suelten* (soltar),"*let go*
verb: drop, release, loosen"


42,*sobrina*,"*niece*
noun: niece"


43,*presentarte* (presentar),"*introduce you*
"


44,*padrino*,"*godfather*
noun: godfather, sponsor, second"


45,*fractura* (fractura fracturar),"*fracture*
noun: fracture, breakage"


46,*explicarte* (explicar),"*explain to you*
"


