,Spanish,Quizlet


0,*honesto*,"*honest*
adjective: honest, decent, upright"


1,*entrevista*,"*interview*
noun: interview, meeting"


2,*antigua* (antiguo),"*ancient*
adjective: old, ancient, former"


3,*amante*,"*lover*
noun: lover, mistress, paramour
adjective: affectionate"


4,*humo*,"*smoke*
noun: smoke, fume"


5,*gustas* (gustar),"*you like*
verb: like, taste, love"


6,*condado*,"*county*
noun: county, shire, earldom"


7,*conseguido* (conseguido conseguir),"*got*
adjective: landed, acquired"


8,*viajar*,"*travel*
verb: travel, go, ride"


9,*sombra*,"*shade*
noun: shadow, shade, shading"


10,*sabrá* (saber),"*will know*
verb: know, realize, taste"


11,*refiere* (referir),"*refers*
verb: refer, recount, narrate"


12,*lío*,"*mess*
noun: mess, hassle, fuss"


13,*estáis* (estar),"*you are*
verb: be, stay, stand"


14,*entrega* (entrega entregar),"*delivery*
noun: delivery, surrender, installment"


15,*drácula* (Drácula),"*dracula*
"


16,*compartir*,"*share*
verb: share, partake of, bear a part in"


17,*volvamos* (volver),"*let's go back*
verb: return, go back, come back"


18,*sonrisa*,"*smile*
noun: smile, grin"


19,*sencillo*,"*simple*
adjective: simple, easy, straightforward"


20,*atrapado* (atrapado atrapar),"*caught*
verb: catch, trap, cop"


21,*aburrido* (aburrido aburrir),"*bored*
adjective: boring, dull, tired"


22,*pocas* (poco),"*few*
adjective: little, short, shallow"


23,*pensaste* (pensar),"*Thought*
verb: think, reflect, ponder"


24,*dragón*,"*dragon*
noun: dragon, dragoon, snapdragon"


25,*volví* (volver),"*I returned*
verb: return, go back, come back"


26,*planta* (planta plantar),"*plant*
noun: plant, floor, sole"


27,*clima*,"*climate*
noun: climate, weather, clime"


28,*adoro* (adorar),"*I like*
verb: worship, adore, dote"


29,*suave*,"*gentle*
adjective: soft, gentle, mild
noun: mild"


30,*ruso*,"*Russian*
adjective: Russian, Soviet
noun: Russian, Soviet"


31,*rodillas* (rodilla),"*knees*
noun: marrowbones"


32,*marina* (marino marina),"*Marine*
noun: marine"


33,*bolso*,"*bag*
noun: bag, handbag, purse"


34,*alarma* (alarma alarmar),"*alarm*
noun: alarm, alert, warning"


35,*vivía* (vivir),"*she lived*
verb: live, live on, reside"


36,*quédese* (quedar),"*stay*
"


37,*recompensa* (recompensa recompensar),"*reward*
noun: reward, recompense, prize"


38,*juega* (jugar),"*play*
verb: play, gamble, play around"


39,*cigarrillo*,"*cigarette*
noun: cigarette"


40,*autoridad*,"*authority*
noun: authority, power, rule"


41,*amigas* (amiga),"*friends*
noun: friend, buddy, chum
adjective: friendly"


42,*agujero*,"*hole*
noun: hole, bore, perforation"


43,*acabe* (acabar),"*finished*
verb: end, finish, complete"


44,*sacaste* (sacar),"*you took out*
verb: take, get, draw"


45,*orgullosa* (orgulloso),"*proud*
adjective: proud, prideful, lofty"


46,*entendí* (entender),"*understood*
verb: understand, grasp, realize"


47,*dijera* (decir),"*would say*
verb: say, tell, speak"


