,Spanish,Quizlet


0,*ciudades* (ciudad),"*cities*
noun: city, town"


1,*béisbol*,"*baseball*
noun: baseball"


2,*regresado* (regresado regresar),"*returned*
verb: return, go back, come back"


3,*pediste* (pedir),"*you asked*
verb: ask, request, ask for"


4,*ja*,"*ha*
"


5,*sesión*,"*session*
noun: session, meeting, sitting"


6,*comprender*,"*grasp*
verb: understand, comprise, comprehend
phrase: see the light"


7,*tocando* (tocar),"*touching*
verb: touch, play, perform"


8,*montar*,"*mount*
verb: mount, ride, assemble"


9,*familiares* (familiar),"*relatives*
adjective: family, familiar, relative
noun: relative, dependent, dependant"


10,*espía* (espía espiar),"*spy*
noun: spy, spook, snooper"


11,*efectos* (efecto),"*effects*
noun: goods, things"


12,*salto* (salto saltar),"*leap*
noun: jump, leap, hop"


13,*pagó* (pagar),"*pay*
noun: payment, paying, fee"


14,*impacto*,"*impact*
noun: impact, hit"


15,*emoción*,"*emotion*
noun: emotion, excitement, thrill"


16,*disparos* (disparo),"*shots*
noun: shot, shooting, firing"


17,*comando*,"*command*
noun: command, commando"


18,*autorización*,"*authorization*
noun: authorization, license, warrant"


19,*informes* (informe informar),"*reports*
noun: information, intelligence"


20,*honestamente*,"*honestly*
adverb: honestly"


21,*existencia*,"*existence*
noun: existence, stock, life"


22,*demasiada* (demasiado),"*too much*
"


23,*coches* (coche),"*cars*
noun: car, coach, carriage"


24,*clara* (claro clara),"*clear*
noun: white, egg white, bright period"


25,*alcanzar*,"*reach*
verb: reach, achieve, attain"


26,*volviste* (volver),"*you came back*
verb: return, go back, come back"


27,*octubre*,"*October*
noun: October
abbreviation: Oct."


28,*conseguimos* (conseguir),"*we got*
verb: get, achieve, obtain"


29,*barato*,"*cheap*
adjective: cheap, inexpensive, nickel-and-dime"


30,*apostar*,"*bet*
verb: bet, wager, stake"


31,*requiere* (requerir),"*requires*
verb: call for, want"


32,*importan* (importar),"*matter*
verb: import, matter, amount to"


33,*grano*,"*grain*
noun: grain, kernel, pimple"


34,*demasiados* (demasiado),"*too many*
"


35,*casarte* (casar),"*get married*
"


36,*tráeme* (traer),"*bring to me*
"


37,*progreso* (progreso progresar),"*progress*
noun: progress, advancement, development"


38,*odias* (odiar),"*you hate*
verb: hate, loathe, detest"


39,*ocurrir*,"*occur*
verb: occur, happen, take place"


40,*hacías* (hacer),"*you did*
verb: do, make, ask"


41,*serías* (ser),"*would you be*
verb: be, come, come of"


42,*secretario*,"*secretary*
noun: secretary, clerk, registrar
abbreviation: sec"


43,*rusia* (Rusia rusia),"*Russia*
noun: Russia"


44,*piénsalo* (pensar),"*think about it*
"


45,*gatito* (gatito gato),"*kitten*
noun: kitten, pussy, catling"


46,*déme* (dar),"*give me*
"


47,*colección*,"*collection*
noun: collection, set, array"


48,*vais* (ir),"*you go*
verb: go, be, head"


49,*sufrido* (sufrido sufrir),"*suffered*
adjective: long-suffering, afflicted"


50,*ningun* (ningún),"*none*
"


51,*helena* (heleno Helena),"*helena*
"


