,Spanish,Quizlet


0,*aparece* (aparecer),"*appears*
verb: appear, show, show up"


1,*testigos* (testigo),"*witnesses*
noun: witness, baton"


2,*pensó* (pensar),"*thought*
verb: think, reflect, ponder"


3,*fueran* (ser ir),"*were*
verb: be, come, come of"


4,*fantasmas* (fantasma),"*ghosts*
noun: ghost, phantom, phantasm"


5,*correo*,"*mail*
noun: mail, post"


6,*vuestro*,"*your*
pronoun: your, yours"


7,*piscina*,"*pool*
noun: pool, swimming pool, piscina"


8,*paquete*,"*package*
noun: package, pack, packet"


9,*copia* (copia copiar),"*copy*
noun: copy, replica, transcript"


10,*suicidio*,"*suicide*
noun: suicide, self-destruction"


11,*crédito*,"*credit*
noun: credit, credence, trust"


12,*consigo* (conseguir),"*with him*
pronoun: with him, with her, with oneself"


13,*vuestra* (vuestro),"*your*
pronoun: your, yours"


14,*rara* (raro),"*strange*
adjective: rare, unusual, odd"


15,*legal*,"*legal*
adjective: legal, lawful"


16,*hablaremos* (hablar),"*we will talk*
verb: talk, speak, chat"


17,*cambió* (cambiar),"*change*
noun: change, exchange, shift"


18,*solas* (solo),"*alone*
adjective: unique"


19,*salimos* (salir),"*we went out*
verb: leave, get out, go out"


20,*ganador*,"*winner*
noun: winner, earner
adjective: earning"


21,*estudiantes* (estudiante),"*students*
noun: student"


22,*despierto* (despierto despertar),"*awake*
adjective: awake, alert, wakeful"


23,*pare* (parar),"*stop*
verb: stop, halt, end"


24,*invitado* (invitado invitar),"*guest*
adjective: invited
noun: guest, invite"


25,*guía*,"*guide*
noun: guide, guidebook, leader"


26,*oso* (oso osar),"*bear*
noun: bear, Bruin"


27,*leí* (leer),"*read*
verb: read"


28,*explosión*,"*burst*
noun: explosion, blast, burst"


29,*dejarme* (dejar),"*leave me*
"


30,*chino*,"*Chinese*
adjective: Chinese, curly, kinky
noun: Chinese, Chinaman, Chinee"


31,*sorprende* (sorprender),"*surprise*
verb: surprise, catch, astonish"


32,*sistemas* (sistema),"*systems*
noun: system, scheme, method"


33,*nación*,"*nation*
noun: nation, people, folk"


34,*entienden* (entender),"*they understand*
verb: understand, grasp, realize"


35,*arena*,"*sand*
noun: sand, arena, grit"


36,*mentiroso*,"*liar*
noun: liar, deceiver, fibber
adjective: lying, false, deceitful"


37,*hablaba* (hablar),"*she spoke*
verb: talk, speak, chat"


38,*veas* (ver),"*go to S*
verb: see, view, watch"


39,*pura* (puro),"*pure*
adjective: pure, sheer, fresh"


40,*asesinado* (asesinado asesinar),"*murdered*
adjective: murdered"


41,*mintiendo* (mentir),"*lying*
verb: lie, tell a lie, prevaricate"


42,*casos* (caso),"*cases*
noun: case, instance, occurrence"


43,*vehículo*,"*vehicle*
noun: vehicle, tow"


44,*rata*,"*rat*
noun: rat"


45,*importancia*,"*importance*
noun: importance, value, magnitude"


46,*distinto*,"*distinct*
adjective: different, distinct, separate"


47,*pintura*,"*paint*
noun: painting, paint, picture"


48,*intenté* (intentar),"*i tried*
verb: try, attempt, intend"


