,Spanish,Quizlet


0,*dj* (DJ),"*DJ*
abbreviation: DJ"


1,*descansa* (descansar),"*rest*
verb: rest, lie, repose"


2,*copias* (copia),"*do you copy*
noun: copy, replica, transcript"


3,*apagar*,"*to turn off*
verb: turn off, put out, blow out"


4,*profesionales* (profesional),"*professionals*
adjective: professional, vocational, occupational
noun: professional, pro"


5,*práctica*,"*practice*
noun: practice, practicing, praxis"


6,*investigando* (investigar),"*doing research*
verb: investigate, research, explore"


7,*francamente*,"*frankly*
adverb: frankly, openly, honestly"


8,*afganistán* (Afganistán),"*Afghanistan*
noun: Afghanistan"


9,*vecino*,"*neighbor*
adjective: neighbor, neighboring, next
noun: neighbor, resident, local"


10,*trozo*,"*piece*
noun: piece, slice, scrap"


11,*tómate* (tomar tomate),"*tomato*
noun: tomato"


12,*tercero*,"*third*
adjective: third
: third
noun: third party"


13,*sirven* (servir),"*serving*
verb: serve, help, do"


14,*saquen* (sacar),"*take out*
verb: take, get, draw"


15,*manual*,"*manual*
adjective: manual
noun: manual, handbook"


16,*enciende* (encender),"*turn on*
verb: turn on, ignite, switch on"


17,*cercano*,"*nearby*
adjective: nearby, close, near"


18,*bailando* (bailar),"*dancing*
verb: dance, spin, jig"


19,*atras* (atrás),"*back*
adverb: back, behind, after"


20,*usarlo* (usar),"*use it*
"


21,*telefono* (teléfono),"*phone*
noun: phone, telephone, blower"


22,*registros* (registro),"*records*
noun: registration, record, register"


23,*ponlo* (poner),"*put it*
"


24,*pasta* (pasta pastar),"*pasta*
noun: paste, pulp, dough"


25,*lleguen* (llegar),"*arrive*
verb: get, reach, arrive"


26,*saliste* (salir),"*did you go out*
verb: leave, get out, go out"


27,*sabrás* (saber),"*you will know*
verb: know, realize, taste"


28,*limpieza*,"*cleaning*
noun: cleaning, cleanliness, cleanup"


29,*estadounidense*,"*US*
"


30,*enojada* (enojado enojar),"*annoyed*
adjective: angry, displeased, cross"


31,*desafortunadamente*,"*unfortunately*
adverb: unfortunately"


32,*conoció* (conocer),"*He met*
verb: know, meet, learn"


33,*pinta* (pinta pintar),"*Pinta*
noun: pint, pinta, spot"


34,*matamos* (matar),"*we kill*
verb: kill, slay, murder"


35,*funcionan* (funcionar),"*do they work*
verb: work, function, run"


36,*cocinar*,"*cook*
verb: cook, decoct"


37,*cima*,"*top*
noun: top, summit, peak"


38,*atractivo*,"*attractive*
adjective: attractive, sexy, appealing
noun: appeal, attraction, attractiveness"


39,*preguntes* (preguntar),"*ask*
verb: ask, inquire, question"


40,*necesitaré* (necesitar),"*I will need*
verb: need, require, take"


41,*lleguemos* (llegar),"*let's get there*
verb: get, reach, arrive"


42,*interrumpir*,"*interrupt*
verb: interrupt, disrupt, discontinue"


43,*haberla* (haber),"*have it*
"


44,*apropiado*,"*appropriate*
adjective: appropriate, proper, suitable"


45,*presentimiento*,"*feeling*
noun: feeling, presentiment, foreboding"


46,*intentamos* (intentar),"*we tried*
verb: try, attempt, intend"


