,Spanish,Quizlet


0,*monstruo*,"*monster*
noun: monster, freak, giant"


1,*bajar*,"*lower*
verb: lower, get off, go down"


2,*pierna*,"*leg*
noun: leg, haunch"


3,*señores* (señor),"*sirs*
abbreviation: Messrs
noun: messieurs"


4,*tomó* (tomar),"*took*
noun: volume, tome"


5,*pasará* (pasar),"*it will happen*
verb: proceed, adjourn to, foretaste"


6,*mataste* (matar),"*you killed*
verb: kill, slay, murder"


7,*grandioso*,"*magnificent*
adjective: grand, grandiose, lofty"


8,*socio*,"*partner*
noun: partner, member, associate"


9,*herido* (herir herido),"*injured*
adjective: wounded, injured, lacerated
noun: injured, injured man"


10,*cayó* (caer),"*fell*
"


11,*fuerzas* (fuerza forzar),"*forces*
noun: armaments"


12,*cine*,"*cinema*
noun: cinema, movies, movie theater"


13,*escena*,"*scene*
noun: scene, stage, setting"


14,*tía*,"*aunt*
noun: aunt, auntie, aunty"


15,*dando* (dar),"*giving*
verb: give, yield, lend"


16,*puntos* (punto),"*points*
noun: stitching"


17,*teníamos* (tener),"*we had*
verb: have, keep, own"


18,*dejaste* (dejar),"*you left*
verb: leave, let, stop"


19,*muévete* (mover),"*move on*
interjection: Hurry up!, Look alive!"


20,*larga* (largo largar),"*long*
noun: length"


21,*solía* (soler),"*used to*
verb: be wont to"


22,*tema* (tema temer),"*issue*
noun: theme, topic, subject"


23,*preparado* (preparado preparar),"*prepared*
adjective: prepared, ready, trained
noun: preparation, extract"


24,*depende* (depender),"*depends*
verb: depend"


25,*policías* (policía),"*policemen*
noun: police, policeman, cop"


26,*solos* (solo),"*alone*
adjective: unique"


27,*matarme* (matar),"*kill me*
"


28,*pon* (poner),"*put*
verb: put, add, place"


29,*hubiese* (haber),"*would have*
verb: have"


30,*bebe* (beber),"*baby*
noun: baby, babe, nurseling"


31,*tanta* (tanto),"*so much*
adjective: such"


32,*oeste*,"*west*
adjective: westerly"


33,*parís* (París),"*Paris*
noun: Paris"


34,*viento*,"*wind*
noun: wind, breeze, draught"


35,*jóvenes* (joven),"*youths*
noun: young, young people, youth"


36,*hacerme* (hacer),"*make me*
"


37,*asiento*,"*seat*
noun: seat, seating, chair"


38,*estupendo*,"*great*
adjective: great, super, wonderful"


39,*caminar*,"*walk*
verb: walk, go, trot"


40,*juicio*,"*judgment*
noun: judgment, trial, mind"


41,*creerlo* (creer),"*believe it*
"


42,*carga* (carga cargar),"*burden*
noun: load, charge, burden"


43,*tranquila* (tranquilo),"*peaceful*
adjective: quiet, tranquil, peaceful"


44,*banda*,"*band*
noun: band, side, strip"


45,*estarán* (estar),"*they will be*
verb: be, stay, stand"


46,*animal*,"*animal*
adjective: animal
noun: animal, beast"


47,*escuchen* (escuchar),"*listen*
verb: listen, hear, listen to"


48,*encontraron* (encontrar),"*They found*
verb: find, meet, encounter"


49,*dejas* (dejar),"*you let*
verb: leave, let, stop"


50,*tarjeta*,"*card*
noun: card"


51,*ibas* (ir),"*you were going*
verb: go, be, head"


