,Spanish,Quizlet


0,*vuelvas* (volver),"*come back*
verb: return, go back, come back"


1,*siéntese* (sentar),"*sit down*
"


2,*viniste* (venir),"*did you come*
verb: come, come round, come through"


3,*recibir*,"*receive*
verb: receive, get, welcome"


4,*mires* (mirar),"*look*
verb: look, look at, watch"


5,*teniendo* (tener),"*having*
verb: have, keep, own"


6,*huele* (oler),"*smells*
verb: smell, sniff, scent"


7,*hables* (hablar),"*talk*
verb: talk, speak, chat"


8,*guardias* (guardia),"*guards*
noun: guard, watch, constable"


9,*enamorado* (enamorado enamorar),"*in love*
adjective: in love, enamored, enamoured
noun: admirer, valentine"


10,*cuidar*,"*look after*
verb: care, look after, tend"


11,*pocos* (poco),"*few*
adjective: few"


12,*perdone* (perdonar),"*excuse me*
verb: forgive, pardon, spare"


13,*natural*,"*natural*
adjective: natural, native, plain
noun: nature, native"


14,*caballos* (caballo),"*horses*
noun: horse, hack
adjective: equine"


15,*escucho* (escuchar),"*I'm listening*
verb: listen, hear, listen to"


16,*enfermera*,"*nurse*
noun: nurse"


17,*ángel*,"*angel*
noun: angel"


18,*sospechoso*,"*suspicious*
adjective: suspect, fishy, dubious
noun: suspect"


19,*local*,"*local*
adjective: local, vernacular
noun: local, premises"


20,*mentiras* (mentira),"*lies*
noun: lie, lying, falsification"


21,*camisa*,"*shirt*
noun: shirt, casing, dust cover"


22,*confía* (confiar),"*trust*
verb: trust, rely, entrust"


23,*aceptar*,"*accept*
verb: accept, take, agree"


24,*venganza*,"*revenge*
noun: revenge, vengeance, retaliation"


25,*perdimos* (perder),"*we lost*
verb: lose, miss, waste"


26,*cuantos* (cuanto),"*how many*
conjunction: as many as"


27,*parque*,"*park*
noun: park, fleet, grounds"


28,*juegos* (juego),"*games*
noun: game, play, set"


29,*vives* (vivir),"*do you live*
verb: live, live on, reside"


30,*varias* (varios),"*several*
"


31,*harías* (hacer),"*would you do*
verb: do, make, ask"


32,*menudo*,"*slight*
adjective: small, doited, piddling"


33,*déjenme* (dejar),"*leave me*
"


34,*barrio*,"*neighborhood*
noun: neighborhood, district, quarter"


35,*virus*,"*virus*
noun: virus"


36,*talento*,"*talent*
noun: talent, gift, abilities"


37,*ministro*,"*Minister*
noun: minister, secretary, cabinet minister"


38,*hiciera* (hacer),"*did*
verb: do, make, ask"


39,*robó* (robar),"*heist*
noun: theft, robbery, stealing"


40,*conocerte* (conocer),"*know you*
"


41,*viviendo* (vivir),"*living*
verb: live, live on, reside"


42,*responsabilidad*,"*responsibility*
noun: responsibility, liability, accountability"


43,*respira* (respirar),"*breathe*
verb: breathe, respire"


44,*números* (número),"*numbers*
noun: numbers"


45,*pertenece* (pertenecer),"*belongs*
verb: pertain, appertain"


46,*desayuno* (desayuno desayunar),"*breakfast*
noun: breakfast"


47,*campeón*,"*champion*
adjective: champion
noun: champion, crackerjack"


48,*controlar*,"*check*
verb: control, monitor, check"


49,*maría* (María maría),"*Maria*
noun: Mary"


