,Spanish,Quizlet


0,*imaginas* (imaginar),"*imagine*
verb: imagine, think, figure"


1,*habitaciones* (habitación),"*bedrooms*
noun: room, habitation, accommodation"


2,*grecia* (Grecia),"*Greece*
noun: Greece"


3,*entré* (entrar),"*between*
preposition: between, among, amongst
adverb: in between"


4,*díselo* (decir),"*tell her*
"


5,*césar* (césar César),"*cease*
noun: Caesar"


6,*comprado* (comprado comprar),"*bought*
verb: buy, purchase, get"


7,*cocaína*,"*cocaine*
noun: cocaine, snow"


8,*amarillo*,"*yellow*
adjective: yellow, buff, sensational
noun: yellow"


9,*acabará* (acabar),"*will end*
verb: end, finish, complete"


10,*suceda* (suceder),"*happen*
verb: happen, occur, come about"


11,*mentes* (mente),"*minds*
noun: mind, mentality, intelligence"


12,*maldad*,"*evil*
noun: evil, wickedness, badness"


13,*gustará* (gustar),"*will like*
verb: like, taste, love"


14,*eliminar*,"*eliminate*
verb: remove, eliminate, rid"


15,*corbata*,"*tie*
noun: tie, necktie"


16,*atrapados* (atrapado atrapar),"*caught up*
verb: catch, trap, cop"


17,*sabíamos* (saber),"*we knew*
verb: know, realize, taste"


18,*merezco* (merecer),"*I deserve*
verb: deserve, merit, earn"


19,*medalla*,"*medal*
noun: medal, badge"


20,*lograste* (lograr),"*you achieved*
verb: achieve, accomplish, get"


21,*jaula*,"*cage*
noun: cage, birdcage, hutch"


22,*dió* (dar),"*gave*
verb: give, yield, lend"


23,*chofer*,"*driver*
noun: driver, chauffeur, motorist"


24,*informado* (informado informar),"*informed*
adjective: informed, inquired, acquainted"


25,*fatal*,"*fatal*
adjective: fatal, deadly, fateful"


26,*enfadado* (enfadado enfadar),"*angry*
adjective: angry, cross, vexed"


27,*cubierto* (cubierto cubrir),"*covered*
adjective: covered, overcast
noun: place, server, cloaking"


28,*compañera*,"*partner*
noun: girlfriend"


29,*ronda* (ronda rondar),"*round*
noun: round, patrol, watch"


30,*cobra* (cobra cobrar),"*cobra*
noun: cobra"


31,*cantante*,"*singer*
noun: singer, cantor, songster"


32,*abrazo* (abrazo abrazar),"*hug*
noun: hug, embrace, cuddle"


33,*tarjetas* (tarjeta),"*cards*
noun: card"


34,*sentarme* (sentar),"*sit down*
"


35,*refería* (referir),"*meant*
verb: refer, recount, narrate"


36,*indica* (indicar),"*indicates*
verb: indicate, show, tell"


37,*gravedad*,"*gravity*
noun: gravity, severity, seriousness
abbreviation: G"


38,*ganando* (ganar),"*winning*
verb: win, earn, gain"


39,*estúpidos* (estúpido),"*stupid*
adjective: stupid, idiotic, asinine
noun: idiot, bonehead, coot"


40,*elecciones* (elección),"*elections*
noun: elections, vote, poll"


41,*collar*,"*necklace*
noun: necklace, collar, beads"


42,*cincuenta*,"*fifty*
noun: fifty
: fifty"


43,*programas* (programa),"*programs*
noun: viewing"


44,*naturalmente*,"*naturally*
adverb: naturally, clearly"


45,*embajada*,"*embassy*
noun: embassy, ambassadorship"


46,*desayunar*,"*have breakfast*
verb: breakfast, have breakfast, take a meal"


