,Spanish,Quizlet



0,*mejor*,"*better*
adjective: best, better, lead
adverb: best, better

""Mejor vamos a la playa."" Translation: ""Let's go to the beach instead."""



1,*están* (estar),"*are*
verb: be, stay, stand

""Ellos están en el parque."" - They are in the park."



2,*va* (ir),"*goes*
verb: go, be, head

""Va a la escuela."" - He/She is going to school."



3,*hombre*,"*man*
noun: man, husband, love
phrase: old bean

""El hombre es inteligente."" - The man is intelligent."



4,*usted*,"*you*
pronoun: you

Usted es una persona muy inteligente.
You are a very intelligent person."



5,*mucho*,"*a lot*
adverb: much, lot, a lot
noun: much

Mucho gusto, mi nombre es Juan. - Nice to meet you, my name is Juan."



6,*hace* (hacer),"*does*
adjective: ago
adverb: ago

Hace un año que no nos vemos. - It has been a year since we last saw each other."



7,*entonces*,"*so*
adverb: then, now, at that time

Entonces, decidimos ir al cine. - Then, we decided to go to the movies."



8,*siento* (sentir sentar),"*I feel*
verb: feel, sense, regret

""Siento mucho haber llegado tarde."" - I'm sorry for arriving late."



9,*tenemos* (tener),"*have*
verb: have, keep, own

Tenemos mucho trabajo que hacer. - We have a lot of work to do."



10,*puedes* (poder),"*can*
verb: be able to, can, may

Puedes ir al cine esta noche. - You can go to the movies tonight."



11,*ahí*,"*there*
adverb: there

""Ahí está mi casa."" - There is my house."



12,*ti*,"*you*
pronoun: you, thee

""Tiene una casa muy bonita."" - She has a very pretty house."



13,*vida*,"*life*
noun: life, living, lifetime

""La vida es un regalo precioso."" - Life is a precious gift."



14,*ver*,"*see*
verb: see, view, watch

""Yo veo una película."" - I see a movie."



15,*alguien*,"*someone*
pronoun: someone, anyone, somebody

Alguien me ayudará con esto. - Someone will help me with this."



16,*sr* (señor),"*Mr*
abbreviation: Mr.

""Sr. Smith, ¿puedo ayudarle?"" - Mr. Smith, can I help you?"



17,*hasta*,"*until*
preposition: to, until, till
adverb: up, even, through

""Hasta luego!"" - See you later!"



18,*sin*,"*without*
preposition: without, out of, minus
suffix: less
adverb: except

""Vivir sin amor es como una vida vacía."" - Living without love is like an empty life."



19,*mí*,"*my*
pronoun: me, to me

""Yo quiero a mí mismo."" - ""I love myself."""



20,*solo*,"*only*
adjective: single, alone, one
noun: solo

Solo quiero estar contigo. - I only want to be with you."



21,*años* (año),"*years*
pronoun: us

""Tengo veinte años."" - I am twenty years old."



22,*sobre*,"*about*
preposition: on, about, upon
noun: envelope, packet

""Él escribió un ensayo sobre la historia de la ciencia."" - He wrote an essay about the history of science."



23,*decir*,"*say*
verb: say, tell, speak
noun: saying

""Él dijo que no podía decir la verdad."" - He said he couldn't tell the truth."



24,*uno*,"*one*
adjective: one
: one
pronoun: one, you
prefix: uni-

""Uno es un número."" - One is a number."



25,*siempre*,"*always*
adverb: always, ever, forever

""Siempre estoy aquí para ayudar."" - I'm always here to help."



26,*oh*,"*oh*
interjection: Ooh!

Oh, qué lindo! - Oh, how lovely!"



27,*ir*,"*go*
verb: go, be, head

Él fue a la playa. He went to the beach."



