,Spanish,Quizlet


0,*poner*,"*put*
verb: put, add, place"


1,*prueba* (prueba probar),"*proof*
noun: test, proof, evidence"


2,*mire* (mirar),"*Look*
interjection: Look!"


3,*tonto*,"*silly*
adjective: silly, fool, foolish
noun: silly, fool, stupid"


4,*campo* (campo campar),"*field*
noun: field, countryside, country
adjective: outback"


5,*siendo* (ser),"*being*
verb: be, come, come of"


6,*diez*,"*ten*
noun: ten
: ten"


7,*ése* (ese),"*that*
pronoun: that, that one"


8,*tranquilo*,"*don't worry*
adjective: quiet, tranquil, peaceful"


9,*asunto*,"*affair*
noun: matter, issue, case"


10,*acabó* (acabar),"*just*
verb: end, finish, complete"


11,*quédate* (quedar),"*stay*
"


12,*derecho*,"*right*
adjective: right, straight, erect
adverb: right, straight, directly
noun: right, law, entitlement"


13,*placer*,"*pleasure*
noun: pleasure, delight, enjoyment"


14,*recuerda* (recordar),"*remember*
verb: remember, recall, remind"


15,*estuve* (estar),"*I have been*
verb: be, stay, stand"


16,*tratando* (tratar),"*treating*
verb: treat, process, try on"


17,*ejército*,"*army*
noun: army, force, legion"


18,*futuro*,"*future*
adjective: future, prospective, succeeding
noun: future, hereafter, futurity"


19,*llevar*,"*carry*
verb: carry, take, bring"


20,*compañía*,"*company*
noun: company, companionship, troupe"


21,*venido* (venir),"*I come*
adjective: landed"


22,*listos* (listo),"*ready*
adjective: ready, clever, set
noun: tap"


23,*haremos* (hacer),"*will*
verb: do, make, ask"


24,*sitio*,"*place*
noun: site, website, place"


25,*verlo* (ver),"*see him*
"


26,*puesto* (puesto poner),"*position*
noun: post, position, place
adjective: established, landed, laid"


27,*atención*,"*attention*
noun: attention, care, notice"


28,*sino*,"*but*
conjunction: but, if not
preposition: but
noun: fate"


29,*cambiar*,"*change*
verb: change, switch, shift"


30,*error*,"*mistake*
noun: error, mistake, bug"


31,*blanco*,"*white*
adjective: white, target
noun: white, blank, target"


32,*raro*,"*queer*
adjective: rare, unusual, odd"


33,*palabras* (palabra),"*words*
noun: words, speech, dictionary"


34,*llegó* (llegar),"*arrive*
verb: get, reach, arrive"


35,*sal* (sal salir),"*salt*
noun: salt, sal, wit"


36,*pase* (pasar),"*happens*
noun: pass, permit, entrance card"


37,*mente*,"*mind*
noun: mind, mentality, intelligence"


38,*sistema*,"*system*
noun: system, scheme, method"


39,*película*,"*movie*
noun: film, movie, picture"


40,*anda* (andar),"*go*
interjection: Run along!"


41,*ello*,"*it*
pronoun: it"


42,*negocio* (negocio negociar),"*business*
noun: deal, bargain, trade"


43,*novia*,"*bride*
noun: bride, fiancee, fiancée"


44,*permiso*,"*permission*
noun: permission, permit, leave"


45,*creí* (creer),"*I believed*
verb: believe, think, trust"


46,*suena* (sonar),"*sounds*
verb: sound, ring, play"


47,*ocurre* (ocurrir),"*occurs*
verb: occur, happen, take place"


48,*oficial*,"*official*
adjective: official, formal, governmental
noun: official, officer"


49,*espere* (esperar),"*wait*
interjection: Wait!"


